#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.PDU1-internal.8166906a-c383-40cb-aea9-6d118e82ea58_Trajectory.txt
# RunID         : PySara
# ObjectID      : 8166906a-c383-40cb-aea9-6d118e82ea58
# ObjectName    : PDU1-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2808.750          59.899      7.405     60.903            4.868        20234.538      1.578      0.000      0.000    0.00046   15.59757           -2.69056       97.80788         3.375e-04 
  2808.850          59.876      7.405     60.907            4.860        20235.019      1.578      0.000      0.000    0.00046   15.57110           -2.69675       97.80861         3.383e-04 
  2809.300          59.773      7.402     60.927            4.822        20237.175      1.578      0.000      0.000    0.00045   15.44856           -2.72494       97.81187         3.421e-04 
  2810.300          59.543      7.396     60.969            4.738        20241.905      1.578      0.000      0.000    0.00044   15.16974           -2.78955       97.81904         3.510e-04 
  2811.300          59.312      7.391     61.011            4.655        20246.553      1.578      0.000      0.000    0.00043   14.87361           -2.85694       97.82608         3.608e-04 
  2812.300          59.079      7.385     61.052            4.573        20251.119      1.578      0.000      0.000    0.00042   14.58093           -2.92715       97.83301         3.709e-04 
  2813.300          58.845      7.379     61.092            4.491        20255.604      1.578      0.000      0.000    0.00041   14.29176           -3.00023       97.83982         3.813e-04 
  2814.300          58.609      7.374     61.132            4.410        20260.008      1.578      0.000      0.000    0.00040   14.00612           -3.07625       97.84651         3.921e-04 
  2815.300          58.372      7.369     61.170            4.330        20264.332      1.578      0.000      0.000    0.00038   13.72405           -3.15525       97.85307         4.033e-04 
  2816.300          58.133      7.363     61.209            4.251        20268.577      1.578      0.000      0.000    0.00037   13.44561           -3.23729       97.85950         4.148e-04 
  2817.300          57.892      7.358     61.246            4.172        20272.744      1.578      0.000      0.000    0.00036   13.17080           -3.32243       97.86580         4.267e-04 
  2818.300          57.649      7.353     61.283            4.094        20276.833      1.578      0.000      0.000    0.00035   12.89967           -3.41074       97.87196         4.390e-04 
  2819.300          57.404      7.348     61.319            4.017        20280.844      1.578      0.000      0.000    0.00034   12.63224           -3.50226       97.87799         4.517e-04 
  2820.300          57.158      7.343     61.354            3.940        20284.780      1.578      0.000      0.000    0.00033   12.36852           -3.59708       97.88387         4.649e-04 
  2821.300          56.910      7.339     61.389            3.864        20288.640      1.578      0.000      0.000    0.00032   12.10854           -3.69525       97.88960         4.786e-04 
  2822.300          56.660      7.334     61.422            3.789        20292.425      1.578      0.000      0.000    0.00031   11.85231           -3.79684       97.89518         4.928e-04 
  2823.300          56.408      7.329     61.456            3.715        20296.136      1.578      0.000      0.000    0.00031   11.59983           -3.90194       97.90060         5.075e-04 
  2824.300          56.154      7.325     61.488            3.642        20299.774      1.578      0.000      0.000    0.00030   11.35113           -4.01060       97.90585         5.227e-04 
  2825.300          55.899      7.320     61.520            3.569        20303.340      1.578      0.000      0.000    0.00029   11.10619           -4.12292       97.91094         5.386e-04 
  2826.300          55.641      7.316     61.552            3.498        20306.833      1.578      0.000      0.000    0.00028   10.86503           -4.23896       97.91585         5.550e-04 
  2827.300          55.382      7.312     61.582            3.427        20310.256      1.578      0.000      0.000    0.00027   10.62764           -4.35881       97.92058         5.721e-04 
  2828.300          55.120      7.307     61.612            3.356        20313.609      1.578      0.000      0.000    0.00026   10.39401           -4.48257       97.92513         5.899e-04 
  2829.300          54.857      7.303     61.642            3.287        20316.892      1.578      0.000      0.000    0.00026   10.16414           -4.61030       97.92947         6.085e-04 
  2830.300          54.592      7.299     61.671            3.218        20320.106      1.578      0.000      0.000    0.00025    9.93800           -4.74212       97.93362         6.278e-04 
  2831.300          54.325      7.295     61.699            3.141        20323.247      1.578      0.000      0.000    0.00024    9.68897           -4.87843       97.93746         6.478e-04 
  2832.300          54.058      7.292     61.726            3.050        20326.305      1.578      0.000      0.000    0.00023    9.40270           -5.02013       97.94087         6.686e-04 
  2833.300          53.792      7.288     61.753            2.943        20329.265      1.578      0.000      0.000    0.00022    9.06941           -5.16849       97.94371         6.901e-04 
  2834.300          53.529      7.284     61.778            2.816        20332.108      1.578      0.000      0.000    0.00022    8.67786           -5.32522       97.94575         7.121e-04 
  2835.300          53.271      7.281     61.803            2.665        20334.813      1.578      0.000      0.000    0.00021    8.21530           -5.49268       97.94665         7.344e-04 
  2836.300          53.021      7.278     61.825            2.487        20337.354      1.578      0.000      0.000    0.00021    7.66995           -5.67421       97.94590         7.569e-04 
  2837.300          52.781      7.275     61.846            2.279        20339.703      1.578      0.000      0.000    0.00020    7.03720           -5.87444       97.94282         7.790e-04 
  2838.300          52.556      7.272     61.866            2.047        20341.833      1.578      0.000      0.000    0.00019    6.33046           -6.09962       97.93653         8.006e-04 
  2839.300          52.348      7.270     61.883            1.805        20343.728      1.578      0.000      0.000    0.00019    5.59048           -6.35752       97.92628         8.212e-04 
  2840.300          52.157      7.268     61.897            1.574        20345.388      1.578      0.000      0.000    0.00018    4.87796           -6.65657       97.91181         8.405e-04 
  2841.300          51.983      7.266     61.910            1.371        20346.834      1.578      0.000      0.000    0.00018    4.24604           -7.00440       97.89366         8.587e-04 
  2842.300          51.822      7.264     61.922            1.203        20348.097      1.578      0.000      0.000    0.00018    3.71863           -7.40651       97.87285         8.757e-04 
  2843.300          51.672      7.263     61.932            1.067        20349.210      1.578      0.000      0.000    0.00017    3.29276           -7.86578       97.85047         8.920e-04 
  2844.300          51.529      7.262     61.941            0.957        20350.203      1.578      0.000      0.000    0.00017    2.94907           -8.38319       97.82702         9.077e-04 
  2845.300          51.392      7.261     61.949            0.867        20351.096      1.578      0.000      0.000    0.00017    2.66684           -8.95905       97.80261         9.231e-04 
  2846.300          51.259      7.260     61.956            0.792        20351.907      1.578      0.000      0.000    0.00017    2.43126           -9.59357       97.77729         9.383e-04 
  2847.300          51.128      7.259     61.963            0.728        20352.649      1.578      0.000      0.000    0.00016    2.23189          -10.28685       97.75112         9.535e-04 
  2848.300          50.998      7.258     61.969            0.673        20353.331      1.578      0.000      0.000    0.00016    2.06119          -11.03886       97.72414         9.687e-04 
  2849.300          50.870      7.257     61.974            0.626        20353.962      1.578      0.000      0.000    0.00016    1.91358          -11.84943       97.69640         9.841e-04 
  2850.300          50.741      7.257     61.980            0.584        20354.548      1.578      0.000      0.000    0.00016    1.78485          -12.71821       97.66792         9.998e-04 
  2851.300          50.612      7.256     61.985            0.548        20355.095      1.578      0.000      0.000    0.00015    1.67175          -13.64466       97.63875         1.016e-03 
  2852.300          50.483      7.255     61.989            0.515        20355.606      1.578      0.000      0.000    0.00015    1.57175          -14.62805       97.60892         1.032e-03 
  2853.300          50.352      7.255     61.993            0.487        20356.086      1.578      0.000      0.000    0.00015    1.48285          -15.66741       97.57845         1.049e-03 
  2854.300          50.220      7.254     61.998            0.461        20356.537      1.578      0.000      0.000    0.00015    1.40343          -16.76153       97.54739         1.066e-03 
  2855.300          50.086      7.254     62.001            0.438        20356.962      1.578      0.000      0.000    0.00014    1.33220          -17.90894       97.51579         1.084e-03 
  2856.300          49.950      7.253     62.005            0.417        20357.364      1.578      0.000      0.000    0.00014    1.26808          -19.10789       97.48367         1.102e-03 
  2857.300          49.813      7.253     62.008            0.398        20357.745      1.578      0.000      0.000    0.00014    1.21019          -20.35638       97.45111         1.121e-03 
  2858.300          49.673      7.252     62.012            0.381        20358.106      1.578      0.000      0.000    0.00014    1.15779          -21.65209       97.41816         1.141e-03 
  2859.300          49.532      7.252     62.015            0.366        20358.449      1.578      0.000      0.000    0.00013    1.11024          -22.99242       97.38487         1.161e-03 
  2860.300          49.388      7.252     62.018            0.352        20358.775      1.578      0.000      0.000    0.00013    1.06702          -24.37449       97.35132         1.182e-03 
  2861.300          49.241      7.251     62.020            0.339        20359.085      1.578      0.000      0.000    0.00013    1.02767          -25.79514       97.31756         1.204e-03 
  2861.500          49.212      7.251     62.021            0.336        20359.145      1.578      0.000      0.000    0.00013    1.01656          -26.08360       97.31079         1.210e-03 
  2861.707          49.181      7.251     62.021            0.334        20359.207      1.578      0.000      0.000    0.00013    1.00911          -26.38350       97.30378         1.215e-03 
  2861.893          49.154      7.251     62.022            0.332        20359.262      1.578      0.000      0.000    0.00013    1.00240          -26.65464       97.29747         1.219e-03 
  2861.918          49.150      7.251     62.022            0.331        20359.269      1.578      0.000      0.000    0.00013    1.00081          -26.69134       97.29662         1.220e-03 
  2861.935          49.147      7.251     62.022            0.331        20359.274      1.578      0.000      0.000    0.00013    1.00018          -26.71605       97.29605         1.221e-03 
  2861.963          49.143      7.251     62.022            0.331        20359.282      0.789      0.000      0.000    0.00013    0.99982          -26.75738       97.29553         1.221e-03 
  2861.992          49.139      7.251     62.022            0.331        20359.291      0.789      0.000      0.000    0.00013    0.99947          -26.79874       97.29507         1.222e-03 
  2862.118          49.120      7.251     62.023            0.330        20359.328      0.789      0.000      0.000    0.00013    0.99825          -26.98481       97.29298         1.225e-03 
  2862.688          49.033      7.251     62.024            0.328        20359.493      0.789      0.000      0.000    0.00013    0.99289          -27.82142       97.28355         1.237e-03 
  2863.688          48.877      7.250     62.027            0.325        20359.778      0.789      0.000      0.000    0.00012    0.98354          -29.28529       97.26701         1.260e-03 
  2864.688          48.716      7.250     62.029            0.322        20360.056      0.789      0.000      0.000    0.00012    0.97432          -30.74276       97.25050         1.285e-03 
  2865.688          48.548      7.250     62.032            0.319        20360.327      0.789      0.000      0.000    0.00012    0.96573          -32.19200       97.23409         1.313e-03 
  2866.688          48.376      7.249     62.034            0.316        20360.592      0.789      0.000      0.000    0.00012    0.95770          -33.63128       97.21786         1.341e-03 
  2867.688          48.198      7.249     62.036            0.314        20360.850      0.789      0.000      0.000    0.00011    0.95017          -35.05896       97.20189         1.372e-03 
  2868.688          48.016      7.249     62.038            0.311        20361.101      0.789      0.000      0.000    0.00011    0.94310          -36.47357       97.18629         1.404e-03 
  2869.688          47.828      7.249     62.041            0.309        20361.347      0.789      0.000      0.000    0.00011    0.93642          -37.87372       97.17115         1.437e-03 
  2870.688          47.637      7.248     62.043            0.306        20361.585      0.789      0.000      0.000    0.00011    0.93008          -39.25819       97.15657         1.473e-03 
  2871.688          47.441      7.248     62.045            0.304        20361.818      0.789      0.000      0.000    0.00010    0.92402          -40.62587       97.14269         1.510e-03 
  2872.688          47.240      7.248     62.047            0.302        20362.044      0.789      0.000      0.000    0.00010    0.91820          -41.97576       97.12961         1.549e-03 
  2873.688          47.036      7.248     62.049            0.300        20362.264      0.789      0.000      0.000    0.00010    0.91255          -43.30700       97.11747         1.589e-03 
  2874.688          46.829      7.247     62.051            0.298        20362.477      0.789      0.000      0.000    0.00010    0.90705          -44.61883       97.10638         1.632e-03 
  2875.688          46.618      7.247     62.053            0.296        20362.685      0.789      0.000      0.000    0.00009    0.90164          -45.91061       97.09648         1.677e-03 
  2876.688          46.403      7.247     62.055            0.294        20362.886      0.789      0.000      0.000    0.00009    0.89628          -47.18178       97.08786         1.723e-03 
  2877.688          46.186      7.247     62.056            0.292        20363.082      0.789      0.000      0.000    0.00009    0.89092          -48.43187       97.08065         1.772e-03 
  2878.688          45.966      7.246     62.058            0.290        20363.271      0.789      0.000      0.000    0.00009    0.88555          -49.66049       97.07492         1.823e-03 
  2879.688          45.744      7.246     62.060            0.288        20363.455      0.789      0.000      0.000    0.00008    0.88011          -50.86732       97.07075         1.876e-03 
  2880.688          45.519      7.246     62.061            0.286        20363.633      0.789      0.000      0.000    0.00008    0.87458          -52.05207       97.06815         1.932e-03 
  2881.688          45.292      7.246     62.063            0.284        20363.805      0.789      0.000      0.000    0.00008    0.86894          -53.21450       97.06714         1.989e-03 
  2882.688          45.064      7.246     62.064            0.282        20363.971      0.789      0.000      0.000    0.00008    0.86317          -54.35441       97.06763         2.049e-03 
  2883.688          44.834      7.245     62.066            0.280        20364.132      0.789      0.000      0.000    0.00007    0.85723          -55.47161       97.06951         2.111e-03 
  2884.688          44.602      7.245     62.067            0.278        20364.286      0.789      0.000      0.000    0.00007    0.85113          -56.56592       97.07259         2.176e-03 
  2885.688          44.370      7.245     62.068            0.276        20364.436      0.789      0.000      0.000    0.00007    0.84485          -57.63718       97.07664         2.243e-03 
  2886.688          44.136      7.245     62.070            0.274        20364.580      0.789      0.000      0.000    0.00007    0.83838          -58.68525       97.08142         2.313e-03 
  2887.688          43.902      7.245     62.071            0.271        20364.718      0.789      0.000      0.000    0.00007    0.83174          -59.71002       97.08665         2.385e-03 
  2888.688          43.668      7.245     62.072            0.269        20364.852      0.789      0.000      0.000    0.00006    0.82491          -60.71136       97.09202         2.459e-03 
  2889.688          43.433      7.245     62.073            0.267        20364.980      0.789      0.000      0.000    0.00006    0.81789          -61.68916       97.09719         2.537e-03 
  2890.688          43.198      7.244     62.074            0.264        20365.103      0.789      0.000      0.000    0.00006    0.81070          -62.64332       97.10178         2.616e-03 
  2891.688          42.964      7.244     62.076            0.262        20365.221      0.789      0.000      0.000    0.00006    0.80333          -63.57372       97.10542         2.699e-03 
  2892.688          42.730      7.244     62.077            0.259        20365.334      0.789      0.000      0.000    0.00006    0.79579          -64.48024       97.10768         2.784e-03 
  2893.688          42.496      7.244     62.077            0.256        20365.443      0.789      0.000      0.000    0.00005    0.78809          -65.36278       97.10812         2.872e-03 
  2894.688          42.263      7.244     62.078            0.254        20365.547      0.789      0.000      0.000    0.00005    0.78025          -66.22121       97.10627         2.962e-03 
  2895.688          42.032      7.244     62.079            0.251        20365.646      0.789      0.000      0.000    0.00005    0.77226          -67.05538       97.10168         3.055e-03 
