#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.PDU2.abfb6e52-d8cf-4641-a0b0-5e40edc0f564_Trajectory.txt
# RunID         : PySara
# ObjectID      : abfb6e52-d8cf-4641-a0b0-5e40edc0f564
# ObjectName    : PDU2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2750.200          70.465      7.832     57.682            6.892        19875.944      1.569      0.000      0.000    0.00183   23.93911           -1.15287       97.30393         8.105e-05 
  2750.300          70.452      7.831     57.688            6.890        19876.626      1.569      0.000      0.000    0.00183   23.93318           -1.15388       97.30488         8.120e-05 
  2750.750          70.389      7.827     57.715            6.883        19879.690      1.569      0.000      0.000    0.00181   23.90551           -1.15844       97.30915         8.191e-05 
  2751.750          70.249      7.819     57.776            6.868        19886.490      1.569      0.000      0.000    0.00178   23.84130           -1.16881       97.31863         8.354e-05 
  2752.750          70.109      7.812     57.838            6.852        19893.274      1.569      0.000      0.000    0.00174   23.77110           -1.17951       97.32808         8.534e-05 
  2753.750          69.967      7.804     57.898            6.836        19900.042      1.569      0.000      0.000    0.00170   23.69960           -1.19054       97.33751         8.718e-05 
  2754.750          69.825      7.796     57.959            6.819        19906.794      1.569      0.000      0.000    0.00166   23.62679           -1.20190       97.34691         8.907e-05 
  2755.750          69.681      7.788     58.020            6.803        19913.531      1.569      0.000      0.000    0.00163   23.55263           -1.21362       97.35629         9.101e-05 
  2756.750          69.537      7.780     58.080            6.786        19920.250      1.569      0.000      0.000    0.00159   23.47712           -1.22568       97.36564         9.300e-05 
  2757.750          69.391      7.773     58.140            6.769        19926.953      1.569      0.000      0.000    0.00156   23.40023           -1.23811       97.37496         9.504e-05 
  2758.750          69.244      7.765     58.200            6.751        19933.639      1.569      0.000      0.000    0.00153   23.32195           -1.25090       97.38425         9.714e-05 
  2759.750          69.096      7.757     58.260            6.733        19940.308      1.569      0.000      0.000    0.00149   23.24224           -1.26407       97.39352         9.929e-05 
  2760.750          68.947      7.749     58.320            6.715        19946.959      1.569      0.000      0.000    0.00146   23.16110           -1.27763       97.40276         1.015e-04 
  2761.750          68.797      7.742     58.380            6.697        19953.591      1.569      0.000      0.000    0.00143   23.07850           -1.29157       97.41198         1.038e-04 
  2762.750          68.645      7.734     58.439            6.678        19960.206      1.569      0.000      0.000    0.00140   22.99441           -1.30591       97.42116         1.061e-04 
  2763.750          68.492      7.726     58.499            6.659        19966.802      1.569      0.000      0.000    0.00137   22.90882           -1.32066       97.43032         1.085e-04 
  2764.750          68.338      7.718     58.558            6.639        19973.379      1.569      0.000      0.000    0.00134   22.82171           -1.33583       97.43945         1.109e-04 
  2765.750          68.183      7.711     58.617            6.620        19979.937      1.569      0.000      0.000    0.00131   22.73305           -1.35142       97.44855         1.135e-04 
  2766.750          68.026      7.703     58.675            6.600        19986.476      1.569      0.000      0.000    0.00128   22.64282           -1.36744       97.45762         1.161e-04 
  2767.750          67.868      7.695     58.734            6.579        19992.994      1.569      0.000      0.000    0.00125   22.55100           -1.38391       97.46666         1.187e-04 
  2768.750          67.708      7.688     58.792            6.558        19999.492      1.569      0.000      0.000    0.00122   22.45757           -1.40082       97.47568         1.215e-04 
