#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.SheWallZ2.0ba12395-99d3-44ee-8770-afa7248e60b4_Trajectory.txt
# RunID         : PySara
# ObjectID      : 0ba12395-99d3-44ee-8770-afa7248e60b4
# ObjectName    : SheWallZ2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2750.200          70.465      7.832     57.682            6.892        19875.944      2.895      0.000      0.000    0.00060   23.93911           -1.15287       97.30393         8.105e-05 
  2750.300          70.452      7.831     57.688            6.883        19876.625      2.895      0.000      0.000    0.00060   23.91018           -1.15386       97.30489         8.120e-05 
  2750.750          70.389      7.827     57.715            6.842        19879.679      2.895      0.000      0.000    0.00060   23.77607           -1.15853       97.30923         8.190e-05 
  2751.750          70.251      7.819     57.776            6.751        19886.400      2.895      0.000      0.000    0.00059   23.46980           -1.17026       97.31880         8.352e-05 
  2752.750          70.113      7.812     57.835            6.662        19893.033      2.895      0.000      0.000    0.00057   23.14277           -1.18388       97.32826         8.529e-05 
  2753.750          69.976      7.804     57.894            6.572        19899.577      2.895      0.000      0.000    0.00056   22.81775           -1.19943       97.33763         8.708e-05 
  2754.750          69.838      7.797     57.952            6.484        19906.033      2.895      0.000      0.000    0.00055   22.49479           -1.21690       97.34690         8.890e-05 
  2755.750          69.700      7.789     58.009            6.395        19912.402      2.895      0.000      0.000    0.00054   22.17395           -1.23634       97.35607         9.076e-05 
  2756.750          69.562      7.782     58.066            6.308        19918.683      2.895      0.000      0.000    0.00053   21.85528           -1.25774       97.36515         9.266e-05 
  2757.750          69.423      7.775     58.122            6.221        19924.879      2.895      0.000      0.000    0.00052   21.53880           -1.28115       97.37413         9.460e-05 
  2758.750          69.284      7.768     58.177            6.135        19930.989      2.895      0.000      0.000    0.00051   21.22455           -1.30657       97.38302         9.658e-05 
  2759.750          69.144      7.761     58.231            6.049        19937.014      2.895      0.000      0.000    0.00050   20.91254           -1.33403       97.39182         9.861e-05 
  2760.750          69.002      7.754     58.284            5.964        19942.955      2.895      0.000      0.000    0.00049   20.60279           -1.36356       97.40054         1.007e-04 
  2761.750          68.860      7.747     58.337            5.871        19948.807      2.895      0.000      0.000    0.00048   20.27206           -1.39524       97.40919         1.028e-04 
  2762.750          68.716      7.740     58.389            5.767        19954.563      2.895      0.000      0.000    0.00047   19.90283           -1.42937       97.41782         1.050e-04 
  2763.750          68.572      7.734     58.439            5.649        19960.209      2.895      0.000      0.000    0.00046   19.48594           -1.46633       97.42642         1.072e-04 
  2764.750          68.428      7.727     58.489            5.514        19965.729      2.895      0.000      0.000    0.00045   19.01130           -1.50662       97.43501         1.095e-04 
  2765.750          68.283      7.721     58.537            5.357        19971.105      2.895      0.000      0.000    0.00044   18.46614           -1.55088       97.44363         1.119e-04 
  2766.750          68.138      7.715     58.584            5.175        19976.313      2.895      0.000      0.000    0.00043   17.83436           -1.59995       97.45232         1.142e-04 
  2767.750          67.994      7.709     58.629            4.960        19981.324      2.895      0.000      0.000    0.00042   17.09633           -1.65495       97.46115         1.166e-04 
  2768.750          67.852      7.704     58.672            4.707        19986.102      2.895      0.000      0.000    0.00041   16.22959           -1.71741       97.47024         1.190e-04 
  2769.750          67.713      7.698     58.712            4.408        19990.607      2.895      0.000      0.000    0.00040   15.21269           -1.78941       97.47978         1.215e-04 
