#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.TCU.1fb5a24d-822d-4b03-b7c8-707b45f03a62_Trajectory.txt
# RunID         : PySara
# ObjectID      : 1fb5a24d-822d-4b03-b7c8-707b45f03a62
# ObjectName    : TCU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2750.200          70.465      7.832     57.682            6.892        19875.944      1.903      0.000      0.000    0.00161   23.93911           -1.15287       97.30393         8.105e-05 
  2750.300          70.452      7.831     57.688            6.890        19876.626      1.903      0.000      0.000    0.00161   23.93368           -1.15388       97.30488         8.120e-05 
  2750.750          70.389      7.827     57.715            6.884        19879.691      1.903      0.000      0.000    0.00159   23.90834           -1.15844       97.30915         8.191e-05 
  2751.750          70.249      7.819     57.777            6.870        19886.492      1.903      0.000      0.000    0.00156   23.84950           -1.16878       97.31863         8.354e-05 
  2752.750          70.109      7.812     57.838            6.856        19893.279      1.903      0.000      0.000    0.00153   23.78513           -1.17941       97.32808         8.534e-05 
  2753.750          69.967      7.804     57.898            6.842        19900.052      1.903      0.000      0.000    0.00150   23.71952           -1.19034       97.33751         8.718e-05 
  2754.750          69.825      7.796     57.959            6.827        19906.812      1.903      0.000      0.000    0.00146   23.65266           -1.20157       97.34691         8.908e-05 
  2755.750          69.681      7.788     58.020            6.812        19913.556      1.903      0.000      0.000    0.00143   23.58452           -1.21311       97.35629         9.102e-05 
  2756.750          69.536      7.780     58.080            6.797        19920.286      1.903      0.000      0.000    0.00140   23.51508           -1.22497       97.36565         9.301e-05 
  2757.750          69.390      7.773     58.141            6.782        19927.001      1.903      0.000      0.000    0.00137   23.44432           -1.23715       97.37498         9.505e-05 
  2758.750          69.243      7.765     58.201            6.766        19933.701      1.903      0.000      0.000    0.00134   23.37223           -1.24966       97.38429         9.715e-05 
  2759.750          69.095      7.757     58.261            6.750        19940.385      1.903      0.000      0.000    0.00131   23.29878           -1.26250       97.39357         9.931e-05 
  2760.750          68.946      7.749     58.321            6.734        19947.053      1.903      0.000      0.000    0.00128   23.22395           -1.27569       97.40282         1.015e-04 
  2761.750          68.795      7.741     58.381            6.717        19953.705      1.903      0.000      0.000    0.00126   23.14772           -1.28923       97.41205         1.038e-04 
  2762.750          68.644      7.734     58.440            6.700        19960.341      1.903      0.000      0.000    0.00123   23.07007           -1.30312       97.42125         1.061e-04 
  2763.750          68.491      7.726     58.500            6.683        19966.960      1.903      0.000      0.000    0.00120   22.99097           -1.31738       97.43043         1.085e-04 
  2764.750          68.336      7.718     58.559            6.666        19973.562      1.903      0.000      0.000    0.00118   22.91041           -1.33201       97.43958         1.110e-04 
  2765.750          68.181      7.711     58.618            6.648        19980.147      1.903      0.000      0.000    0.00115   22.82836           -1.34703       97.44870         1.135e-04 
