#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.Tank4.412fae6e-e434-49a2-87f5-48289ceabd9b_Trajectory.txt
# RunID         : PySara
# ObjectID      : 412fae6e-e434-49a2-87f5-48289ceabd9b
# ObjectName    : Tank4
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2551.100          87.789      9.230     44.864            7.331        18456.459      2.059      0.000      0.000    0.01743   26.49971           -0.46781       95.14818         4.714e-06 
  2551.200          87.783      9.229     44.871            7.331        18457.183      2.059      0.000      0.000    0.01742   26.49890           -0.46793       95.14937         4.719e-06 
  2551.650          87.757      9.227     44.900            7.331        18460.437      2.059      0.000      0.000    0.01735   26.49514           -0.46847       95.15470         4.738e-06 
  2552.650          87.696      9.221     44.966            7.330        18467.667      2.058      0.000      0.000    0.01719   26.48652           -0.46968       95.16655         4.781e-06 
  2553.650          87.636      9.215     45.032            7.329        18474.897      2.057      0.000      0.000    0.01702   26.47729           -0.47091       95.17838         4.829e-06 
  2554.650          87.576      9.209     45.097            7.328        18482.126      2.056      0.000      0.000    0.01685   26.46806           -0.47216       95.19021         4.878e-06 
  2555.650          87.516      9.203     45.163            7.327        18489.354      2.056      0.000      0.000    0.01669   26.45885           -0.47343       95.20202         4.927e-06 
  2556.650          87.455      9.197     45.228            7.326        18496.581      2.055      0.000      0.000    0.01652   26.44964           -0.47471       95.21383         4.976e-06 
  2557.650          87.394      9.191     45.294            7.326        18503.808      2.054      0.000      0.000    0.01635   26.44045           -0.47601       95.22563         5.026e-06 
  2558.650          87.333      9.185     45.359            7.325        18511.033      2.053      0.000      0.000    0.01619   26.43127           -0.47733       95.23742         5.077e-06 
  2559.650          87.272      9.179     45.424            7.324        18518.258      2.053      0.000      0.000    0.01603   26.42209           -0.47867       95.24920         5.129e-06 
  2560.650          87.211      9.173     45.490            7.323        18525.482      2.052      0.000      0.000    0.01587   26.41292           -0.48002       95.26097         5.181e-06 
  2561.650          87.149      9.167     45.555            7.322        18532.705      2.051      0.000      0.000    0.01571   26.40376           -0.48139       95.27274         5.234e-06 
  2562.650          87.088      9.161     45.621            7.321        18539.928      2.051      0.000      0.000    0.01555   26.39461           -0.48279       95.28449         5.288e-06 
  2563.650          87.026      9.155     45.686            7.320        18547.149      2.050      0.000      0.000    0.01539   26.38546           -0.48420       95.29624         5.342e-06 
  2564.650          86.964      9.149     45.752            7.319        18554.370      2.050      0.000      0.000    0.01523   26.37632           -0.48563       95.30797         5.397e-06 
  2565.650          86.902      9.143     45.817            7.318        18561.590      2.049      0.000      0.000    0.01508   26.36718           -0.48708       95.31970         5.453e-06 
  2566.650          86.840      9.137     45.882            7.317        18568.808      2.049      0.000      0.000    0.01493   26.35804           -0.48854       95.33142         5.509e-06 
  2567.650          86.777      9.131     45.948            7.316        18576.026      2.048      0.000      0.000    0.01477   26.34891           -0.49003       95.34313         5.566e-06 
  2568.650          86.715      9.125     46.013            7.315        18583.243      2.048      0.000      0.000    0.01462   26.33978           -0.49154       95.35482         5.624e-06 
  2569.650          86.652      9.119     46.079            7.314        18590.460      2.047      0.000      0.000    0.01447   26.33065           -0.49307       95.36651         5.683e-06 
  2570.650          86.589      9.113     46.144            7.313        18597.675      2.047      0.000      0.000    0.01432   26.32152           -0.49461       95.37819         5.743e-06 
  2571.650          86.525      9.107     46.209            7.312        18604.889      2.047      0.000      0.000    0.01417   26.31238           -0.49618       95.38986         5.803e-06 
  2572.650          86.462      9.101     46.275            7.311        18612.102      2.046      0.000      0.000    0.01402   26.30325           -0.49777       95.40153         5.864e-06 
  2573.650          86.398      9.094     46.340            7.310        18619.315      2.046      0.000      0.000    0.01388   26.29412           -0.49938       95.41318         5.926e-06 
  2574.650          86.335      9.088     46.405            7.309        18626.526      2.045      0.000      0.000    0.01373   26.28498           -0.50101       95.42482         5.989e-06 
  2575.650          86.271      9.082     46.471            7.308        18633.736      2.045      0.000      0.000    0.01359   26.27583           -0.50266       95.43645         6.053e-06 
  2576.650          86.206      9.076     46.536            7.307        18640.946      2.045      0.000      0.000    0.01344   26.26669           -0.50434       95.44808         6.118e-06 
  2577.650          86.142      9.070     46.601            7.306        18648.154      2.045      0.000      0.000    0.01330   26.25753           -0.50603       95.45969         6.183e-06 
  2578.650          86.077      9.063     46.666            7.305        18655.362      2.044      0.000      0.000    0.01316   26.24837           -0.50775       95.47130         6.250e-06 
  2579.650          86.012      9.057     46.732            7.303        18662.568      2.044      0.000      0.000    0.01302   26.23920           -0.50949       95.48289         6.317e-06 
  2580.650          85.947      9.051     46.797            7.302        18669.773      2.044      0.000      0.000    0.01288   26.23002           -0.51125       95.49448         6.386e-06 
  2581.650          85.882      9.045     46.862            7.301        18676.978      2.044      0.000      0.000    0.01274   26.22083           -0.51304       95.50605         6.455e-06 
  2582.650          85.817      9.039     46.927            7.300        18684.181      2.044      0.000      0.000    0.01260   26.21163           -0.51484       95.51762         6.526e-06 
  2583.650          85.751      9.032     46.992            7.299        18691.383      2.043      0.000      0.000    0.01247   26.20242           -0.51667       95.52918         6.597e-06 
  2584.650          85.685      9.026     47.058            7.298        18698.584      2.043      0.000      0.000    0.01233   26.19319           -0.51853       95.54072         6.670e-06 
  2585.650          85.619      9.020     47.123            7.296        18705.784      2.043      0.000      0.000    0.01220   26.18395           -0.52041       95.55226         6.743e-06 
  2586.650          85.552      9.013     47.188            7.295        18712.983      2.043      0.000      0.000    0.01206   26.17470           -0.52231       95.56379         6.818e-06 
  2587.650          85.486      9.007     47.253            7.294        18720.180      2.043      0.000      0.000    0.01193   26.16543           -0.52423       95.57530         6.894e-06 
  2588.650          85.419      9.001     47.318            7.293        18727.377      2.043      0.000      0.000    0.01180   26.15614           -0.52618       95.58681         6.970e-06 
  2589.650          85.352      8.994     47.383            7.292        18734.572      2.043      0.000      0.000    0.01167   26.14683           -0.52816       95.59831         7.048e-06 
  2590.650          85.285      8.988     47.449            7.290        18741.766      2.043      0.000      0.000    0.01154   26.13750           -0.53016       95.60979         7.128e-06 
  2591.650          85.217      8.982     47.514            7.289        18748.959      2.043      0.000      0.000    0.01141   26.12815           -0.53218       95.62127         7.208e-06 
  2592.650          85.149      8.975     47.579            7.288        18756.151      2.042      0.000      0.000    0.01128   26.11878           -0.53424       95.63274         7.290e-06 
  2593.650          85.081      8.969     47.644            7.286        18763.342      2.042      0.000      0.000    0.01116   26.10938           -0.53631       95.64419         7.372e-06 
  2594.650          85.013      8.963     47.709            7.285        18770.531      2.042      0.000      0.000    0.01103   26.09996           -0.53842       95.65564         7.457e-06 
  2595.650          84.944      8.956     47.774            7.284        18777.719      2.042      0.000      0.000    0.01091   26.09051           -0.54055       95.66708         7.542e-06 
  2596.650          84.875      8.950     47.839            7.282        18784.906      2.042      0.000      0.000    0.01078   26.08103           -0.54270       95.67850         7.629e-06 
  2597.650          84.806      8.943     47.904            7.281        18792.092      2.042      0.000      0.000    0.01066   26.07153           -0.54489       95.68992         7.717e-06 
  2598.650          84.737      8.937     47.969            7.280        18799.276      2.042      0.000      0.000    0.01054   26.06199           -0.54710       95.70132         7.806e-06 
  2599.650          84.667      8.930     48.034            7.278        18806.459      2.042      0.000      0.000    0.01042   26.05243           -0.54934       95.71272         7.897e-06 
  2600.650          84.597      8.924     48.099            7.277        18813.641      2.042      0.000      0.000    0.01030   26.04283           -0.55160       95.72410         7.989e-06 
  2601.650          84.527      8.917     48.164            7.275        18820.821      2.042      0.000      0.000    0.01018   26.03320           -0.55390       95.73548         8.083e-06 
