#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.MHS-DBU.8f0e4793-b4fc-4da0-a3c0-3b9bdd107b54_Trajectory.txt
# RunID         : PySara
# ObjectID      : 8f0e4793-b4fc-4da0-a3c0-3b9bdd107b54
# ObjectName    : MHS-DBU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1883.200          81.818      7.881   -110.218            7.172        13602.806      1.782      0.000      0.000    0.06109   25.71628           -0.83009       83.15649         1.531e-05 
  1883.300          81.807      7.882   -110.212            7.171        13603.514      1.781      0.000      0.000    0.06100   25.70841           -0.83053       83.15748         1.533e-05 
  1883.750          81.761      7.885   -110.183            7.162        13606.698      1.778      0.000      0.000    0.06060   25.67182           -0.83251       83.16194         1.544e-05 
  1884.750          81.656      7.893   -110.120            7.142        13613.759      1.771      0.000      0.000    0.05967   25.58769           -0.83720       83.17184         1.568e-05 
  1885.750          81.552      7.900   -110.056            7.122        13620.800      1.763      0.000      0.000    0.05870   25.49693           -0.84228       83.18173         1.594e-05 
  1886.750          81.447      7.908   -109.993            7.103        13627.823      1.755      0.000      0.000    0.05774   25.40573           -0.84774       83.19161         1.620e-05 
  1887.750          81.342      7.915   -109.930            7.083        13634.825      1.747      0.000      0.000    0.05679   25.31410           -0.85360       83.20147         1.647e-05 
  1888.750          81.236      7.923   -109.867            7.063        13641.808      1.739      0.000      0.000    0.05586   25.22201           -0.85985       83.21131         1.675e-05 
  1889.750          81.130      7.930   -109.804            7.042        13648.771      1.732      0.000      0.000    0.05493   25.12948           -0.86650       83.22115         1.703e-05 
  1890.750          81.023      7.937   -109.742            7.022        13655.715      1.724      0.000      0.000    0.05403   25.03648           -0.87356       83.23096         1.732e-05 
  1891.750          80.916      7.945   -109.680            7.001        13662.638      1.717      0.000      0.000    0.05313   24.94301           -0.88102       83.24077         1.761e-05 
  1892.750          80.808      7.952   -109.617            6.981        13669.541      1.709      0.000      0.000    0.05224   24.84906           -0.88890       83.25055         1.791e-05 
  1893.750          80.699      7.960   -109.555            6.959        13676.423      1.702      0.000      0.000    0.05137   24.75264           -0.89719       83.26033         1.821e-05 
  1894.750          80.590      7.967   -109.494            6.934        13683.282      1.695      0.000      0.000    0.05051   24.64293           -0.90595       83.27009         1.852e-05 
  1895.750          80.480      7.974   -109.432            6.902        13690.113      1.688      0.000      0.000    0.04965   24.51267           -0.91528       83.27983         1.884e-05 
  1896.750          80.369      7.981   -109.371            6.861        13696.909      1.681      0.000      0.000    0.04881   24.35032           -0.92532       83.28955         1.917e-05 
  1897.750          80.258      7.988   -109.310            6.803        13703.655      1.674      0.000      0.000    0.04798   24.13082           -0.93633       83.29925         1.950e-05 
  1898.750          80.147      7.995   -109.250            6.705        13710.324      1.667      0.000      0.000    0.04717   23.78078           -0.94886       83.30892         1.983e-05 
  1899.750          80.038      8.002   -109.192            6.417        13716.802      1.661      0.000      0.000    0.04638   22.82106           -0.96497       83.31870         2.017e-05 
