#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.SLAFilt.1d8e383c-f44d-4ee9-9c7c-6404be09785b_Trajectory.txt
# RunID         : PySara
# ObjectID      : 1d8e383c-f44d-4ee9-9c7c-6404be09785b
# ObjectName    : SLAFilt
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1883.200          81.818      7.881   -110.218            7.172        13602.806      1.646      0.000      0.000    0.04928   25.71628           -0.83009       83.15649         1.531e-05 
  1883.300          81.807      7.882   -110.212            7.171        13603.514      1.645      0.000      0.000    0.04921   25.70911           -0.83053       83.15748         1.533e-05 
  1883.750          81.761      7.885   -110.183            7.163        13606.698      1.643      0.000      0.000    0.04888   25.67576           -0.83251       83.16194         1.544e-05 
  1884.750          81.656      7.893   -110.120            7.146        13613.761      1.637      0.000      0.000    0.04814   25.59903           -0.83716       83.17184         1.568e-05 
  1885.750          81.552      7.900   -110.056            7.128        13620.807      1.630      0.000      0.000    0.04735   25.51618           -0.84215       83.18174         1.594e-05 
  1886.750          81.447      7.908   -109.993            7.110        13627.836      1.624      0.000      0.000    0.04657   25.43285           -0.84748       83.19162         1.620e-05 
  1887.750          81.341      7.915   -109.930            7.093        13634.848      1.617      0.000      0.000    0.04581   25.34905           -0.85316       83.20149         1.647e-05 
  1888.750          81.236      7.923   -109.867            7.075        13641.842      1.611      0.000      0.000    0.04506   25.26476           -0.85920       83.21135         1.675e-05 
  1889.750          81.129      7.930   -109.804            7.057        13648.818      1.605      0.000      0.000    0.04431   25.17997           -0.86559       83.22119         1.703e-05 
  1890.750          81.022      7.938   -109.741            7.039        13655.777      1.599      0.000      0.000    0.04358   25.09467           -0.87234       83.23103         1.732e-05 
  1891.750          80.915      7.945   -109.679            7.020        13662.717      1.593      0.000      0.000    0.04285   25.00887           -0.87946       83.24085         1.761e-05 
  1892.750          80.807      7.952   -109.616            7.002        13669.640      1.587      0.000      0.000    0.04214   24.92254           -0.88694       83.25066         1.791e-05 
  1893.750          80.698      7.960   -109.554            6.983        13676.544      1.581      0.000      0.000    0.04143   24.83568           -0.89480       83.26046         1.821e-05 
  1894.750          80.589      7.967   -109.492            6.964        13683.430      1.576      0.000      0.000    0.04074   24.74828           -0.90303       83.27025         1.853e-05 
  1895.750          80.479      7.974   -109.430            6.944        13690.297      1.570      0.000      0.000    0.04005   24.65512           -0.91165       83.28002         1.884e-05 
  1896.750          80.368      7.981   -109.369            6.920        13697.141      1.564      0.000      0.000    0.03937   24.54993           -0.92071       83.28978         1.917e-05 
  1897.750          80.256      7.989   -109.307            6.890        13703.960      1.559      0.000      0.000    0.03870   24.42762           -0.93031       83.29953         1.950e-05 
  1898.750          80.144      7.996   -109.246            6.854        13710.746      1.554      0.000      0.000    0.03803   24.28016           -0.94056       83.30926         1.984e-05 
  1899.750          80.031      8.003   -109.185            6.805        13717.490      1.548      0.000      0.000    0.03738   24.09216           -0.95165       83.31897         2.019e-05 
  1900.750          79.918      8.010   -109.125            6.733        13724.174      1.543      0.000      0.000    0.03674   23.82788           -0.96392       83.32866         2.054e-05 
  1901.750          79.805      8.017   -109.066            6.602        13730.758      1.538      0.000      0.000    0.03611   23.36668           -0.97815       83.33835         2.090e-05 
  1902.750          79.698      8.023   -109.010            5.915        13736.926      1.534      0.000      0.000    0.03551   21.13901           -0.99987       83.34884         2.125e-05 
