#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.SheWallZ1.59583a85-bcfd-47ed-bdab-daa3f7c171bf_Trajectory.txt
# RunID         : PySara
# ObjectID      : 59583a85-bcfd-47ed-bdab-daa3f7c171bf
# ObjectName    : SheWallZ1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1883.200          81.818      7.881   -110.218            7.172        13602.806      2.911      0.000      0.000    0.00546   25.71628           -0.83009       83.15649         1.531e-05 
  1883.300          81.807      7.882   -110.212            7.169        13603.514      2.911      0.000      0.000    0.00545   25.70458           -0.83053       83.15748         1.533e-05 
  1883.750          81.761      7.885   -110.183            7.155        13606.696      2.911      0.000      0.000    0.00542   25.65017           -0.83254       83.16194         1.544e-05 
  1884.750          81.657      7.893   -110.120            7.123        13613.744      2.911      0.000      0.000    0.00534   25.52498           -0.83746       83.17184         1.568e-05 
  1885.750          81.552      7.900   -110.057            7.091        13620.761      2.911      0.000      0.000    0.00525   25.38984           -0.84301       83.18171         1.594e-05 
  1886.750          81.448      7.908   -109.994            7.059        13627.746      2.911      0.000      0.000    0.00516   25.25397           -0.84920       83.19155         1.620e-05 
  1887.750          81.343      7.915   -109.931            7.026        13634.699      2.911      0.000      0.000    0.00508   25.11737           -0.85603       83.20136         1.647e-05 
  1888.750          81.238      7.922   -109.869            6.993        13641.620      2.911      0.000      0.000    0.00500   24.98003           -0.86351       83.21114         1.674e-05 
  1889.750          81.132      7.930   -109.807            6.960        13648.508      2.911      0.000      0.000    0.00491   24.84195           -0.87165       83.22089         1.702e-05 
  1890.750          81.026      7.937   -109.745            6.927        13655.364      2.911      0.000      0.000    0.00483   24.70312           -0.88046       83.23061         1.731e-05 
  1891.750          80.919      7.944   -109.684            6.893        13662.186      2.911      0.000      0.000    0.00475   24.56355           -0.88994       83.24030         1.760e-05 
  1892.750          80.812      7.952   -109.622            6.855        13668.973      2.911      0.000      0.000    0.00467   24.40796           -0.90015       83.24996         1.789e-05 
  1893.750          80.704      7.959   -109.562            6.806        13675.718      2.911      0.000      0.000    0.00460   24.22037           -0.91122       83.25959         1.820e-05 
  1894.750          80.596      7.966   -109.501            6.743        13682.407      2.911      0.000      0.000    0.00452   23.98157           -0.92342       83.26918         1.851e-05 
  1895.750          80.487      7.973   -109.442            6.652        13689.020      2.911      0.000      0.000    0.00444   23.65095           -0.93715       83.27872         1.882e-05 
  1896.750          80.379      7.980   -109.383            6.497        13695.512      2.911      0.000      0.000    0.00437   23.10890           -0.95333       83.28822         1.914e-05 
  1897.750          80.273      7.986   -109.328            6.033        13701.693      2.911      0.000      0.000    0.00430   21.56726           -0.97555       83.29785         1.945e-05 
