#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.BatFloor.3f5a8f7d-39ce-4a62-bb78-f5530384abfa_Trajectory.txt
# RunID         : PySara
# ObjectID      : 3f5a8f7d-39ce-4a62-bb78-f5530384abfa
# ObjectName    : BatFloor
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1264.100         101.199      2.847     24.799            7.296         9123.066     11.760      0.000      0.000    0.20043   24.18672           -0.52001       79.79198         6.801e-07 
  1264.200         101.192      2.849     24.806            7.296         9123.785     11.757      0.000      0.000    0.20029   24.18482           -0.52017       79.79234         6.806e-07 
  1264.650         101.162      2.854     24.834            7.295         9127.017     11.747      0.000      0.000    0.19963   24.17598           -0.52093       79.79397         6.829e-07 
  1265.650         101.096      2.865     24.898            7.294         9134.199     11.723      0.000      0.000    0.19812   24.15579           -0.52261       79.79759         6.882e-07 
  1266.650         101.029      2.877     24.961            7.293         9141.380     11.697      0.000      0.000    0.19651   24.13423           -0.52433       79.80122         6.939e-07 
  1267.650         100.962      2.888     25.025            7.292         9148.560     11.671      0.000      0.000    0.19490   24.11280           -0.52607       79.80487         6.998e-07 
  1268.650         100.895      2.900     25.088            7.290         9155.738     11.645      0.000      0.000    0.19330   24.09151           -0.52783       79.80854         7.057e-07 
  1269.650         100.828      2.911     25.152            7.289         9162.916     11.619      0.000      0.000    0.19171   24.07037           -0.52962       79.81222         7.116e-07 
  1270.650         100.761      2.923     25.215            7.288         9170.092     11.592      0.000      0.000    0.19013   24.04939           -0.53143       79.81591         7.177e-07 
  1271.650         100.693      2.934     25.279            7.287         9177.267     11.566      0.000      0.000    0.18855   24.02857           -0.53327       79.81961         7.238e-07 
  1272.650         100.625      2.946     25.342            7.285         9184.441     11.539      0.000      0.000    0.18698   24.00794           -0.53513       79.82333         7.300e-07 
  1273.650         100.557      2.957     25.406            7.284         9191.613     11.512      0.000      0.000    0.18542   23.98749           -0.53702       79.82707         7.363e-07 
  1274.650         100.488      2.968     25.469            7.283         9198.785     11.485      0.000      0.000    0.18386   23.96724           -0.53893       79.83082         7.426e-07 
  1275.650         100.420      2.980     25.533            7.281         9205.955     11.458      0.000      0.000    0.18231   23.94719           -0.54087       79.83458         7.490e-07 
  1276.650         100.351      2.991     25.596            7.280         9213.124     11.431      0.000      0.000    0.18076   23.92736           -0.54283       79.83835         7.556e-07 
  1277.650         100.282      3.003     25.660            7.279         9220.292     11.404      0.000      0.000    0.17923   23.90776           -0.54483       79.84214         7.622e-07 
  1278.650         100.212      3.014     25.723            7.277         9227.459     11.376      0.000      0.000    0.17769   23.88840           -0.54684       79.84595         7.689e-07 
  1279.650         100.143      3.026     25.787            7.276         9234.624     11.348      0.000      0.000    0.17616   23.86929           -0.54889       79.84977         7.757e-07 
  1280.650         100.073      3.037     25.850            7.275         9241.788     11.321      0.000      0.000    0.17464   23.85044           -0.55096       79.85360         7.826e-07 
  1281.650         100.003      3.048     25.913            7.273         9248.951     11.293      0.000      0.000    0.17312   23.83186           -0.55305       79.85745         7.896e-07 
  1282.650          99.933      3.060     25.977            7.272         9256.112     11.264      0.000      0.000    0.17161   23.81356           -0.55518       79.86131         7.966e-07 
  1283.650          99.862      3.071     26.040            7.271         9263.273     11.236      0.000      0.000    0.17010   23.79555           -0.55733       79.86518         8.038e-07 
  1284.650          99.791      3.083     26.104            7.269         9270.432     11.207      0.000      0.000    0.16860   23.77783           -0.55951       79.86907         8.111e-07 
  1285.650          99.720      3.094     26.167            7.268         9277.589     11.179      0.000      0.000    0.16710   23.76040           -0.56171       79.87297         8.185e-07 
  1286.650          99.649      3.105     26.230            7.267         9284.746     11.150      0.000      0.000    0.16560   23.74326           -0.56395       79.87689         8.261e-07 
  1287.650          99.577      3.117     26.294            7.265         9291.901     11.121      0.000      0.000    0.16411   23.72641           -0.56621       79.88081         8.337e-07 
  1288.650          99.505      3.128     26.357            7.264         9299.055     11.091      0.000      0.000    0.16263   23.70985           -0.56849       79.88476         8.415e-07 
  1289.650          99.433      3.139     26.420            7.262         9306.207     11.062      0.000      0.000    0.16115   23.69359           -0.57081       79.88872         8.493e-07 
  1290.650          99.360      3.151     26.484            7.261         9313.358     11.032      0.000      0.000    0.15967   23.67762           -0.57316       79.89269         8.573e-07 
  1291.650          99.288      3.162     26.547            7.259         9320.508     11.002      0.000      0.000    0.15820   23.66195           -0.57553       79.89667         8.654e-07 
  1292.650          99.215      3.173     26.610            7.258         9327.657     10.972      0.000      0.000    0.15673   23.64657           -0.57793       79.90067         8.737e-07 
  1293.650          99.141      3.185     26.674            7.256         9334.804     10.942      0.000      0.000    0.15527   23.63150           -0.58036       79.90468         8.820e-07 
  1294.650          99.068      3.196     26.737            7.255         9341.950     10.912      0.000      0.000    0.15381   23.61672           -0.58282       79.90871         8.905e-07 
  1295.650          98.994      3.207     26.800            7.254         9349.094     10.881      0.000      0.000    0.15236   23.60224           -0.58531       79.91275         8.992e-07 
  1296.650          98.919      3.219     26.864            7.252         9356.237     10.850      0.000      0.000    0.15091   23.58807           -0.58783       79.91680         9.079e-07 
  1297.650          98.845      3.230     26.927            7.251         9363.379     10.819      0.000      0.000    0.14946   23.57420           -0.59038       79.92087         9.169e-07 
  1298.650          98.770      3.241     26.990            7.249         9370.519     10.788      0.000      0.000    0.14802   23.56063           -0.59295       79.92495         9.259e-07 
  1299.650          98.695      3.253     27.053            7.248         9377.657     10.757      0.000      0.000    0.14659   23.54736           -0.59556       79.92905         9.351e-07 
  1300.650          98.619      3.264     27.116            7.246         9384.795     10.725      0.000      0.000    0.14516   23.53440           -0.59820       79.93316         9.445e-07 
  1301.650          98.543      3.275     27.180            7.244         9391.931     10.694      0.000      0.000    0.14373   23.52175           -0.60087       79.93728         9.540e-07 
  1302.650          98.467      3.286     27.243            7.243         9399.065     10.662      0.000      0.000    0.14231   23.50941           -0.60356       79.94142         9.637e-07 
  1303.650          98.391      3.298     27.306            7.241         9406.198     10.630      0.000      0.000    0.14089   23.49737           -0.60629       79.94557         9.736e-07 
  1304.650          98.314      3.309     27.369            7.240         9413.330     10.597      0.000      0.000    0.13948   23.48565           -0.60905       79.94973         9.836e-07 
  1305.650          98.237      3.320     27.432            7.238         9420.460     10.565      0.000      0.000    0.13807   23.47423           -0.61185       79.95391         9.938e-07 
  1306.650          98.159      3.331     27.496            7.237         9427.589     10.532      0.000      0.000    0.13667   23.46313           -0.61467       79.95810         1.004e-06 
  1307.650          98.082      3.343     27.559            7.235         9434.716     10.499      0.000      0.000    0.13527   23.45234           -0.61752       79.96230         1.015e-06 
  1308.650          98.004      3.354     27.622            7.233         9441.841     10.466      0.000      0.000    0.13388   23.44186           -0.62041       79.96652         1.025e-06 
  1309.650          97.925      3.365     27.685            7.232         9448.965     10.433      0.000      0.000    0.13249   23.43170           -0.62333       79.97075         1.036e-06 
  1310.650          97.846      3.376     27.748            7.230         9456.088     10.400      0.000      0.000    0.13111   23.42185           -0.62628       79.97500         1.047e-06 
  1311.650          97.767      3.388     27.811            7.228         9463.209     10.366      0.000      0.000    0.12973   23.41231           -0.62926       79.97925         1.059e-06 
  1312.650          97.687      3.399     27.874            7.227         9470.328     10.332      0.000      0.000    0.12835   23.40309           -0.63228       79.98353         1.070e-06 
  1313.650          97.607      3.410     27.937            7.225         9477.446     10.298      0.000      0.000    0.12698   23.39419           -0.63533       79.98781         1.082e-06 
  1314.650          97.527      3.421     28.000            7.223         9484.563     10.264      0.000      0.000    0.12562   23.38561           -0.63841       79.99211         1.094e-06 
  1315.650          97.447      3.432     28.063            7.222         9491.678     10.230      0.000      0.000    0.12426   23.37734           -0.64153       79.99642         1.106e-06 
  1316.650          97.365      3.443     28.126            7.220         9498.791     10.195      0.000      0.000    0.12290   23.36939           -0.64468       80.00075         1.118e-06 
  1317.650          97.284      3.455     28.189            7.218         9505.902     10.161      0.000      0.000    0.12155   23.36177           -0.64786       80.00509         1.131e-06 
  1318.650          97.202      3.466     28.252            7.217         9513.012     10.126      0.000      0.000    0.12021   23.35446           -0.65108       80.00944         1.144e-06 
  1319.650          97.120      3.477     28.315            7.215         9520.121     10.091      0.000      0.000    0.11887   23.34747           -0.65434       80.01381         1.157e-06 
  1320.650          97.037      3.488     28.378            7.213         9527.227     10.055      0.000      0.000    0.11753   23.34080           -0.65762       80.01819         1.170e-06 
  1321.650          96.954      3.499     28.441            7.211         9534.332     10.020      0.000      0.000    0.11620   23.33444           -0.66095       80.02258         1.184e-06 
  1322.650          96.871      3.510     28.504            7.210         9541.436      9.984      0.000      0.000    0.11488   23.32841           -0.66431       80.02698         1.198e-06 
  1323.650          96.787      3.521     28.567            7.208         9548.537      9.949      0.000      0.000    0.11356   23.32270           -0.66770       80.03140         1.212e-06 
  1324.650          96.703      3.533     28.630            7.206         9555.637      9.913      0.000      0.000    0.11225   23.31732           -0.67113       80.03584         1.226e-06 
  1325.650          96.618      3.544     28.693            7.204         9562.736      9.876      0.000      0.000    0.11094   23.31225           -0.67460       80.04028         1.241e-06 
  1326.650          96.533      3.555     28.756            7.202         9569.832      9.840      0.000      0.000    0.10964   23.30750           -0.67810       80.04474         1.256e-06 
