#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.Battery4-Internal.401bb612-2bc0-44d9-96ce-e323c7e90de9_Trajectory.txt
# RunID         : PySara
# ObjectID      : 401bb612-2bc0-44d9-96ce-e323c7e90de9
# ObjectName    : Battery4-Internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1419.650          87.851      4.574     34.678            7.213        10237.074      1.925      0.000      0.000    0.11894   24.43675           -0.87574       80.52120         4.845e-06 
  1419.750          87.840      4.575     34.684            7.213        10237.786      1.924      0.000      0.000    0.11875   24.43766           -0.87609       80.52177         4.853e-06 
  1420.200          87.791      4.580     34.712            7.212        10240.988      1.919      0.000      0.000    0.11788   24.44185           -0.87763       80.52436         4.889e-06 
  1421.200          87.680      4.590     34.776            7.211        10248.102      1.909      0.000      0.000    0.11591   24.45137           -0.88110       80.53011         4.972e-06 
  1422.200          87.569      4.601     34.839            7.210        10255.215      1.898      0.000      0.000    0.11382   24.46144           -0.88459       80.53587         5.064e-06 
  1423.200          87.457      4.612     34.902            7.208        10262.327      1.888      0.000      0.000    0.11176   24.47136           -0.88810       80.54165         5.158e-06 
  1424.200          87.345      4.622     34.965            7.207        10269.437      1.877      0.000      0.000    0.10972   24.48112           -0.89165       80.54744         5.253e-06 
  1425.200          87.233      4.633     35.028            7.206        10276.546      1.866      0.000      0.000    0.10772   24.49072           -0.89523       80.55324         5.351e-06 
  1426.200          87.120      4.643     35.092            7.204        10283.654      1.855      0.000      0.000    0.10574   24.50015           -0.89883       80.55906         5.452e-06 
  1427.200          87.007      4.654     35.155            7.203        10290.761      1.845      0.000      0.000    0.10379   24.50941           -0.90247       80.56489         5.554e-06 
  1428.200          86.893      4.664     35.218            7.201        10297.866      1.834      0.000      0.000    0.10187   24.51849           -0.90613       80.57073         5.659e-06 
  1429.200          86.779      4.675     35.281            7.200        10304.970      1.823      0.000      0.000    0.09997   24.52740           -0.90983       80.57658         5.767e-06 
  1430.200          86.665      4.685     35.344            7.198        10312.073      1.812      0.000      0.000    0.09810   24.53612           -0.91355       80.58245         5.877e-06 
  1431.200          86.550      4.696     35.407            7.197        10319.174      1.802      0.000      0.000    0.09626   24.54465           -0.91731       80.58833         5.989e-06 
  1432.200          86.434      4.706     35.470            7.195        10326.273      1.791      0.000      0.000    0.09445   24.55298           -0.92110       80.59422         6.105e-06 
  1433.200          86.318      4.717     35.534            7.193        10333.372      1.781      0.000      0.000    0.09266   24.56112           -0.92492       80.60012         6.223e-06 
  1434.200          86.202      4.727     35.597            7.192        10340.468      1.770      0.000      0.000    0.09089   24.56905           -0.92878       80.60604         6.344e-06 
  1435.200          86.085      4.738     35.660            7.190        10347.564      1.759      0.000      0.000    0.08916   24.57678           -0.93267       80.61197         6.467e-06 
  1436.200          85.968      4.748     35.723            7.188        10354.657      1.749      0.000      0.000    0.08745   24.58429           -0.93659       80.61791         6.594e-06 
  1437.200          85.850      4.759     35.786            7.187        10361.750      1.739      0.000      0.000    0.08576   24.59159           -0.94054       80.62386         6.724e-06 
  1438.200          85.732      4.769     35.849            7.185        10368.840      1.728      0.000      0.000    0.08410   24.59866           -0.94453       80.62983         6.857e-06 
  1439.200          85.613      4.780     35.912            7.183        10375.929      1.718      0.000      0.000    0.08246   24.60550           -0.94856       80.63581         6.993e-06 
  1440.200          85.494      4.790     35.975            7.182        10383.017      1.707      0.000      0.000    0.08085   24.61210           -0.95262       80.64180         7.133e-06 
  1441.200          85.375      4.800     36.038            7.180        10390.103      1.697      0.000      0.000    0.07926   24.61847           -0.95671       80.64780         7.276e-06 
  1442.200          85.254      4.811     36.101            7.178        10397.187      1.687      0.000      0.000    0.07770   24.62459           -0.96085       80.65381         7.422e-06 
  1443.200          85.134      4.821     36.164            7.176        10404.270      1.677      0.000      0.000    0.07616   24.63046           -0.96502       80.65984         7.572e-06 
  1444.200          85.013      4.832     36.227            7.174        10411.351      1.667      0.000      0.000    0.07465   24.63607           -0.96922       80.66588         7.726e-06 
  1445.200          84.891      4.842     36.290            7.172        10418.430      1.657      0.000      0.000    0.07316   24.64141           -0.97347       80.67192         7.884e-06 
  1446.200          84.769      4.852     36.353            7.171        10425.507      1.647      0.000      0.000    0.07169   24.64649           -0.97775       80.67799         8.046e-06 
  1447.200          84.646      4.863     36.416            7.169        10432.583      1.637      0.000      0.000    0.07024   24.65129           -0.98207       80.68406         8.211e-06 
  1448.200          84.523      4.873     36.479            7.167        10439.657      1.627      0.000      0.000    0.06882   24.65583           -0.98644       80.69014         8.381e-06 
  1449.200          84.400      4.883     36.542            7.165        10446.729      1.617      0.000      0.000    0.06742   24.66009           -0.99084       80.69624         8.555e-06 
  1450.200          84.275      4.894     36.605            7.163        10453.799      1.608      0.000      0.000    0.06604   24.66407           -0.99528       80.70234         8.734e-06 
  1451.200          84.151      4.904     36.667            7.161        10460.867      1.598      0.000      0.000    0.06469   24.66778           -0.99977       80.70846         8.917e-06 
  1452.200          84.026      4.914     36.730            7.159        10467.934      1.589      0.000      0.000    0.06335   24.67121           -1.00429       80.71459         9.105e-06 
  1453.200          83.900      4.925     36.793            7.156        10474.998      1.580      0.000      0.000    0.06204   24.67436           -1.00886       80.72073         9.298e-06 
  1454.200          83.774      4.935     36.856            7.154        10482.060      1.570      0.000      0.000    0.06075   24.67722           -1.01348       80.72688         9.495e-06 
  1455.200          83.647      4.945     36.919            7.152        10489.121      1.561      0.000      0.000    0.05948   24.67980           -1.01813       80.73304         9.698e-06 
  1456.200          83.519      4.956     36.982            7.150        10496.179      1.552      0.000      0.000    0.05823   24.68208           -1.02283       80.73922         9.906e-06 
  1457.200          83.391      4.966     37.044            7.148        10503.236      1.543      0.000      0.000    0.05700   24.68408           -1.02758       80.74540         1.012e-05 
  1458.200          83.263      4.976     37.107            7.145        10510.290      1.534      0.000      0.000    0.05580   24.68578           -1.03237       80.75159         1.034e-05 
  1459.200          83.134      4.986     37.170            7.143        10517.342      1.526      0.000      0.000    0.05461   24.68719           -1.03721       80.75780         1.056e-05 
  1460.200          83.004      4.997     37.233            7.141        10524.392      1.517      0.000      0.000    0.05344   24.68830           -1.04210       80.76401         1.079e-05 
  1461.200          82.874      5.007     37.295            7.138        10531.439      1.508      0.000      0.000    0.05230   24.68911           -1.04704       80.77023         1.103e-05 
  1462.200          82.744      5.017     37.358            7.136        10538.485      1.500      0.000      0.000    0.05117   24.68961           -1.05202       80.77647         1.127e-05 
