#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.EDR-internal.e95fb00d-0612-45b8-8e8e-80e421fe680b_Trajectory.txt
# RunID         : PySara
# ObjectID      : e95fb00d-0612-45b8-8e8e-80e421fe680b
# ObjectName    : EDR-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1425.650          85.745      4.614     34.919            6.864        10264.206      2.546      0.000      0.000    0.12318   23.49721           -1.20455       80.54795         6.858e-06 
  1425.750          85.731      4.615     34.925            6.862        10264.883      2.544      0.000      0.000    0.12293   23.49411           -1.20559       80.54852         6.872e-06 
  1426.200          85.666      4.620     34.952            6.856        10267.929      2.537      0.000      0.000    0.12174   23.47962           -1.21032       80.55106         6.939e-06 
  1427.200          85.520      4.630     35.012            6.841        10274.685      2.519      0.000      0.000    0.11904   23.44587           -1.22104       80.55672         7.097e-06 
  1428.200          85.374      4.640     35.072            6.826        10281.428      2.500      0.000      0.000    0.11619   23.40877           -1.23207       80.56238         7.271e-06 
  1429.200          85.227      4.650     35.132            6.810        10288.155      2.482      0.000      0.000    0.11339   23.37076           -1.24341       80.56804         7.451e-06 
  1430.200          85.079      4.660     35.191            6.795        10294.868      2.463      0.000      0.000    0.11064   23.33183           -1.25507       80.57370         7.637e-06 
  1431.200          84.929      4.670     35.251            6.779        10301.565      2.444      0.000      0.000    0.10793   23.29196           -1.26706       80.57936         7.828e-06 
  1432.200          84.779      4.679     35.310            6.763        10308.247      2.425      0.000      0.000    0.10527   23.25114           -1.27937       80.58503         8.027e-06 
  1433.200          84.627      4.689     35.369            6.747        10314.913      2.406      0.000      0.000    0.10265   23.20935           -1.29202       80.59069         8.231e-06 
  1434.200          84.475      4.699     35.429            6.711        10321.553      2.387      0.000      0.000    0.10008   23.10687           -1.30519       80.59646         8.443e-06 
