#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.GRAS-GEU.3e3557b4-6663-48e9-990d-b3153e71579a_Trajectory.txt
# RunID         : PySara
# ObjectID      : 3e3557b4-6663-48e9-990d-b3153e71579a
# ObjectName    : GRAS-GEU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1398.200          90.148      4.345     33.321            7.238        10084.387      2.234      0.000      0.000    0.24375   24.18216           -0.80411       80.40118         3.334e-06 
  1398.300          90.138      4.346     33.327            7.238        10085.101      2.233      0.000      0.000    0.24340   24.18216           -0.80441       80.40173         3.339e-06 
  1398.750          90.092      4.351     33.356            7.235        10088.312      2.229      0.000      0.000    0.24179   24.18214           -0.80573       80.40420         3.361e-06 
  1399.750          89.990      4.362     33.419            7.231        10095.445      2.221      0.000      0.000    0.23813   24.18196           -0.80875       80.40968         3.413e-06 
  1400.750          89.888      4.373     33.483            7.226        10102.573      2.212      0.000      0.000    0.23424   24.18152           -0.81186       80.41518         3.470e-06 
  1401.750          89.786      4.383     33.546            7.221        10109.697      2.202      0.000      0.000    0.23041   24.18084           -0.81507       80.42069         3.528e-06 
  1402.750          89.683      4.394     33.609            7.216        10116.815      2.193      0.000      0.000    0.22662   24.17991           -0.81837       80.42621         3.587e-06 
  1403.750          89.580      4.405     33.672            7.211        10123.929      2.184      0.000      0.000    0.22287   24.17872           -0.82178       80.43174         3.648e-06 
  1404.750          89.476      4.416     33.735            7.205        10131.037      2.174      0.000      0.000    0.21918   24.17727           -0.82528       80.43728         3.709e-06 
  1405.750          89.372      4.426     33.798            7.200        10138.141      2.164      0.000      0.000    0.21552   24.17557           -0.82889       80.44283         3.772e-06 
  1406.750          89.268      4.437     33.862            7.195        10145.240      2.155      0.000      0.000    0.21192   24.17360           -0.83260       80.44840         3.837e-06 
  1407.750          89.163      4.447     33.925            7.190        10152.333      2.145      0.000      0.000    0.20835   24.17136           -0.83641       80.45397         3.903e-06 
  1408.750          89.058      4.458     33.988            7.184        10159.422      2.135      0.000      0.000    0.20483   24.16886           -0.84033       80.45955         3.970e-06 
  1409.750          88.952      4.469     34.050            7.179        10166.505      2.126      0.000      0.000    0.20135   24.16608           -0.84435       80.46514         4.039e-06 
  1410.750          88.846      4.479     34.113            7.173        10173.583      2.116      0.000      0.000    0.19792   24.16302           -0.84848       80.47075         4.109e-06 
  1411.750          88.740      4.490     34.176            7.168        10180.655      2.106      0.000      0.000    0.19453   24.15968           -0.85272       80.47636         4.181e-06 
  1412.750          88.633      4.500     34.239            7.162        10187.722      2.096      0.000      0.000    0.19117   24.15606           -0.85708       80.48198         4.254e-06 
  1413.750          88.525      4.511     34.302            7.157        10194.784      2.085      0.000      0.000    0.18786   24.15215           -0.86154       80.48762         4.330e-06 
  1414.750          88.418      4.522     34.364            7.151        10201.840      2.075      0.000      0.000    0.18459   24.14794           -0.86612       80.49326         4.407e-06 
  1415.750          88.309      4.532     34.427            7.145        10208.891      2.065      0.000      0.000    0.18136   24.14344           -0.87081       80.49892         4.485e-06 
  1416.750          88.200      4.543     34.490            7.139        10215.935      2.055      0.000      0.000    0.17817   24.13863           -0.87561       80.50458         4.566e-06 
  1417.750          88.091      4.553     34.552            7.133        10222.975      2.044      0.000      0.000    0.17502   24.13351           -0.88054       80.51026         4.648e-06 
  1418.750          87.981      4.564     34.615            7.127        10230.008      2.034      0.000      0.000    0.17190   24.12809           -0.88558       80.51594         4.733e-06 
  1419.750          87.871      4.574     34.677            7.121        10237.035      2.023      0.000      0.000    0.16883   24.12234           -0.89074       80.52164         4.819e-06 
  1420.750          87.760      4.584     34.740            7.115        10244.057      2.012      0.000      0.000    0.16579   24.11628           -0.89603       80.52735         4.908e-06 
