#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.Gyrosbl.43089cf7-03c5-4130-a53f-e1761f4b1c62_Trajectory.txt
# RunID         : PySara
# ObjectID      : 43089cf7-03c5-4130-a53f-e1761f4b1c62
# ObjectName    : Gyrosbl
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1264.100         101.199      2.847     24.799            7.296         9123.066      3.902      0.000      0.000    1.06571   24.18672           -0.52001       79.79198         6.801e-07 
  1264.200         101.192      2.849     24.806            7.296         9123.785      3.902      0.000      0.000    1.06495   24.18492           -0.52017       79.79234         6.806e-07 
  1264.650         101.162      2.854     24.834            7.296         9127.017      3.902      0.000      0.000    1.06144   24.17657           -0.52092       79.79396         6.829e-07 
  1265.650         101.096      2.865     24.898            7.295         9134.199      3.903      0.000      0.000    1.05341   24.15750           -0.52261       79.79758         6.882e-07 
  1266.650         101.029      2.877     24.961            7.294         9141.381      3.903      0.000      0.000    1.04484   24.13713           -0.52431       79.80121         6.939e-07 
  1267.650         100.962      2.888     25.025            7.293         9148.562      3.903      0.000      0.000    1.03630   24.11690           -0.52602       79.80485         6.998e-07 
  1268.650         100.895      2.900     25.088            7.292         9155.742      3.903      0.000      0.000    1.02780   24.09680           -0.52776       79.80851         7.057e-07 
  1269.650         100.828      2.911     25.152            7.291         9162.921      3.903      0.000      0.000    1.01934   24.07685           -0.52951       79.81219         7.116e-07 
  1270.650         100.760      2.923     25.215            7.290         9170.099      3.903      0.000      0.000    1.01092   24.05706           -0.53128       79.81587         7.177e-07 
  1271.650         100.693      2.934     25.279            7.289         9177.277      3.903      0.000      0.000    1.00254   24.03743           -0.53307       79.81958         7.238e-07 
