#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.IASI-DPS-internal.122eb294-6444-456e-9a34-b927575ac0d3_Trajectory.txt
# RunID         : PySara
# ObjectID      : 122eb294-6444-456e-9a34-b927575ac0d3
# ObjectName    : IASI-DPS-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1451.750          84.042      4.904     36.669            6.955        10461.077      1.611      0.000      0.000    0.07969   23.96946           -1.07503       80.71020         9.104e-06 
  1451.850          84.029      4.905     36.675            6.954        10461.764      1.610      0.000      0.000    0.07954   23.96616           -1.07589       80.71081         9.122e-06 
  1452.300          83.970      4.910     36.703            6.948        10464.851      1.606      0.000      0.000    0.07884   23.95076           -1.07978       80.71352         9.203e-06 
  1453.300          83.839      4.920     36.764            6.933        10471.701      1.596      0.000      0.000    0.07725   23.91501           -1.08865       80.71955         9.392e-06 
  1454.300          83.706      4.930     36.825            6.919        10478.537      1.585      0.000      0.000    0.07557   23.87589           -1.09780       80.72557         9.601e-06 
  1455.300          83.573      4.940     36.885            6.905        10485.359      1.575      0.000      0.000    0.07391   23.83600           -1.10725       80.73159         9.816e-06 
  1456.300          83.440      4.950     36.946            6.890        10492.167      1.565      0.000      0.000    0.07228   23.79535           -1.11699       80.73760         1.004e-05 
  1457.300          83.305      4.960     37.006            6.875        10498.961      1.554      0.000      0.000    0.07068   23.75391           -1.12704       80.74362         1.027e-05 
  1458.300          83.169      4.969     37.067            6.860        10505.740      1.544      0.000      0.000    0.06910   23.71168           -1.13739       80.74962         1.050e-05 
  1459.300          83.032      4.979     37.127            6.845        10512.504      1.534      0.000      0.000    0.06754   23.66808           -1.14805       80.75562         1.074e-05 
  1460.300          82.896      4.989     37.186            6.705        10519.191      1.524      0.000      0.000    0.06602   23.24769           -1.16015       80.76177         1.099e-05 
