#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.IASI-IMS-internal.4c90b642-dc9f-481d-89b1-f740beeca2a8_Trajectory.txt
# RunID         : PySara
# ObjectID      : 4c90b642-dc9f-481d-89b1-f740beeca2a8
# ObjectName    : IASI-IMS-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1450.750          84.184      4.895     36.613            6.995        10454.724      1.481      0.000      0.000    0.07661   24.09582           -1.05629       80.70441         8.891e-06 
  1450.850          84.171      4.896     36.619            6.994        10455.414      1.480      0.000      0.000    0.07647   24.09335           -1.05707       80.70502         8.908e-06 
  1451.300          84.113      4.901     36.647            6.989        10458.520      1.476      0.000      0.000    0.07580   24.08185           -1.06059       80.70773         8.986e-06 
  1452.300          83.983      4.911     36.708            6.978        10465.412      1.467      0.000      0.000    0.07430   24.05506           -1.06859       80.71377         9.169e-06 
  1453.300          83.853      4.921     36.769            6.966        10472.293      1.458      0.000      0.000    0.07270   24.02566           -1.07683       80.71981         9.370e-06 
  1454.300          83.721      4.931     36.830            6.954        10479.163      1.448      0.000      0.000    0.07113   23.99558           -1.08530       80.72585         9.578e-06 
  1455.300          83.589      4.941     36.891            6.943        10486.021      1.439      0.000      0.000    0.06958   23.96481           -1.09401       80.73189         9.791e-06 
  1456.300          83.456      4.951     36.952            6.931        10492.868      1.430      0.000      0.000    0.06806   23.93335           -1.10296       80.73793         1.001e-05 
  1457.300          83.322      4.961     37.013            6.918        10499.703      1.420      0.000      0.000    0.06656   23.90119           -1.11215       80.74396         1.024e-05 
  1458.300          83.188      4.971     37.074            6.906        10506.526      1.411      0.000      0.000    0.06508   23.86831           -1.12160       80.75000         1.047e-05 
  1459.300          83.052      4.980     37.134            6.894        10513.337      1.402      0.000      0.000    0.06362   23.83470           -1.13129       80.75603         1.071e-05 
  1460.300          82.916      4.990     37.195            6.855        10520.122      1.393      0.000      0.000    0.06220   23.72189           -1.14148       80.76209         1.095e-05 
