#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.MOD1.a96dc980-3752-485f-aa0d-ed740e37d25d_Trajectory.txt
# RunID         : PySara
# ObjectID      : a96dc980-3752-485f-aa0d-ed740e37d25d
# ObjectName    : MOD1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1398.200          90.148      4.345     33.321            7.238        10084.387      1.821      0.000      0.000    0.43420   24.18216           -0.80411       80.40118         3.334e-06 
  1398.300          90.138      4.346     33.327            7.237        10085.101      1.821      0.000      0.000    0.43358   24.18070           -0.80441       80.40173         3.339e-06 
  1398.750          90.092      4.351     33.356            7.233        10088.312      1.819      0.000      0.000    0.43071   24.17388           -0.80574       80.40421         3.361e-06 
  1399.750          89.991      4.362     33.419            7.223        10095.439      1.814      0.000      0.000    0.42419   24.15796           -0.80885       80.40971         3.413e-06 
  1400.750          89.888      4.373     33.482            7.213        10102.557      1.810      0.000      0.000    0.41728   24.14042           -0.81215       80.41523         3.470e-06 
  1401.750          89.786      4.383     33.546            7.203        10109.665      1.805      0.000      0.000    0.41046   24.12241           -0.81565       80.42075         3.528e-06 
  1402.750          89.683      4.394     33.609            7.192        10116.763      1.800      0.000      0.000    0.40372   24.10393           -0.81935       80.42628         3.587e-06 
  1403.750          89.580      4.405     33.672            7.182        10123.851      1.795      0.000      0.000    0.39706   24.08497           -0.82325       80.43181         3.647e-06 
  1404.750          89.477      4.415     33.734            7.172        10130.929      1.790      0.000      0.000    0.39049   24.06554           -0.82735       80.43736         3.709e-06 
  1405.750          89.373      4.426     33.797            7.161        10137.997      1.784      0.000      0.000    0.38400   24.04563           -0.83166       80.44291         3.772e-06 
  1406.750          89.269      4.437     33.860            7.150        10145.054      1.779      0.000      0.000    0.37758   24.02524           -0.83618       80.44846         3.836e-06 
  1407.750          89.165      4.447     33.922            7.139        10152.101      1.774      0.000      0.000    0.37124   24.00437           -0.84091       80.45403         3.902e-06 
  1408.750          89.060      4.458     33.985            7.129        10159.137      1.768      0.000      0.000    0.36498   23.98300           -0.84585       80.45960         3.969e-06 
  1409.750          88.954      4.468     34.047            7.117        10166.162      1.762      0.000      0.000    0.35879   23.96115           -0.85102       80.46518         4.038e-06 
  1410.750          88.848      4.479     34.110            7.106        10173.177      1.757      0.000      0.000    0.35267   23.93879           -0.85640       80.47076         4.108e-06 
