#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.SADME.64b02e72-4243-475a-a0f7-8c6fa719a799_Trajectory.txt
# RunID         : PySara
# ObjectID      : 64b02e72-4243-475a-a0f7-8c6fa719a799
# ObjectName    : SADME
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1264.100         101.199      2.847     24.799            7.296         9123.066      5.270      0.000      0.000    1.19605   24.18672           -0.52001       79.79198         6.801e-07 
  1264.200         101.192      2.849     24.806            7.296         9123.785      5.270      0.000      0.000    1.19520   24.18484           -0.52017       79.79234         6.806e-07 
  1264.650         101.162      2.854     24.834            7.295         9127.017      5.270      0.000      0.000    1.19126   24.17609           -0.52093       79.79397         6.829e-07 
  1265.650         101.096      2.865     24.898            7.294         9134.199      5.270      0.000      0.000    1.18225   24.15611           -0.52261       79.79759         6.882e-07 
  1266.650         101.029      2.877     24.961            7.293         9141.380      5.270      0.000      0.000    1.17262   24.13476           -0.52432       79.80122         6.939e-07 
  1267.650         100.962      2.888     25.025            7.292         9148.560      5.271      0.000      0.000    1.16304   24.11354           -0.52606       79.80487         6.998e-07 
  1268.650         100.895      2.900     25.088            7.291         9155.739      5.271      0.000      0.000    1.15351   24.09245           -0.52782       79.80853         7.057e-07 
  1269.650         100.828      2.911     25.152            7.289         9162.916      5.271      0.000      0.000    1.14402   24.07150           -0.52960       79.81221         7.116e-07 
  1270.650         100.761      2.923     25.215            7.288         9170.093      5.271      0.000      0.000    1.13457   24.05069           -0.53140       79.81590         7.177e-07 
  1271.650         100.693      2.934     25.279            7.287         9177.269      5.271      0.000      0.000    1.12516   24.03005           -0.53323       79.81961         7.238e-07 
  1272.650         100.625      2.946     25.342            7.286         9184.443      5.271      0.000      0.000    1.11579   24.00958           -0.53508       79.82333         7.300e-07 
  1273.650         100.557      2.957     25.406            7.285         9191.616      5.272      0.000      0.000    1.10646   23.98928           -0.53696       79.82706         7.363e-07 
  1274.650         100.488      2.968     25.469            7.283         9198.788      5.272      0.000      0.000    1.09717   23.96917           -0.53887       79.83081         7.426e-07 
  1275.650         100.420      2.980     25.533            7.282         9205.959      5.272      0.000      0.000    1.08792   23.94926           -0.54079       79.83457         7.490e-07 
  1276.650         100.351      2.991     25.596            7.281         9213.129      5.272      0.000      0.000    1.07870   23.92955           -0.54275       79.83835         7.556e-07 
  1277.650         100.282      3.003     25.660            7.279         9220.297      5.272      0.000      0.000    1.06951   23.91006           -0.54472       79.84214         7.622e-07 
  1278.650         100.212      3.014     25.723            7.278         9227.464      5.272      0.000      0.000    1.06036   23.89080           -0.54673       79.84594         7.689e-07 
  1279.650         100.143      3.026     25.787            7.277         9234.631      5.272      0.000      0.000    1.05124   23.87178           -0.54876       79.84976         7.757e-07 
  1280.650         100.073      3.037     25.850            7.276         9241.795      5.273      0.000      0.000    1.04215   23.85301           -0.55081       79.85359         7.826e-07 
  1281.650         100.003      3.048     25.914            7.274         9248.959      5.273      0.000      0.000    1.03309   23.83450           -0.55290       79.85744         7.896e-07 
  1282.650          99.933      3.060     25.977            7.273         9256.121      5.273      0.000      0.000    1.02406   23.81626           -0.55500       79.86130         7.966e-07 
  1283.650          99.862      3.071     26.040            7.272         9263.283      5.273      0.000      0.000    1.01506   23.79830           -0.55714       79.86517         8.038e-07 
  1284.650          99.791      3.083     26.104            7.270         9270.442      5.273      0.000      0.000    1.00609   23.78061           -0.55930       79.86906         8.111e-07 
  1285.650          99.720      3.094     26.167            7.269         9277.601      5.273      0.000      0.000    0.99714   23.76321           -0.56149       79.87296         8.185e-07 
  1286.650          99.649      3.105     26.231            7.267         9284.758      5.273      0.000      0.000    0.98823   23.74607           -0.56371       79.87688         8.261e-07 
  1287.650          99.577      3.117     26.294            7.266         9291.914      5.273      0.000      0.000    0.97934   23.72922           -0.56595       79.88081         8.337e-07 
  1288.650          99.505      3.128     26.357            7.265         9299.069      5.273      0.000      0.000    0.97048   23.71265           -0.56822       79.88475         8.414e-07 
  1289.650          99.433      3.139     26.421            7.263         9306.222      5.273      0.000      0.000    0.96165   23.69636           -0.57052       79.88871         8.493e-07 
  1290.650          99.361      3.151     26.484            7.262         9313.374      5.273      0.000      0.000    0.95284   23.68035           -0.57285       79.89268         8.573e-07 
  1291.650          99.288      3.162     26.547            7.260         9320.525      5.272      0.000      0.000    0.94406   23.66462           -0.57521       79.89667         8.654e-07 
  1292.650          99.215      3.174     26.611            7.259         9327.674      5.272      0.000      0.000    0.93531   23.64918           -0.57760       79.90067         8.736e-07 
  1293.650          99.142      3.185     26.674            7.257         9334.822      5.271      0.000      0.000    0.92659   23.63402           -0.58001       79.90468         8.820e-07 
  1294.650          99.068      3.196     26.737            7.256         9341.968      5.271      0.000      0.000    0.91789   23.61915           -0.58246       79.90871         8.905e-07 
  1295.650          98.994      3.207     26.800            7.254         9349.113      5.270      0.000      0.000    0.90922   23.60456           -0.58493       79.91275         8.991e-07 
  1296.650          98.920      3.219     26.864            7.253         9356.257      5.269      0.000      0.000    0.90058   23.59026           -0.58744       79.91680         9.079e-07 
  1297.650          98.845      3.230     26.927            7.251         9363.399      5.268      0.000      0.000    0.89197   23.57625           -0.58997       79.92087         9.168e-07 
  1298.650          98.770      3.241     26.990            7.250         9370.540      5.267      0.000      0.000    0.88338   23.56252           -0.59254       79.92495         9.259e-07 
  1299.650          98.695      3.253     27.053            7.248         9377.679      5.266      0.000      0.000    0.87482   23.54909           -0.59514       79.92905         9.351e-07 
  1300.650          98.620      3.264     27.117            7.246         9384.817      5.265      0.000      0.000    0.86629   23.53594           -0.59776       79.93316         9.444e-07 
  1301.650          98.544      3.275     27.180            7.245         9391.953      5.263      0.000      0.000    0.85778   23.52308           -0.60042       79.93728         9.539e-07 
  1302.650          98.468      3.287     27.243            7.243         9399.088      5.262      0.000      0.000    0.84931   23.51052           -0.60312       79.94142         9.636e-07 
  1303.650          98.392      3.298     27.306            7.242         9406.222      5.260      0.000      0.000    0.84086   23.49825           -0.60584       79.94557         9.735e-07 
  1304.650          98.315      3.309     27.369            7.240         9413.353      5.258      0.000      0.000    0.83244   23.48627           -0.60860       79.94974         9.835e-07 
  1305.650          98.238      3.320     27.433            7.238         9420.484      5.257      0.000      0.000    0.82404   23.47458           -0.61139       79.95392         9.936e-07 
  1306.650          98.160      3.332     27.496            7.237         9427.612      5.255      0.000      0.000    0.81568   23.46319           -0.61421       79.95811         1.004e-06 
  1307.650          98.083      3.343     27.559            7.235         9434.739      5.253      0.000      0.000    0.80734   23.45209           -0.61706       79.96231         1.015e-06 
  1308.650          98.005      3.354     27.622            7.233         9441.865      5.250      0.000      0.000    0.79903   23.44129           -0.61995       79.96653         1.025e-06 
  1309.650          97.926      3.365     27.685            7.231         9448.989      5.248      0.000      0.000    0.79074   23.43078           -0.62288       79.97077         1.036e-06 
  1310.650          97.847      3.376     27.748            7.230         9456.111      5.245      0.000      0.000    0.78249   23.42057           -0.62583       79.97501         1.047e-06 
  1311.650          97.768      3.388     27.811            7.228         9463.231      5.243      0.000      0.000    0.77426   23.41065           -0.62883       79.97927         1.059e-06 
  1312.650          97.689      3.399     27.874            7.226         9470.350      5.240      0.000      0.000    0.76607   23.40103           -0.63186       79.98355         1.070e-06 
  1313.650          97.609      3.410     27.937            7.224         9477.467      5.237      0.000      0.000    0.75790   23.39171           -0.63492       79.98784         1.082e-06 
  1314.650          97.529      3.421     28.000            7.223         9484.583      5.234      0.000      0.000    0.74976   23.38268           -0.63802       79.99214         1.094e-06 
  1315.650          97.448      3.432     28.063            7.221         9491.697      5.231      0.000      0.000    0.74165   23.37395           -0.64115       79.99645         1.106e-06 
  1316.650          97.367      3.444     28.127            7.219         9498.809      5.228      0.000      0.000    0.73357   23.36552           -0.64433       80.00078         1.118e-06 
  1317.650          97.286      3.455     28.190            7.217         9505.919      5.224      0.000      0.000    0.72552   23.35738           -0.64753       80.00512         1.131e-06 
  1318.650          97.204      3.466     28.253            7.215         9513.028      5.221      0.000      0.000    0.71750   23.34955           -0.65078       80.00947         1.144e-06 
  1319.650          97.122      3.477     28.315            7.213         9520.134      5.217      0.000      0.000    0.70951   23.34201           -0.65407       80.01384         1.157e-06 
  1320.650          97.039      3.488     28.378            7.211         9527.239      5.213      0.000      0.000    0.70155   23.33477           -0.65739       80.01822         1.170e-06 
  1321.650          96.956      3.499     28.441            7.209         9534.342      5.209      0.000      0.000    0.69362   23.32782           -0.66075       80.02262         1.183e-06 
