#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.BSP-internal.0311edf9-aed6-4e1b-b434-a28e63dccd64_Trajectory.txt
# RunID         : PySara
# ObjectID      : 0311edf9-aed6-4e1b-b434-a28e63dccd64
# ObjectName    : BSP-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2178.481          82.232     -8.760   -131.723            7.095        15735.695      1.172      0.000      0.000    0.01669   24.53592           -0.84366       84.19597         1.253e-05 
  2178.581          82.221     -8.759   -131.716            7.094        15736.396      1.172      0.000      0.000    0.01666   24.53446           -0.84424       84.19488         1.255e-05 
  2179.031          82.174     -8.756   -131.688            7.092        15739.546      1.171      0.000      0.000    0.01655   24.52761           -0.84688       84.18996         1.263e-05 
  2180.031          82.069     -8.750   -131.625            7.085        15746.544      1.171      0.000      0.000    0.01628   24.51163           -0.85285       84.17905         1.284e-05 
  2181.031          81.963     -8.743   -131.562            7.078        15753.535      1.170      0.000      0.000    0.01600   24.49404           -0.85894       84.16816         1.307e-05 
  2182.031          81.857     -8.737   -131.498            7.072        15760.519      1.169      0.000      0.000    0.01572   24.47601           -0.86517       84.15728         1.330e-05 
  2183.031          81.750     -8.731   -131.435            7.065        15767.497      1.169      0.000      0.000    0.01544   24.45752           -0.87153       84.14641         1.354e-05 
  2184.031          81.642     -8.724   -131.372            7.058        15774.468      1.168      0.000      0.000    0.01517   24.43856           -0.87803       84.13556         1.378e-05 
  2185.031          81.533     -8.718   -131.309            7.051        15781.432      1.168      0.000      0.000    0.01490   24.41912           -0.88467       84.12472         1.403e-05 
  2186.031          81.424     -8.711   -131.246            7.044        15788.390      1.167      0.000      0.000    0.01464   24.39920           -0.89146       84.11390         1.429e-05 
  2187.031          81.314     -8.705   -131.184            7.036        15795.340      1.167      0.000      0.000    0.01437   24.37878           -0.89839       84.10309         1.455e-05 
  2188.031          81.203     -8.698   -131.121            7.029        15802.283      1.167      0.000      0.000    0.01411   24.35787           -0.90546       84.09229         1.482e-05 
  2189.031          81.092     -8.692   -131.058            7.021        15809.219      1.166      0.000      0.000    0.01385   24.33644           -0.91269       84.08152         1.509e-05 
  2190.031          80.980     -8.685   -130.996            7.014        15816.148      1.166      0.000      0.000    0.01360   24.31449           -0.92007       84.07075         1.537e-05 
  2191.031          80.867     -8.679   -130.933            7.006        15823.069      1.166      0.000      0.000    0.01335   24.29200           -0.92760       84.06001         1.566e-05 
  2192.031          80.753     -8.672   -130.870            6.998        15829.982      1.165      0.000      0.000    0.01310   24.26898           -0.93529       84.04928         1.596e-05 
  2193.031          80.638     -8.666   -130.808            6.990        15836.887      1.165      0.000      0.000    0.01286   24.24540           -0.94314       84.03856         1.626e-05 
  2194.031          80.523     -8.659   -130.746            6.982        15843.785      1.165      0.000      0.000    0.01261   24.22126           -0.95116       84.02786         1.658e-05 
  2195.031          80.406     -8.653   -130.683            6.973        15850.675      1.165      0.000      0.000    0.01237   24.19654           -0.95934       84.01718         1.690e-05 
  2196.031          80.289     -8.646   -130.621            6.965        15857.556      1.165      0.000      0.000    0.01214   24.17022           -0.96770       84.00651         1.723e-05 
  2197.031          80.171     -8.640   -130.559            6.950        15864.426      1.165      0.000      0.000    0.01190   24.12716           -0.97628       83.99582         1.757e-05 
  2198.031          80.053     -8.634   -130.497            6.916        15871.272      1.164      0.000      0.000    0.01167   24.02000           -0.98530       83.98499         1.791e-05 
