#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.Compound_of-IFring-PLM-SVM-SolarP.9072898396368480566_Trajectory.txt
# RunID         : PySara
# ObjectID      : 9072898396368480566
# ObjectName    : Compound_of-IFring-PLM-SVM-SolarP
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.000         124.961      4.938     87.049            7.369            0.000      1.796      0.000      0.000    0.45978   17.86507            0.00389       99.61075         1.496e-08 
     0.100         124.961      4.937     87.055            7.369            0.723      1.796      0.000      0.000    0.45979   17.86506            0.00389       99.61137         1.496e-08 
     0.550         124.961      4.932     87.084            7.369            3.976      1.796      0.000      0.000    0.45980   17.86497            0.00389       99.61418         1.496e-08 
     1.550         124.962      4.922     87.148            7.369           11.204      1.796      0.000      0.000    0.45983   17.86476            0.00390       99.62042         1.496e-08 
     2.550         124.962      4.911     87.212            7.369           18.432      1.796      0.000      0.000    0.45986   17.86454            0.00390       99.62664         1.496e-08 
     3.550         124.963      4.900     87.277            7.369           25.660      1.796      0.000      0.000    0.45990   17.86432            0.00391       99.63285         1.496e-08 
     4.550         124.963      4.889     87.341            7.369           32.889      1.796      0.000      0.000    0.45993   17.86409            0.00391       99.63905         1.496e-08 
     5.550         124.964      4.878     87.405            7.369           40.117      1.796      0.000      0.000    0.45996   17.86387            0.00392       99.64523         1.496e-08 
     6.550         124.964      4.867     87.469            7.369           47.345      1.796      0.000      0.000    0.45999   17.86365            0.00392       99.65140         1.495e-08 
     7.550         124.965      4.856     87.534            7.369           54.574      1.796      0.000      0.000    0.46002   17.86343            0.00392       99.65755         1.495e-08 
     8.550         124.965      4.845     87.598            7.369           61.802      1.796      0.000      0.000    0.46006   17.86320            0.00393       99.66369         1.495e-08 
     9.550         124.966      4.834     87.662            7.369           69.030      1.796      0.000      0.000    0.46009   17.86298            0.00393       99.66981         1.495e-08 
    10.550         124.966      4.823     87.726            7.369           76.258      1.796      0.000      0.000    0.46012   17.86276            0.00393       99.67592         1.495e-08 
    11.550         124.967      4.812     87.791            7.369           83.487      1.796      0.000      0.000    0.46015   17.86253            0.00394       99.68202         1.495e-08 
