#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.Compound_of-IFring-PLM-SVM.8966457237276172576_Trajectory.txt
# RunID         : PySara
# ObjectID      : 8966457237276172576
# ObjectName    : Compound_of-IFring-PLM-SVM
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1863.550         102.350    -10.162   -152.326            7.347        13468.332      0.933      0.000      0.000    0.03416   24.92711           -0.33944       88.05831         5.676e-07 
  1863.650         102.346    -10.161   -152.320            7.347        13469.055      0.933      0.000      0.000    0.03414   24.92646           -0.33951       88.05700         5.679e-07 
  1864.100         102.326    -10.160   -152.290            7.347        13472.309      0.932      0.000      0.000    0.03406   24.92346           -0.33983       88.05110         5.693e-07 
  1865.100         102.282    -10.158   -152.224            7.347        13479.539      0.932      0.000      0.000    0.03387   24.91660           -0.34055       88.03800         5.725e-07 
  1866.100         102.239    -10.156   -152.158            7.347        13486.768      0.931      0.000      0.000    0.03367   24.90923           -0.34126       88.02490         5.760e-07 
  1867.100         102.195    -10.154   -152.092            7.347        13493.998      0.930      0.000      0.000    0.03347   24.90187           -0.34198       88.01180         5.795e-07 
  1868.100         102.151    -10.151   -152.026            7.347        13501.228      0.929      0.000      0.000    0.03327   24.89451           -0.34270       87.99870         5.831e-07 
  1869.100         102.107    -10.149   -151.960            7.347        13508.458      0.928      0.000      0.000    0.03307   24.88716           -0.34341       87.98561         5.866e-07 
  1870.100         102.063    -10.147   -151.894            7.347        13515.688      0.927      0.000      0.000    0.03288   24.87983           -0.34413       87.97252         5.902e-07 
  1871.100         102.019    -10.144   -151.828            7.347        13522.918      0.926      0.000      0.000    0.03268   24.87250           -0.34485       87.95944         5.938e-07 
  1872.100         101.974    -10.142   -151.763            7.347        13530.148      0.925      0.000      0.000    0.03248   24.86519           -0.34557       87.94636         5.975e-07 
  1873.100         101.930    -10.140   -151.697            7.346        13537.379      0.924      0.000      0.000    0.03229   24.85789           -0.34630       87.93328         6.012e-07 
  1874.100         101.886    -10.137   -151.631            7.346        13544.609      0.923      0.000      0.000    0.03209   24.85061           -0.34702       87.92020         6.049e-07 
  1875.100         101.841    -10.135   -151.565            7.346        13551.839      0.922      0.000      0.000    0.03190   24.84335           -0.34774       87.90713         6.086e-07 
  1876.100         101.796    -10.133   -151.499            7.346        13559.069      0.921      0.000      0.000    0.03171   24.83611           -0.34847       87.89406         6.124e-07 
  1877.100         101.752    -10.130   -151.433            7.346        13566.299      0.920      0.000      0.000    0.03152   24.82889           -0.34919       87.88100         6.162e-07 
  1878.100         101.707    -10.128   -151.367            7.346        13573.529      0.919      0.000      0.000    0.03133   24.82169           -0.34992       87.86793         6.200e-07 
  1879.100         101.662    -10.125   -151.301            7.346        13580.760      0.919      0.000      0.000    0.03113   24.81452           -0.35065       87.85487         6.239e-07 
  1880.100         101.617    -10.123   -151.235            7.346        13587.990      0.918      0.000      0.000    0.03095   24.80737           -0.35138       87.84182         6.278e-07 
  1881.100         101.572    -10.120   -151.169            7.346        13595.220      0.917      0.000      0.000    0.03076   24.80025           -0.35211       87.82876         6.317e-07 
  1882.100         101.527    -10.118   -151.103            7.346        13602.451      0.916      0.000      0.000    0.03057   24.79316           -0.35284       87.81571         6.357e-07 
  1883.100         101.481    -10.115   -151.037            7.346        13609.681      0.915      0.000      0.000    0.03038   24.78611           -0.35357       87.80267         6.397e-07 
  1884.100         101.436    -10.113   -150.971            7.346        13616.911      0.914      0.000      0.000    0.03020   24.77908           -0.35431       87.78963         6.437e-07 
  1885.100         101.391    -10.110   -150.905            7.346        13624.142      0.913      0.000      0.000    0.03001   24.77209           -0.35504       87.77659         6.478e-07 
  1886.100         101.345    -10.108   -150.839            7.346        13631.372      0.913      0.000      0.000    0.02982   24.76514           -0.35578       87.76355         6.519e-07 
  1887.100         101.299    -10.105   -150.774            7.346        13638.603      0.912      0.000      0.000    0.02964   24.75823           -0.35651       87.75052         6.560e-07 
  1888.100         101.254    -10.103   -150.708            7.346        13645.833      0.911      0.000      0.000    0.02946   24.75136           -0.35725       87.73749         6.601e-07 
  1889.100         101.208    -10.100   -150.642            7.346        13653.064      0.910      0.000      0.000    0.02927   24.74453           -0.35799       87.72446         6.643e-07 
  1890.100         101.162    -10.097   -150.576            7.346        13660.294      0.909      0.000      0.000    0.02909   24.73775           -0.35873       87.71144         6.686e-07 
  1891.100         101.116    -10.095   -150.510            7.346        13667.525      0.909      0.000      0.000    0.02891   24.73102           -0.35947       87.69842         6.729e-07 
  1892.100         101.070    -10.092   -150.444            7.346        13674.755      0.908      0.000      0.000    0.02873   24.72433           -0.36021       87.68541         6.772e-07 
  1893.100         101.023    -10.090   -150.378            7.346        13681.986      0.907      0.000      0.000    0.02855   24.71769           -0.36096       87.67240         6.815e-07 
  1894.100         100.977    -10.087   -150.312            7.346        13689.217      0.906      0.000      0.000    0.02837   24.71111           -0.36170       87.65939         6.859e-07 
  1895.100         100.931    -10.084   -150.246            7.346        13696.447      0.905      0.000      0.000    0.02819   24.70458           -0.36245       87.64638         6.903e-07 
  1896.100         100.884    -10.082   -150.180            7.346        13703.678      0.905      0.000      0.000    0.02802   24.69811           -0.36319       87.63338         6.948e-07 
  1897.100         100.837    -10.079   -150.114            7.346        13710.909      0.904      0.000      0.000    0.02784   24.69170           -0.36394       87.62039         6.993e-07 
  1898.100         100.791    -10.076   -150.048            7.346        13718.139      0.903      0.000      0.000    0.02766   24.68534           -0.36469       87.60739         7.038e-07 
  1899.100         100.744    -10.073   -149.983            7.346        13725.370      0.902      0.000      0.000    0.02749   24.67905           -0.36544       87.59440         7.084e-07 
  1900.100         100.697    -10.071   -149.917            7.346        13732.601      0.902      0.000      0.000    0.02731   24.67283           -0.36619       87.58142         7.130e-07 
  1901.100         100.650    -10.068   -149.851            7.346        13739.832      0.901      0.000      0.000    0.02714   24.66668           -0.36694       87.56843         7.177e-07 
  1902.100         100.603    -10.065   -149.785            7.346        13747.062      0.900      0.000      0.000    0.02696   24.66059           -0.36770       87.55546         7.224e-07 
  1903.100         100.556    -10.062   -149.719            7.346        13754.293      0.899      0.000      0.000    0.02679   24.65458           -0.36845       87.54248         7.272e-07 
  1904.100         100.509    -10.059   -149.653            7.346        13761.524      0.899      0.000      0.000    0.02662   24.64864           -0.36921       87.52951         7.320e-07 
  1905.100         100.461    -10.057   -149.587            7.346        13768.755      0.898      0.000      0.000    0.02645   24.64277           -0.36997       87.51654         7.368e-07 
  1906.100         100.414    -10.054   -149.521            7.346        13775.986      0.897      0.000      0.000    0.02628   24.63699           -0.37073       87.50358         7.417e-07 
  1907.100         100.366    -10.051   -149.455            7.345        13783.217      0.897      0.000      0.000    0.02611   24.63128           -0.37149       87.49062         7.466e-07 
  1908.100         100.318    -10.048   -149.389            7.345        13790.448      0.896      0.000      0.000    0.02594   24.62566           -0.37225       87.47766         7.516e-07 
  1909.100         100.271    -10.045   -149.323            7.345        13797.679      0.895      0.000      0.000    0.02577   24.62013           -0.37301       87.46471         7.566e-07 
  1910.100         100.223    -10.042   -149.258            7.345        13804.910      0.895      0.000      0.000    0.02560   24.61468           -0.37378       87.45176         7.617e-07 
  1911.100         100.175    -10.039   -149.192            7.345        13812.141      0.894      0.000      0.000    0.02543   24.60933           -0.37454       87.43882         7.668e-07 
  1912.100         100.127    -10.036   -149.126            7.345        13819.372      0.893      0.000      0.000    0.02526   24.60407           -0.37531       87.42588         7.720e-07 
  1913.100         100.079    -10.034   -149.060            7.345        13826.603      0.893      0.000      0.000    0.02510   24.59890           -0.37608       87.41294         7.772e-07 
  1914.100         100.030    -10.031   -148.994            7.345        13833.834      0.892      0.000      0.000    0.02493   24.59383           -0.37684       87.40001         7.824e-07 
  1915.100          99.982    -10.028   -148.928            7.345        13841.065      0.891      0.000      0.000    0.02476   24.58886           -0.37762       87.38708         7.878e-07 
  1916.100          99.933    -10.025   -148.862            7.345        13848.296      0.891      0.000      0.000    0.02460   24.58400           -0.37839       87.37416         7.931e-07 
  1917.100          99.885    -10.022   -148.796            7.345        13855.527      0.890      0.000      0.000    0.02444   24.57923           -0.37916       87.36124         7.986e-07 
  1918.100          99.836    -10.019   -148.730            7.345        13862.758      0.889      0.000      0.000    0.02427   24.57457           -0.37994       87.34832         8.040e-07 
  1919.100          99.788    -10.016   -148.664            7.345        13869.989      0.889      0.000      0.000    0.02411   24.57001           -0.38071       87.33541         8.096e-07 
  1920.100          99.739    -10.013   -148.599            7.345        13877.220      0.888      0.000      0.000    0.02395   24.56556           -0.38149       87.32251         8.152e-07 
  1921.100          99.690    -10.009   -148.533            7.345        13884.451      0.888      0.000      0.000    0.02379   24.56120           -0.38227       87.30960         8.208e-07 
  1922.100          99.641    -10.006   -148.467            7.345        13891.682      0.887      0.000      0.000    0.02362   24.55695           -0.38305       87.29670         8.265e-07 
  1923.100          99.591    -10.003   -148.401            7.345        13898.914      0.886      0.000      0.000    0.02346   24.55280           -0.38383       87.28381         8.322e-07 
  1924.100          99.542    -10.000   -148.335            7.345        13906.145      0.886      0.000      0.000    0.02330   24.54876           -0.38461       87.27092         8.381e-07 
  1925.100          99.493     -9.997   -148.269            7.345        13913.376      0.885      0.000      0.000    0.02314   24.54482           -0.38540       87.25803         8.439e-07 
  1926.100          99.443     -9.994   -148.203            7.345        13920.607      0.885      0.000      0.000    0.02299   24.54098           -0.38618       87.24515         8.499e-07 
