#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.Cylind2.605f092a-c977-44bd-953f-0bb289c43b86_Trajectory.txt
# RunID         : PySara
# ObjectID      : 605f092a-c977-44bd-953f-0bb289c43b86
# ObjectName    : Cylind2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2225.200          77.962     -8.437   -128.668            7.131        16073.880      1.703      0.000      0.000    0.00217   24.79977           -0.90368       83.67964         2.531e-05 
  2225.300          77.951     -8.436   -128.661            7.128        16074.585      1.703      0.000      0.000    0.00216   24.79126           -0.90420       83.67857         2.535e-05 
  2225.750          77.900     -8.433   -128.633            7.115        16077.750      1.703      0.000      0.000    0.00215   24.75164           -0.90659       83.67377         2.554e-05 
  2226.750          77.787     -8.426   -128.569            7.086        16084.764      1.703      0.000      0.000    0.00211   24.66008           -0.91232       83.66314         2.598e-05 
  2227.750          77.674     -8.419   -128.506            7.057        16091.750      1.703      0.000      0.000    0.00207   24.56062           -0.91862       83.65257         2.646e-05 
  2228.750          77.561     -8.412   -128.444            7.028        16098.708      1.703      0.000      0.000    0.00203   24.45997           -0.92549       83.64205         2.696e-05 
  2229.750          77.447     -8.405   -128.381            6.999        16105.636      1.703      0.000      0.000    0.00200   24.35812           -0.93295       83.63158         2.746e-05 
  2230.750          77.333     -8.398   -128.319            6.969        16112.535      1.703      0.000      0.000    0.00196   24.25508           -0.94101       83.62117         2.798e-05 
  2231.750          77.218     -8.391   -128.257            6.939        16119.405      1.703      0.000      0.000    0.00192   24.15082           -0.94967       83.61082         2.850e-05 
  2232.750          77.103     -8.384   -128.195            6.908        16126.245      1.703      0.000      0.000    0.00189   24.04536           -0.95894       83.60053         2.904e-05 
  2233.750          76.987     -8.377   -128.134            6.878        16133.055      1.703      0.000      0.000    0.00185   23.93867           -0.96884       83.59030         2.959e-05 
  2234.750          76.870     -8.371   -128.073            6.847        16139.835      1.703      0.000      0.000    0.00182   23.83075           -0.97937       83.58012         3.015e-05 
  2235.750          76.753     -8.364   -128.012            6.815        16146.584      1.703      0.000      0.000    0.00178   23.72159           -0.99054       83.57001         3.073e-05 
  2236.750          76.635     -8.357   -127.951            6.784        16153.302      1.703      0.000      0.000    0.00175   23.61117           -1.00236       83.55997         3.133e-05 
  2237.750          76.516     -8.350   -127.891            6.752        16159.988      1.703      0.000      0.000    0.00172   23.49949           -1.01485       83.54998         3.193e-05 
  2238.750          76.396     -8.343   -127.831            6.720        16166.643      1.703      0.000      0.000    0.00168   23.38653           -1.02800       83.54006         3.256e-05 
  2239.750          76.274     -8.337   -127.771            6.687        16173.266      1.703      0.000      0.000    0.00165   23.27227           -1.04184       83.53021         3.320e-05 
  2240.750          76.152     -8.330   -127.712            6.654        16179.857      1.703      0.000      0.000    0.00162   23.15670           -1.05637       83.52042         3.386e-05 
  2241.750          76.029     -8.323   -127.652            6.621        16186.415      1.703      0.000      0.000    0.00159   23.03979           -1.07161       83.51070         3.454e-05 
  2242.750          75.905     -8.317   -127.593            6.587        16192.941      1.703      0.000      0.000    0.00156   22.92155           -1.08756       83.50105         3.523e-05 
  2243.750          75.779     -8.310   -127.535            6.553        16199.433      1.703      0.000      0.000    0.00153   22.80193           -1.10424       83.49146         3.595e-05 
  2244.750          75.652     -8.303   -127.477            6.519        16205.891      1.703      0.000      0.000    0.00150   22.68092           -1.12166       83.48195         3.669e-05 
  2245.750          75.524     -8.297   -127.419            6.485        16212.316      1.703      0.000      0.000    0.00146   22.55851           -1.13982       83.47251         3.745e-05 
  2246.750          75.394     -8.290   -127.361            6.450        16218.707      1.703      0.000      0.000    0.00143   22.43466           -1.15876       83.46313         3.823e-05 
  2247.750          75.263     -8.284   -127.304            6.415        16225.062      1.703      0.000      0.000    0.00141   22.30935           -1.17846       83.45383         3.904e-05 
  2248.750          75.130     -8.277   -127.247            6.379        16231.383      1.703      0.000      0.000    0.00138   22.18256           -1.19896       83.44461         3.988e-05 
  2249.750          74.996     -8.271   -127.190            6.343        16237.669      1.703      0.000      0.000    0.00135   22.05425           -1.22025       83.43545         4.074e-05 
  2250.750          74.860     -8.264   -127.134            6.307        16243.919      1.703      0.000      0.000    0.00132   21.92442           -1.24237       83.42637         4.163e-05 
  2251.750          74.722     -8.258   -127.078            6.269        16250.133      1.703      0.000      0.000    0.00129   21.79128           -1.26532       83.41737         4.255e-05 
  2252.750          74.583     -8.251   -127.022            6.230        16256.309      1.703      0.000      0.000    0.00126   21.65035           -1.28914       83.40846         4.349e-05 
  2253.750          74.442     -8.245   -126.967            6.188        16262.444      1.703      0.000      0.000    0.00123   21.50036           -1.31391       83.39964         4.447e-05 
  2254.750          74.299     -8.239   -126.912            6.143        16268.537      1.703      0.000      0.000    0.00121   21.34050           -1.33969       83.39093         4.549e-05 
  2255.750          74.155     -8.232   -126.857            6.095        16274.583      1.703      0.000      0.000    0.00118   21.16987           -1.36655       83.38232         4.654e-05 
  2256.750          74.009     -8.226   -126.803            6.043        16280.581      1.703      0.000      0.000    0.00115   20.98746           -1.39459       83.37384         4.762e-05 
  2257.750          73.861     -8.220   -126.750            5.988        16286.526      1.703      0.000      0.000    0.00113   20.79216           -1.42390       83.36549         4.874e-05 
  2258.750          73.711     -8.214   -126.697            5.929        16292.415      1.703      0.000      0.000    0.00110   20.58273           -1.45458       83.35728         4.989e-05 
  2259.750          73.560     -8.208   -126.644            5.866        16298.243      1.703      0.000      0.000    0.00107   20.35778           -1.48677       83.34922         5.109e-05 
  2260.750          73.407     -8.201   -126.592            5.797        16304.006      1.702      0.000      0.000    0.00105   20.11579           -1.52059       83.34134         5.232e-05 
  2261.750          73.252     -8.196   -126.541            5.723        16309.699      1.702      0.000      0.000    0.00102   19.85507           -1.55620       83.33364         5.360e-05 
  2262.750          73.096     -8.190   -126.490            5.644        16315.316      1.702      0.000      0.000    0.00100   19.57378           -1.59378       83.32614         5.491e-05 
  2263.750          72.938     -8.184   -126.440            5.557        16320.851      1.702      0.000      0.000    0.00097   19.26993           -1.63353       83.31888         5.627e-05 
  2264.750          72.779     -8.178   -126.391            5.464        16326.297      1.702      0.000      0.000    0.00095   18.94138           -1.67567       83.31186         5.767e-05 
  2265.750          72.619     -8.172   -126.343            5.363        16331.646      1.702      0.000      0.000    0.00093   18.58592           -1.72046       83.30513         5.912e-05 
  2266.174          72.550     -8.170   -126.323            5.316        16333.884      1.702      0.000      0.000    0.00092   18.39652           -1.74033       83.30238         5.985e-05 
  2266.426          72.510     -8.169   -126.311            5.287        16335.204      1.702      0.000      0.000    0.00091   18.28679           -1.75240       83.30078         6.026e-05 
  2266.841          72.443     -8.166   -126.291            5.239        16337.363      1.702      0.000      0.000    0.00091   18.12523           -1.77275       83.29818         6.055e-05 
  2267.256          72.375     -8.164   -126.272            5.189        16339.502      1.702      0.000      0.000    0.00090   17.95017           -1.79368       83.29565         6.118e-05 
  2268.256          72.212     -8.159   -126.226            5.066        16344.569      1.702      0.000      0.000    0.00088   17.54764           -1.84666       83.28977         6.261e-05 
  2269.256          72.049     -8.154   -126.182            4.933        16349.510      1.702      0.000      0.000    0.00085   17.08340           -1.90352       83.28430         6.420e-05 
  2270.256          71.885     -8.148   -126.139            4.790        16354.314      1.702      0.000      0.000    0.00083   16.58448           -1.96472       83.27928         6.582e-05 
  2271.256          71.721     -8.144   -126.097            4.637        16358.971      1.701      0.000      0.000    0.00081   16.05091           -2.03080       83.27477         6.749e-05 
  2272.256          71.556     -8.139   -126.056            4.474        16363.473      1.701      0.000      0.000    0.00079   15.48415           -2.10233       83.27080         6.919e-05 
  2273.256          71.393     -8.134   -126.017            4.302        16367.808      1.701      0.000      0.000    0.00077   14.88739           -2.17995       83.26742         7.093e-05 
  2274.256          71.229     -8.130   -125.980            4.123        16371.970      1.701      0.000      0.000    0.00075   14.26599           -2.26435       83.26467         7.270e-05 
  2275.256          71.067     -8.126   -125.944            3.940        16375.953      1.700      0.000      0.000    0.00074   13.62728           -2.35623       83.26257         7.449e-05 
  2276.256          70.906     -8.122   -125.909            3.754        16379.754      1.699      0.000      0.000    0.00072   12.98032           -2.45632       83.26112         7.632e-05 
  2277.256          70.745     -8.118   -125.877            3.569        16383.370      1.699      0.000      0.000    0.00070   12.33517           -2.56533       83.26031         7.817e-05 
  2278.256          70.586     -8.114   -125.846            3.387        16386.805      1.698      0.000      0.000    0.00069   11.70197           -2.68390       83.26009         8.005e-05 
  2279.256          70.428     -8.111   -125.816            3.212        16390.064      1.698      0.000      0.000    0.00067   11.08993           -2.81263       83.26042         8.195e-05 
  2280.256          70.271     -8.107   -125.789            3.045        16393.153      1.698      0.000      0.000    0.00065   10.50649           -2.95203       83.26121         8.388e-05 
  2281.256          70.114     -8.104   -125.762            2.887        16396.081      1.697      0.000      0.000    0.00064    9.95691           -3.10248       83.26240         8.584e-05 
  2282.256          69.958     -8.101   -125.737            2.741        16398.860      1.695      0.000      0.000    0.00062    9.44448           -3.26429       83.26389         8.784e-05 
  2283.256          69.802     -8.098   -125.713            2.606        16401.499      1.693      0.000      0.000    0.00061    8.97034           -3.43764       83.26562         8.987e-05 
  2284.256          69.646     -8.096   -125.691            2.480        16404.009      1.691      0.000      0.000    0.00060    8.53202           -3.62268       83.26755         9.196e-05 
  2285.256          69.489     -8.093   -125.669            2.364        16406.399      1.689      0.000      0.000    0.00058    8.12584           -3.81955       83.26966         9.409e-05 
  2286.256          69.331     -8.091   -125.649            2.257        16408.679      1.688      0.000      0.000    0.00057    7.74845           -4.02839       83.27194         9.627e-05 
  2287.256          69.172     -8.089   -125.629            2.156        16410.856      1.686      0.000      0.000    0.00056    7.39693           -4.24938       83.27439         9.851e-05 
  2288.256          69.011     -8.086   -125.610            2.062        16412.935      1.685      0.000      0.000    0.00054    7.06876           -4.48269       83.27698         1.008e-04 
  2289.256          68.849     -8.084   -125.592            1.974        16414.925      1.683      0.000      0.000    0.00053    6.76173           -4.72851       83.27971         1.032e-04 
  2290.256          68.686     -8.082   -125.575            1.892        16416.831      1.682      0.000      0.000    0.00052    6.47388           -4.98703       83.28256         1.056e-04 
  2291.256          68.520     -8.080   -125.559            1.815        16418.656      1.681      0.000      0.000    0.00051    6.20350           -5.25847       83.28554         1.082e-04 
  2292.256          68.353     -8.078   -125.543            1.742        16420.407      1.680      0.000      0.000    0.00050    5.94908           -5.54303       83.28863         1.108e-04 
  2293.256          68.184     -8.077   -125.528            1.673        16422.088      1.679      0.000      0.000    0.00048    5.70927           -5.84095       83.29182         1.135e-04 
  2294.256          68.012     -8.075   -125.513            1.608        16423.702      1.678      0.000      0.000    0.00047    5.48287           -6.15246       83.29511         1.163e-04 
  2295.256          67.839     -8.073   -125.499            1.547        16425.253      1.677      0.000      0.000    0.00046    5.26881           -6.47780       83.29849         1.191e-04 
  2296.256          67.663     -8.072   -125.486            1.489        16426.745      1.676      0.000      0.000    0.00045    5.06614           -6.81721       83.30197         1.221e-04 
  2297.256          67.485     -8.070   -125.473            1.434        16428.180      1.676      0.000      0.000    0.00044    4.87399           -7.17095       83.30553         1.252e-04 
  2298.256          67.305     -8.069   -125.461            1.381        16429.561      1.676      0.000      0.000    0.00043    4.69151           -7.53929       83.30918         1.284e-04 
  2299.256          67.123     -8.067   -125.449            1.332        16430.891      1.676      0.000      0.000    0.00042    4.51803           -7.92250       83.31291         1.317e-04 
  2300.256          66.938     -8.066   -125.437            1.284        16432.172      1.676      0.000      0.000    0.00041    4.35294           -8.32084       83.31673         1.351e-04 
  2301.256          66.751     -8.065   -125.426            1.239        16433.406      1.676      0.000      0.000    0.00040    4.19567           -8.73461       83.32063         1.386e-04 
  2302.256          66.562     -8.063   -125.415            1.196        16434.597      1.676      0.000      0.000    0.00039    4.04572           -9.16408       83.32463         1.423e-04 
  2303.256          66.370     -8.062   -125.405            1.155        16435.745      1.676      0.000      0.000    0.00038    3.90263           -9.60952       83.32872         1.460e-04 
  2304.256          66.176     -8.061   -125.395            1.116        16436.852      1.676      0.000      0.000    0.00037    3.76596          -10.07121       83.33292         1.499e-04 
  2305.256          65.980     -8.060   -125.385            1.079        16437.920      1.676      0.000      0.000    0.00036    3.63535          -10.54944       83.33722         1.540e-04 
  2306.256          65.781     -8.059   -125.376            1.043        16438.951      1.676      0.000      0.000    0.00035    3.51042          -11.04447       83.34165         1.582e-04 
  2307.256          65.580     -8.058   -125.367            1.009        16439.947      1.676      0.000      0.000    0.00034    3.39086          -11.55657       83.34621         1.625e-04 
  2308.256          65.377     -8.057   -125.358            0.976        16440.908      1.676      0.000      0.000    0.00033    3.27636          -12.08600       83.35093         1.670e-04 
  2309.256          65.172     -8.056   -125.350            0.944        16441.836      1.676      0.000      0.000    0.00032    3.16665          -12.63300       83.35583         1.717e-04 
  2310.256          64.964     -8.055   -125.342            0.914        16442.733      1.676      0.000      0.000    0.00031    3.06148          -13.19781       83.36093         1.765e-04 
  2311.256          64.754     -8.054   -125.334            0.885        16443.599      1.676      0.000      0.000    0.00030    2.96061          -13.78064       83.36627         1.814e-04 
  2312.256          64.542     -8.053   -125.327            0.858        16444.436      1.676      0.000      0.000    0.00029    2.86382          -14.38170       83.37187         1.866e-04 
  2313.256          64.328     -8.052   -125.319            0.831        16445.244      1.676      0.000      0.000    0.00029    2.77092          -15.00118       83.37777         1.919e-04 
  2314.256          64.112     -8.052   -125.312            0.806        16446.026      1.676      0.000      0.000    0.00028    2.68173          -15.63922       83.38400         1.974e-04 
  2315.256          63.894     -8.051   -125.305            0.781        16446.781      1.676      0.000      0.000    0.00027    2.59607          -16.29598       83.39062         2.031e-04 
  2316.256          63.674     -8.050   -125.299            0.758        16447.511      1.676      0.000      0.000    0.00026    2.51379          -16.97155       83.39764         2.090e-04 
