#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.DBU4.41ce2e65-39a8-49bf-8ddd-e30dc1baf678_Trajectory.txt
# RunID         : PySara
# ObjectID      : 41ce2e65-39a8-49bf-8ddd-e30dc1baf678
# ObjectName    : DBU4
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2225.200          77.962     -8.437   -128.668            7.131        16073.880      1.528      0.000      0.000    0.02997   24.79977           -0.90368       83.67964         2.531e-05 
  2225.300          77.951     -8.436   -128.661            7.128        16074.585      1.527      0.000      0.000    0.02992   24.79338           -0.90420       83.67858         2.535e-05 
  2225.750          77.900     -8.433   -128.633            7.119        16077.751      1.526      0.000      0.000    0.02970   24.76366           -0.90658       83.67379         2.554e-05 
  2226.750          77.787     -8.426   -128.569            7.097        16084.773      1.522      0.000      0.000    0.02920   24.69497           -0.91218       83.66318         2.598e-05 
  2227.750          77.674     -8.419   -128.506            7.075        16091.773      1.518      0.000      0.000    0.02866   24.62036           -0.91820       83.65262         2.647e-05 
  2228.750          77.560     -8.412   -128.443            7.053        16098.752      1.514      0.000      0.000    0.02814   24.54485           -0.92466       83.64210         2.696e-05 
  2229.750          77.446     -8.405   -128.380            7.031        16105.709      1.510      0.000      0.000    0.02762   24.46843           -0.93156       83.63163         2.746e-05 
  2230.750          77.332     -8.398   -128.318            7.009        16112.644      1.507      0.000      0.000    0.02711   24.39108           -0.93891       83.62120         2.798e-05 
  2231.750          77.217     -8.391   -128.256            6.986        16119.557      1.503      0.000      0.000    0.02661   24.31279           -0.94671       83.61082         2.851e-05 
  2232.750          77.101     -8.384   -128.193            6.963        16126.447      1.500      0.000      0.000    0.02611   24.23355           -0.95496       83.60048         2.905e-05 
  2233.750          76.984     -8.377   -128.131            6.940        16133.315      1.497      0.000      0.000    0.02563   24.15334           -0.96369       83.59019         2.960e-05 
  2234.750          76.867     -8.370   -128.070            6.917        16140.161      1.493      0.000      0.000    0.02514   24.07214           -0.97288       83.57995         3.017e-05 
  2235.750          76.750     -8.363   -128.008            6.892        16146.982      1.490      0.000      0.000    0.02467   23.98670           -0.98256       83.56976         3.075e-05 
  2236.750          76.631     -8.356   -127.947            6.863        16153.777      1.487      0.000      0.000    0.02420   23.88537           -0.99278       83.55961         3.134e-05 
  2237.750          76.512     -8.350   -127.886            6.826        16160.539      1.484      0.000      0.000    0.02374   23.75970           -1.00367       83.54953         3.195e-05 
  2238.750          76.392     -8.343   -127.825            6.778        16167.260      1.482      0.000      0.000    0.02329   23.59598           -1.01543       83.53952         3.258e-05 
  2239.750          76.272     -8.336   -127.765            6.709        16173.922      1.479      0.000      0.000    0.02284   23.36429           -1.02836       83.52962         3.322e-05 
  2240.750          76.152     -8.329   -127.706            6.592        16180.493      1.476      0.000      0.000    0.02240   22.97662           -1.04316       83.51992         3.387e-05 
  2241.750          76.034     -8.323   -127.649            6.241        16186.830      1.474      0.000      0.000    0.02198   21.84789           -1.06263       83.51091         3.452e-05 
