#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.L-SSPA1.2424cd89-ade8-40c4-baae-7b5d2bec50b0_Trajectory.txt
# RunID         : PySara
# ObjectID      : 2424cd89-ade8-40c4-baae-7b5d2bec50b0
# ObjectName    : L-SSPA1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2225.200          77.962     -8.437   -128.668            7.131        16073.880      2.564      0.000      0.000    0.01310   24.79977           -0.90368       83.67964         2.531e-05 
  2225.300          77.951     -8.436   -128.661            7.129        16074.585      2.564      0.000      0.000    0.01308   24.79622           -0.90420       83.67858         2.535e-05 
  2225.750          77.900     -8.433   -128.633            7.124        16077.753      2.564      0.000      0.000    0.01298   24.77967           -0.90656       83.67381         2.554e-05 
  2226.750          77.787     -8.426   -128.569            7.112        16084.784      2.564      0.000      0.000    0.01276   24.74125           -0.91199       83.66324         2.598e-05 
  2227.750          77.674     -8.419   -128.506            7.099        16091.803      2.563      0.000      0.000    0.01253   24.69922           -0.91766       83.65270         2.647e-05 
  2228.750          77.560     -8.412   -128.443            7.087        16098.810      2.563      0.000      0.000    0.01230   24.65640           -0.92357       83.64218         2.696e-05 
  2229.750          77.445     -8.405   -128.380            7.074        16105.804      2.563      0.000      0.000    0.01207   24.61275           -0.92974       83.63169         2.747e-05 
  2230.750          77.330     -8.398   -128.317            7.061        16112.786      2.562      0.000      0.000    0.01185   24.56827           -0.93617       83.62123         2.799e-05 
  2231.750          77.214     -8.391   -128.254            7.048        16119.755      2.562      0.000      0.000    0.01163   24.52294           -0.94285       83.61081         2.852e-05 
  2232.750          77.098     -8.384   -128.191            7.034        16126.711      2.562      0.000      0.000    0.01141   24.47674           -0.94980       83.60041         2.906e-05 
