#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.PropStr.8973f917-99c6-4f74-9548-8e41755684bf_Trajectory.txt
# RunID         : PySara
# ObjectID      : 8973f917-99c6-4f74-9548-8e41755684bf
# ObjectName    : PropStr
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2053.100          92.260     -9.479   -139.851            7.330        14838.790      0.639      0.000      0.000    0.03771   24.79132           -0.50463       85.65068         2.524e-06 
  2053.200          92.253     -9.478   -139.844            7.330        14839.513      0.639      0.000      0.000    0.03768   24.79154           -0.50474       85.64946         2.526e-06 
  2053.650          92.224     -9.476   -139.815            7.329        14842.764      0.639      0.000      0.000    0.03752   24.79254           -0.50527       85.64399         2.537e-06 
  2054.650          92.159     -9.471   -139.749            7.328        14849.987      0.637      0.000      0.000    0.03717   24.79484           -0.50645       85.63184         2.562e-06 
  2055.650          92.094     -9.466   -139.683            7.327        14857.209      0.636      0.000      0.000    0.03678   24.79729           -0.50766       85.61970         2.588e-06 
  2056.650          92.030     -9.461   -139.618            7.325        14864.430      0.635      0.000      0.000    0.03641   24.79973           -0.50889       85.60756         2.615e-06 
  2057.650          91.964     -9.456   -139.552            7.324        14871.650      0.634      0.000      0.000    0.03603   24.80216           -0.51015       85.59544         2.643e-06 
  2058.650          91.899     -9.451   -139.487            7.323        14878.869      0.632      0.000      0.000    0.03566   24.80457           -0.51144       85.58332         2.671e-06 
  2059.650          91.834     -9.446   -139.421            7.321        14886.086      0.631      0.000      0.000    0.03529   24.80696           -0.51275       85.57122         2.699e-06 
  2060.650          91.768     -9.441   -139.356            7.320        14893.302      0.630      0.000      0.000    0.03492   24.80934           -0.51410       85.55912         2.727e-06 
  2061.650          91.702     -9.436   -139.290            7.318        14900.517      0.629      0.000      0.000    0.03456   24.81169           -0.51546       85.54703         2.756e-06 
  2062.650          91.636     -9.431   -139.225            7.317        14907.730      0.628      0.000      0.000    0.03420   24.81402           -0.51686       85.53494         2.786e-06 
  2063.650          91.570     -9.426   -139.159            7.316        14914.942      0.627      0.000      0.000    0.03384   24.81632           -0.51828       85.52287         2.815e-06 
  2064.650          91.504     -9.421   -139.094            7.314        14922.153      0.625      0.000      0.000    0.03348   24.81860           -0.51973       85.51081         2.846e-06 
  2065.650          91.438     -9.415   -139.028            7.313        14929.362      0.624      0.000      0.000    0.03313   24.82084           -0.52121       85.49875         2.876e-06 
  2066.650          91.371     -9.410   -138.963            7.311        14936.571      0.623      0.000      0.000    0.03277   24.82306           -0.52272       85.48671         2.907e-06 
  2067.650          91.304     -9.405   -138.898            7.310        14943.777      0.622      0.000      0.000    0.03243   24.82524           -0.52425       85.47467         2.939e-06 
  2068.650          91.237     -9.400   -138.832            7.308        14950.983      0.621      0.000      0.000    0.03208   24.82739           -0.52582       85.46264         2.971e-06 
  2069.650          91.170     -9.395   -138.767            7.307        14958.187      0.620      0.000      0.000    0.03174   24.82951           -0.52741       85.45063         3.003e-06 
  2070.650          91.103     -9.390   -138.701            7.305        14965.389      0.619      0.000      0.000    0.03139   24.83158           -0.52903       85.43862         3.036e-06 
  2071.650          91.035     -9.384   -138.636            7.304        14972.590      0.618      0.000      0.000    0.03106   24.83361           -0.53069       85.42662         3.069e-06 
  2072.650          90.967     -9.379   -138.571            7.302        14979.790      0.617      0.000      0.000    0.03072   24.83560           -0.53237       85.41462         3.103e-06 
  2073.650          90.899     -9.374   -138.505            7.301        14986.988      0.616      0.000      0.000    0.03039   24.83754           -0.53408       85.40264         3.137e-06 
  2074.650          90.831     -9.369   -138.440            7.299        14994.185      0.615      0.000      0.000    0.03005   24.83944           -0.53582       85.39067         3.172e-06 
  2075.650          90.763     -9.364   -138.375            7.298        15001.381      0.614      0.000      0.000    0.02973   24.84129           -0.53760       85.37871         3.207e-06 
  2076.650          90.694     -9.358   -138.309            7.296        15008.574      0.613      0.000      0.000    0.02940   24.84308           -0.53940       85.36675         3.243e-06 
  2077.650          90.626     -9.353   -138.244            7.294        15015.767      0.612      0.000      0.000    0.02908   24.84482           -0.54124       85.35481         3.279e-06 
  2078.650          90.557     -9.348   -138.179            7.293        15022.958      0.611      0.000      0.000    0.02875   24.84650           -0.54311       85.34287         3.316e-06 
  2079.650          90.487     -9.343   -138.114            7.291        15030.147      0.610      0.000      0.000    0.02843   24.84813           -0.54501       85.33095         3.353e-06 
  2080.650          90.418     -9.337   -138.048            7.290        15037.335      0.609      0.000      0.000    0.02812   24.84969           -0.54694       85.31903         3.391e-06 
  2081.650          90.348     -9.332   -137.983            7.288        15044.521      0.608      0.000      0.000    0.02780   24.85119           -0.54891       85.30712         3.430e-06 
  2082.650          90.278     -9.327   -137.918            7.286        15051.706      0.607      0.000      0.000    0.02749   24.85262           -0.55091       85.29522         3.469e-06 
  2083.650          90.208     -9.321   -137.853            7.285        15058.889      0.606      0.000      0.000    0.02718   24.85398           -0.55294       85.28334         3.509e-06 
  2084.650          90.138     -9.316   -137.788            7.283        15066.070      0.605      0.000      0.000    0.02687   24.85527           -0.55500       85.27146         3.549e-06 
  2085.650          90.067     -9.311   -137.723            7.281        15073.250      0.604      0.000      0.000    0.02657   24.85649           -0.55710       85.25959         3.590e-06 
  2086.650          89.996     -9.305   -137.658            7.279        15080.428      0.604      0.000      0.000    0.02627   24.85762           -0.55924       85.24773         3.632e-06 
  2087.650          89.925     -9.300   -137.592            7.278        15087.605      0.603      0.000      0.000    0.02597   24.85868           -0.56140       85.23588         3.674e-06 
  2088.650          89.853     -9.294   -137.527            7.276        15094.780      0.602      0.000      0.000    0.02567   24.85965           -0.56361       85.22404         3.717e-06 
  2089.650          89.782     -9.289   -137.462            7.274        15101.953      0.601      0.000      0.000    0.02537   24.86054           -0.56585       85.21221         3.760e-06 
  2090.650          89.710     -9.284   -137.397            7.272        15109.124      0.600      0.000      0.000    0.02508   24.86135           -0.56812       85.20039         3.805e-06 
  2091.650          89.637     -9.278   -137.332            7.270        15116.294      0.600      0.000      0.000    0.02479   24.86207           -0.57043       85.18858         3.850e-06 
  2092.650          89.565     -9.273   -137.267            7.268        15123.462      0.599      0.000      0.000    0.02450   24.86270           -0.57278       85.17678         3.895e-06 
  2093.650          89.492     -9.267   -137.202            7.267        15130.628      0.598      0.000      0.000    0.02421   24.86323           -0.57516       85.16499         3.942e-06 
  2094.650          89.419     -9.262   -137.137            7.265        15137.793      0.597      0.000      0.000    0.02392   24.86368           -0.57758       85.15321         3.989e-06 
  2095.650          89.346     -9.256   -137.072            7.263        15144.955      0.597      0.000      0.000    0.02364   24.86403           -0.58004       85.14145         4.037e-06 
  2096.650          89.272     -9.251   -137.007            7.261        15152.116      0.596      0.000      0.000    0.02336   24.86429           -0.58254       85.12969         4.085e-06 
