#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.RSJD-Internal.7390f3ec-208d-4a38-aa7a-e203f648538b_Trajectory.txt
# RunID         : PySara
# ObjectID      : 7390f3ec-208d-4a38-aa7a-e203f648538b
# ObjectName    : RSJD-Internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2194.363          80.653     -8.655   -130.703            7.050        15848.559      1.676      0.000      0.000    0.00747   24.44910           -0.90462       84.02091         1.626e-05 
  2194.463          80.642     -8.654   -130.696            7.049        15849.255      1.676      0.000      0.000    0.00746   24.44706           -0.90530       84.01983         1.629e-05 
  2194.913          80.592     -8.651   -130.668            7.045        15852.386      1.676      0.000      0.000    0.00740   24.43757           -0.90836       84.01498         1.641e-05 
  2195.913          80.480     -8.645   -130.605            7.037        15859.338      1.676      0.000      0.000    0.00728   24.41548           -0.91527       84.00423         1.670e-05 
  2196.913          80.367     -8.638   -130.542            7.029        15866.283      1.676      0.000      0.000    0.00714   24.39121           -0.92234       83.99349         1.701e-05 
  2197.913          80.254     -8.632   -130.480            7.021        15873.219      1.676      0.000      0.000    0.00701   24.36639           -0.92958       83.98277         1.733e-05 
  2198.913          80.139     -8.625   -130.417            7.012        15880.148      1.676      0.000      0.000    0.00688   24.34099           -0.93699       83.97207         1.766e-05 
  2199.913          80.024     -8.619   -130.355            7.004        15887.068      1.676      0.000      0.000    0.00675   24.31502           -0.94456       83.96138         1.800e-05 
  2200.913          79.908     -8.612   -130.292            6.995        15893.980      1.676      0.000      0.000    0.00662   24.28845           -0.95231       83.95072         1.835e-05 
  2201.913          79.792     -8.605   -130.230            6.986        15900.883      1.676      0.000      0.000    0.00650   24.26127           -0.96024       83.94007         1.870e-05 
  2202.913          79.674     -8.599   -130.168            6.977        15907.778      1.676      0.000      0.000    0.00637   24.23348           -0.96835       83.92944         1.907e-05 
  2203.913          79.556     -8.592   -130.105            6.968        15914.663      1.676      0.000      0.000    0.00625   24.20505           -0.97664       83.91883         1.944e-05 
  2204.913          79.437     -8.586   -130.043            6.959        15921.540      1.676      0.000      0.000    0.00613   24.17597           -0.98512       83.90823         1.983e-05 
  2205.913          79.317     -8.579   -129.981            6.949        15928.407      1.676      0.000      0.000    0.00601   24.14622           -0.99379       83.89766         2.022e-05 
  2206.913          79.196     -8.572   -129.919            6.940        15935.265      1.676      0.000      0.000    0.00589   24.11578           -1.00265       83.88711         2.063e-05 
  2207.913          79.074     -8.566   -129.857            6.930        15942.114      1.676      0.000      0.000    0.00577   24.08464           -1.01171       83.87658         2.104e-05 
  2208.913          78.951     -8.559   -129.796            6.920        15948.953      1.676      0.000      0.000    0.00566   24.05278           -1.02097       83.86608         2.147e-05 
  2209.913          78.827     -8.553   -129.734            6.910        15955.782      1.676      0.000      0.000    0.00554   24.02017           -1.03044       83.85559         2.191e-05 
  2210.913          78.702     -8.546   -129.672            6.899        15962.601      1.676      0.000      0.000    0.00543   23.98681           -1.04012       83.84513         2.236e-05 
  2211.913          78.577     -8.539   -129.611            6.889        15969.410      1.676      0.000      0.000    0.00532   23.95266           -1.05001       83.83469         2.283e-05 
  2212.913          78.450     -8.533   -129.549            6.878        15976.209      1.676      0.000      0.000    0.00521   23.91771           -1.06012       83.82427         2.331e-05 
  2213.913          78.322     -8.526   -129.488            6.867        15982.997      1.676      0.000      0.000    0.00510   23.88193           -1.07045       83.81388         2.380e-05 
  2214.913          78.193     -8.520   -129.427            6.854        15989.773      1.676      0.000      0.000    0.00500   23.83783           -1.08103       83.80350         2.431e-05 
  2215.913          78.064     -8.513   -129.366            6.831        15996.531      1.676      0.000      0.000    0.00489   23.76634           -1.09196       83.79311         2.483e-05 
  2216.913          77.933     -8.506   -129.305            6.776        16003.252      1.676      0.000      0.000    0.00479   23.58818           -1.10361       83.78259         2.536e-05 
