#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.SRADipl.59ad043a-c762-4a65-98ae-7fd1e356775b_Trajectory.txt
# RunID         : PySara
# ObjectID      : 59ad043a-c762-4a65-98ae-7fd1e356775b
# ObjectName    : SRADipl
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2225.200          77.962     -8.437   -128.668            7.131        16073.880      1.400      0.000      0.000    0.01152   24.79977           -0.90368       83.67964         2.531e-05 
  2225.300          77.951     -8.436   -128.661            7.129        16074.585      1.400      0.000      0.000    0.01150   24.79379           -0.90420       83.67858         2.535e-05 
  2225.750          77.900     -8.433   -128.633            7.119        16077.751      1.400      0.000      0.000    0.01141   24.76595           -0.90658       83.67379         2.554e-05 
  2226.750          77.787     -8.426   -128.569            7.099        16084.774      1.400      0.000      0.000    0.01122   24.70149           -0.91215       83.66319         2.598e-05 
  2227.750          77.674     -8.419   -128.506            7.079        16091.777      1.400      0.000      0.000    0.01102   24.63125           -0.91813       83.65263         2.647e-05 
  2228.750          77.560     -8.412   -128.443            7.058        16098.760      1.400      0.000      0.000    0.01081   24.55994           -0.92451       83.64211         2.696e-05 
  2229.750          77.446     -8.405   -128.380            7.037        16105.722      1.400      0.000      0.000    0.01061   24.48756           -0.93131       83.63164         2.747e-05 
  2230.750          77.331     -8.398   -128.318            7.016        16112.663      1.400      0.000      0.000    0.01042   24.41409           -0.93854       83.62120         2.798e-05 
  2231.750          77.216     -8.391   -128.255            6.994        16119.583      1.400      0.000      0.000    0.01023   24.33951           -0.94619       83.61082         2.851e-05 
  2232.750          77.100     -8.384   -128.193            6.972        16126.482      1.400      0.000      0.000    0.01004   24.26382           -0.95429       83.60047         2.905e-05 
  2233.750          76.984     -8.377   -128.131            6.950        16133.359      1.400      0.000      0.000    0.00985   24.18699           -0.96282       83.59017         2.960e-05 
  2234.750          76.867     -8.370   -128.069            6.928        16140.214      1.400      0.000      0.000    0.00966   24.10901           -0.97181       83.57992         3.017e-05 
  2235.750          76.749     -8.363   -128.007            6.905        16147.048      1.400      0.000      0.000    0.00948   24.02987           -0.98125       83.56971         3.075e-05 
  2236.750          76.630     -8.356   -127.946            6.882        16153.858      1.400      0.000      0.000    0.00930   23.94955           -0.99117       83.55955         3.135e-05 
  2237.750          76.511     -8.349   -127.885            6.859        16160.646      1.400      0.000      0.000    0.00912   23.86804           -1.00155       83.54944         3.196e-05 
  2238.750          76.391     -8.343   -127.824            6.834        16167.411      1.400      0.000      0.000    0.00895   23.78100           -1.01243       83.53938         3.259e-05 
  2239.750          76.269     -8.336   -127.763            6.805        16174.148      1.400      0.000      0.000    0.00877   23.68130           -1.02386       83.52938         3.323e-05 
  2240.750          76.147     -8.329   -127.703            6.771        16180.855      1.400      0.000      0.000    0.00860   23.56433           -1.03593       83.51944         3.389e-05 
  2241.750          76.025     -8.322   -127.642            6.730        16187.525      1.400      0.000      0.000    0.00844   23.42397           -1.04877       83.50958         3.456e-05 
  2242.750          75.901     -8.315   -127.583            6.680        16194.150      1.400      0.000      0.000    0.00827   23.25013           -1.06255       83.49983         3.526e-05 
  2243.750          75.777     -8.309   -127.523            6.613        16200.718      1.400      0.000      0.000    0.00811   23.02450           -1.07755       83.49022         3.596e-05 
  2244.750          75.653     -8.302   -127.465            6.520        16207.206      1.400      0.000      0.000    0.00795   22.70823           -1.09421       83.48082         3.669e-05 
  2245.750          75.529     -8.295   -127.407            6.365        16213.572      1.400      0.000      0.000    0.00779   22.19338           -1.11348       83.47185         3.743e-05 
  2246.750          75.408     -8.289   -127.353            5.965        16219.660      1.400      0.000      0.000    0.00764   20.89790           -1.13866       83.46436         3.816e-05 
