#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.TCU.ec89d4c6-20df-4070-b733-9f1552d41c7e_Trajectory.txt
# RunID         : PySara
# ObjectID      : ec89d4c6-20df-4070-b733-9f1552d41c7e
# ObjectName    : TCU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2225.200          77.962     -8.437   -128.668            7.131        16073.880      1.905      0.000      0.000    0.00715   24.79977           -0.90368       83.67964         2.531e-05 
  2225.300          77.951     -8.436   -128.661            7.130        16074.585      1.905      0.000      0.000    0.00714   24.79804           -0.90420       83.67858         2.535e-05 
  2225.750          77.900     -8.433   -128.633            7.127        16077.753      1.905      0.000      0.000    0.00709   24.78998           -0.90655       83.67383         2.554e-05 
  2226.750          77.787     -8.426   -128.569            7.121        16084.791      1.905      0.000      0.000    0.00697   24.77120           -0.91187       83.66328         2.598e-05 
  2227.750          77.673     -8.419   -128.506            7.115        16091.822      1.905      0.000      0.000    0.00684   24.75052           -0.91730       83.65274         2.647e-05 
  2228.750          77.559     -8.412   -128.442            7.108        16098.847      1.905      0.000      0.000    0.00672   24.72933           -0.92287       83.64223         2.696e-05 
  2229.750          77.444     -8.405   -128.379            7.102        16105.866      1.905      0.000      0.000    0.00659   24.70759           -0.92856       83.63173         2.747e-05 
  2230.750          77.329     -8.398   -128.316            7.095        16112.879      1.905      0.000      0.000    0.00647   24.68530           -0.93438       83.62126         2.799e-05 
  2231.750          77.213     -8.391   -128.253            7.089        16119.885      1.905      0.000      0.000    0.00635   24.66245           -0.94033       83.61080         2.853e-05 
  2232.750          77.096     -8.384   -128.189            7.082        16126.885      1.905      0.000      0.000    0.00623   24.63902           -0.94642       83.60036         2.907e-05 
