#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.Tank4.49f93873-d051-4fd8-bdbd-ed12c1f5b90a_Trajectory.txt
# RunID         : PySara
# ObjectID      : 49f93873-d051-4fd8-bdbd-ed12c1f5b90a
# ObjectName    : Tank4
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2053.100          92.260     -9.479   -139.851            7.330        14838.790      2.342      0.000      0.000    0.04509   24.79132           -0.50463       85.65068         2.524e-06 
  2053.200          92.253     -9.478   -139.844            7.330        14839.513      2.342      0.000      0.000    0.04505   24.79173           -0.50474       85.64946         2.526e-06 
  2053.650          92.224     -9.476   -139.815            7.330        14842.764      2.339      0.000      0.000    0.04486   24.79361           -0.50527       85.64399         2.537e-06 
  2054.650          92.159     -9.471   -139.749            7.329        14849.988      2.334      0.000      0.000    0.04443   24.79793           -0.50644       85.63183         2.562e-06 
  2055.650          92.094     -9.466   -139.683            7.328        14857.211      2.329      0.000      0.000    0.04398   24.80258           -0.50762       85.61967         2.588e-06 
  2056.650          92.029     -9.461   -139.618            7.328        14864.434      2.323      0.000      0.000    0.04353   24.80724           -0.50882       85.60753         2.615e-06 
  2057.650          91.964     -9.456   -139.552            7.327        14871.657      2.318      0.000      0.000    0.04308   24.81191           -0.51004       85.59539         2.643e-06 
  2058.650          91.899     -9.451   -139.487            7.326        14878.879      2.313      0.000      0.000    0.04263   24.81657           -0.51126       85.58326         2.671e-06 
  2059.650          91.834     -9.446   -139.421            7.325        14886.100      2.307      0.000      0.000    0.04219   24.82124           -0.51250       85.57114         2.699e-06 
  2060.650          91.768     -9.441   -139.356            7.325        14893.320      2.302      0.000      0.000    0.04175   24.82591           -0.51376       85.55903         2.727e-06 
  2061.650          91.702     -9.436   -139.290            7.324        14900.540      2.297      0.000      0.000    0.04132   24.83058           -0.51503       85.54692         2.756e-06 
  2062.650          91.636     -9.431   -139.224            7.323        14907.760      2.292      0.000      0.000    0.04088   24.83524           -0.51631       85.53483         2.786e-06 
  2063.650          91.570     -9.426   -139.159            7.323        14914.978      2.286      0.000      0.000    0.04045   24.83990           -0.51761       85.52274         2.815e-06 
  2064.650          91.504     -9.420   -139.093            7.322        14922.196      2.281      0.000      0.000    0.04003   24.84456           -0.51892       85.51065         2.846e-06 
  2065.650          91.438     -9.415   -139.028            7.321        14929.414      2.276      0.000      0.000    0.03960   24.84920           -0.52025       85.49858         2.876e-06 
  2066.650          91.371     -9.410   -138.962            7.320        14936.630      2.271      0.000      0.000    0.03918   24.85384           -0.52159       85.48651         2.907e-06 
  2067.650          91.304     -9.405   -138.897            7.320        14943.846      2.266      0.000      0.000    0.03877   24.85847           -0.52294       85.47445         2.939e-06 
  2068.650          91.237     -9.400   -138.831            7.319        14951.062      2.261      0.000      0.000    0.03835   24.86308           -0.52432       85.46240         2.970e-06 
  2069.650          91.170     -9.395   -138.766            7.318        14958.277      2.256      0.000      0.000    0.03794   24.86767           -0.52570       85.45036         3.003e-06 
  2070.650          91.103     -9.390   -138.700            7.317        14965.491      2.252      0.000      0.000    0.03754   24.87225           -0.52711       85.43832         3.036e-06 
  2071.650          91.036     -9.384   -138.635            7.317        14972.704      2.247      0.000      0.000    0.03713   24.87681           -0.52852       85.42630         3.069e-06 
  2072.650          90.968     -9.379   -138.569            7.316        14979.917      2.242      0.000      0.000    0.03673   24.88135           -0.52996       85.41428         3.102e-06 
  2073.650          90.900     -9.374   -138.504            7.315        14987.129      2.238      0.000      0.000    0.03633   24.88586           -0.53141       85.40227         3.137e-06 
  2074.650          90.832     -9.369   -138.439            7.314        14994.340      2.233      0.000      0.000    0.03594   24.89036           -0.53287       85.39026         3.171e-06 
  2075.650          90.764     -9.363   -138.373            7.313        15001.551      2.228      0.000      0.000    0.03555   24.89482           -0.53435       85.37827         3.206e-06 
  2076.650          90.696     -9.358   -138.308            7.313        15008.761      2.224      0.000      0.000    0.03516   24.89925           -0.53585       85.36628         3.242e-06 
  2077.650          90.628     -9.353   -138.242            7.312        15015.970      2.219      0.000      0.000    0.03477   24.90366           -0.53736       85.35431         3.278e-06 
  2078.650          90.559     -9.348   -138.177            7.311        15023.178      2.215      0.000      0.000    0.03439   24.90803           -0.53889       85.34234         3.315e-06 
  2079.650          90.490     -9.342   -138.112            7.310        15030.386      2.211      0.000      0.000    0.03401   24.91236           -0.54044       85.33037         3.352e-06 
  2080.650          90.421     -9.337   -138.046            7.309        15037.593      2.206      0.000      0.000    0.03363   24.91666           -0.54201       85.31842         3.390e-06 
  2081.650          90.352     -9.332   -137.981            7.309        15044.799      2.202      0.000      0.000    0.03326   24.92092           -0.54359       85.30647         3.428e-06 
  2082.650          90.282     -9.326   -137.915            7.308        15052.005      2.198      0.000      0.000    0.03289   24.92514           -0.54519       85.29454         3.467e-06 
  2083.650          90.213     -9.321   -137.850            7.307        15059.209      2.194      0.000      0.000    0.03252   24.92931           -0.54680       85.28261         3.506e-06 
  2084.650          90.143     -9.316   -137.785            7.306        15066.413      2.190      0.000      0.000    0.03216   24.93343           -0.54844       85.27069         3.546e-06 
  2085.650          90.073     -9.310   -137.719            7.305        15073.616      2.186      0.000      0.000    0.03180   24.93751           -0.55009       85.25878         3.587e-06 
  2086.650          90.003     -9.305   -137.654            7.304        15080.818      2.182      0.000      0.000    0.03144   24.94153           -0.55176       85.24687         3.628e-06 
  2087.650          89.932     -9.300   -137.589            7.303        15088.020      2.178      0.000      0.000    0.03108   24.94551           -0.55344       85.23498         3.670e-06 
  2088.650          89.862     -9.294   -137.523            7.302        15095.220      2.174      0.000      0.000    0.03073   24.94942           -0.55515       85.22309         3.712e-06 
  2089.650          89.791     -9.289   -137.458            7.301        15102.420      2.170      0.000      0.000    0.03038   24.95328           -0.55687       85.21122         3.755e-06 
  2090.650          89.720     -9.283   -137.393            7.300        15109.619      2.166      0.000      0.000    0.03003   24.95709           -0.55861       85.19935         3.799e-06 
  2091.650          89.648     -9.278   -137.327            7.300        15116.817      2.163      0.000      0.000    0.02968   24.96083           -0.56037       85.18749         3.843e-06 
  2092.650          89.577     -9.272   -137.262            7.299        15124.015      2.159      0.000      0.000    0.02934   24.96452           -0.56215       85.17564         3.888e-06 
  2093.650          89.505     -9.267   -137.197            7.298        15131.211      2.155      0.000      0.000    0.02900   24.96814           -0.56395       85.16379         3.933e-06 
  2094.650          89.433     -9.261   -137.132            7.297        15138.407      2.152      0.000      0.000    0.02867   24.97171           -0.56577       85.15196         3.980e-06 
  2095.650          89.361     -9.256   -137.066            7.296        15145.601      2.148      0.000      0.000    0.02833   24.97521           -0.56761       85.14013         4.027e-06 
  2096.650          89.289     -9.250   -137.001            7.295        15152.795      2.145      0.000      0.000    0.02800   24.97864           -0.56947       85.12832         4.074e-06 
  2097.650          89.216     -9.245   -136.936            7.294        15159.988      2.142      0.000      0.000    0.02767   24.98201           -0.57135       85.11651         4.123e-06 
  2098.650          89.143     -9.239   -136.871            7.293        15167.180      2.138      0.000      0.000    0.02735   24.98531           -0.57324       85.10471         4.172e-06 
  2099.650          89.070     -9.234   -136.806            7.292        15174.371      2.135      0.000      0.000    0.02703   24.98854           -0.57516       85.09292         4.222e-06 
  2100.650          88.997     -9.228   -136.740            7.291        15181.561      2.132      0.000      0.000    0.02671   24.99170           -0.57710       85.08114         4.273e-06 
