# object name: PLM
-3.141593 -1.570796 1.000000
-2.879793 -1.570796 1.000000
-2.617994 -1.570796 1.000000
-2.356194 -1.570796 1.000000
-2.094395 -1.570796 1.000000
-1.832596 -1.570796 1.000000
-1.570796 -1.570796 1.000000
-1.308997 -1.570796 1.000000
-1.047198 -1.570796 1.000000
-0.785398 -1.570796 1.000000
-0.523599 -1.570796 1.000000
-0.261799 -1.570796 1.000000
0.000000 -1.570796 1.000000
0.261799 -1.570796 1.000000
0.523599 -1.570796 1.000000
0.785398 -1.570796 1.000000
1.047198 -1.570796 1.000000
1.308997 -1.570796 1.000000
1.570796 -1.570796 1.000000
1.832596 -1.570796 1.000000
2.094395 -1.570796 1.000000
2.356194 -1.570796 1.000000
2.617994 -1.570796 1.000000
2.879793 -1.570796 1.000000
3.141593 -1.570796 1.000000

-3.141593 -1.308997 1.000000
-2.879793 -1.308997 1.000000
-2.617994 -1.308997 1.000000
-2.356194 -1.308997 1.000000
-2.094395 -1.308997 1.000000
-1.832596 -1.308997 1.000000
-1.570796 -1.308997 1.000000
-1.308997 -1.308997 1.000000
-1.047198 -1.308997 1.000000
-0.785398 -1.308997 1.000000
-0.523599 -1.308997 1.000000
-0.261799 -1.308997 1.000000
0.000000 -1.308997 1.000000
0.261799 -1.308997 1.000000
0.523599 -1.308997 1.000000
0.785398 -1.308997 1.000000
1.047198 -1.308997 1.000000
1.308997 -1.308997 1.000000
1.570796 -1.308997 1.000000
1.832596 -1.308997 1.000000
2.094395 -1.308997 1.000000
2.356194 -1.308997 1.000000
2.617994 -1.308997 1.000000
2.879793 -1.308997 1.000000
3.141593 -1.308997 1.000000

-3.141593 -1.047198 0.935185
-2.879793 -1.047198 0.926160
-2.617994 -1.047198 0.953908
-2.356194 -1.047198 0.982558
-2.094395 -1.047198 1.000000
-1.832596 -1.047198 1.000000
-1.570796 -1.047198 1.000000
-1.308997 -1.047198 1.000000
-1.047198 -1.047198 1.000000
-0.785398 -1.047198 1.000000
-0.523599 -1.047198 1.000000
-0.261799 -1.047198 1.000000
0.000000 -1.047198 1.000000
0.261799 -1.047198 1.000000
0.523599 -1.047198 1.000000
0.785398 -1.047198 1.000000
1.047198 -1.047198 1.000000
1.308997 -1.047198 1.000000
1.570796 -1.047198 1.000000
1.832596 -1.047198 1.000000
2.094395 -1.047198 1.000000
2.356194 -1.047198 0.982558
2.617994 -1.047198 0.953908
2.879793 -1.047198 0.926160
3.141593 -1.047198 0.935185

-3.141593 -0.785398 0.769231
-2.879793 -0.785398 0.770386
-2.617994 -0.785398 0.844930
-2.356194 -0.785398 0.915254
-2.094395 -0.785398 0.984991
-1.832596 -0.785398 1.000000
-1.570796 -0.785398 1.000000
-1.308997 -0.785398 1.000000
-1.047198 -0.785398 1.000000
-0.785398 -0.785398 1.000000
-0.523599 -0.785398 1.000000
-0.261799 -0.785398 1.000000
0.000000 -0.785398 1.000000
0.261799 -0.785398 1.000000
0.523599 -0.785398 1.000000
0.785398 -0.785398 1.000000
1.047198 -0.785398 1.000000
1.308997 -0.785398 1.000000
1.570796 -0.785398 1.000000
1.832596 -0.785398 1.000000
2.094395 -0.785398 0.984991
2.356194 -0.785398 0.915254
2.617994 -0.785398 0.844930
2.879793 -0.785398 0.770386
3.141593 -0.785398 0.769231

-3.141593 -0.523599 0.565217
