#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.ASCATSSP1.4d596ab3-b5ce-4370-977f-1a8802bcf123_Trajectory.txt
# RunID         : PySara
# ObjectID      : 4d596ab3-b5ce-4370-977f-1a8802bcf123
# ObjectName    : ASCATSSP1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2550.200          74.725      9.785     94.442            7.077        18434.434      2.874      0.000      0.000    0.00488   24.62438           -0.93397       86.31060         4.242e-05 
  2550.300          74.713      9.785     94.448            7.074        18435.133      2.874      0.000      0.000    0.00487   24.61661           -0.93459       86.31183         4.249e-05 
  2550.750          74.661      9.787     94.476            7.064        18438.277      2.874      0.000      0.000    0.00484   24.58044           -0.93741       86.31740         4.280e-05 
  2551.750          74.546      9.791     94.540            7.040        18445.246      2.874      0.000      0.000    0.00475   24.49697           -0.94403       86.32975         4.354e-05 
  2552.750          74.429      9.795     94.603            7.016        18452.191      2.874      0.000      0.000    0.00467   24.40647           -0.95112       86.34207         4.435e-05 
  2553.750          74.313      9.799     94.666            6.992        18459.113      2.874      0.000      0.000    0.00458   24.31506           -0.95869       86.35437         4.517e-05 
  2554.750          74.195      9.803     94.729            6.968        18466.011      2.874      0.000      0.000    0.00450   24.22272           -0.96674       86.36665         4.602e-05 
  2555.750          74.078      9.807     94.791            6.943        18472.885      2.874      0.000      0.000    0.00442   24.12945           -0.97529       86.37890         4.688e-05 
  2556.750          73.959      9.811     94.854            6.918        18479.735      2.874      0.000      0.000    0.00433   24.03522           -0.98434       86.39113         4.777e-05 
  2557.750          73.840      9.815     94.916            6.893        18486.559      2.874      0.000      0.000    0.00425   23.94002           -0.99391       86.40333         4.867e-05 
