#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.Battery3.d62ffb09-5716-42d4-9382-65e4c7f6ab3a_Trajectory.txt
# RunID         : PySara
# ObjectID      : d62ffb09-5716-42d4-9382-65e4c7f6ab3a
# ObjectName    : Battery3
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2353.100          90.144      8.697     81.622            7.337        17020.780      1.580      0.000      0.000    0.06086   26.58227           -0.44368       83.97378         3.336e-06 
  2353.200          90.139      8.698     81.628            7.337        17021.503      1.579      0.000      0.000    0.06081   26.58196           -0.44379       83.97489         3.339e-06 
  2353.650          90.113      8.701     81.658            7.337        17024.759      1.578      0.000      0.000    0.06057   26.58053           -0.44426       83.97992         3.352e-06 
  2354.650          90.056      8.708     81.723            7.337        17031.993      1.574      0.000      0.000    0.06003   26.57722           -0.44533       83.99108         3.382e-06 
  2355.650          89.999      8.714     81.789            7.336        17039.227      1.570      0.000      0.000    0.05946   26.57362           -0.44639       84.00225         3.415e-06 
  2356.650          89.942      8.721     81.854            7.336        17046.461      1.565      0.000      0.000    0.05889   26.56998           -0.44746       84.01343         3.448e-06 
  2357.650          89.884      8.728     81.919            7.336        17053.694      1.561      0.000      0.000    0.05832   26.56630           -0.44854       84.02463         3.481e-06 
  2358.650          89.827      8.735     81.985            7.336        17060.928      1.557      0.000      0.000    0.05776   26.56258           -0.44962       84.03582         3.515e-06 
  2359.650          89.769      8.742     82.050            7.335        17068.161      1.553      0.000      0.000    0.05720   26.55881           -0.45070       84.04703         3.550e-06 
  2360.650          89.712      8.748     82.115            7.335        17075.395      1.549      0.000      0.000    0.05665   26.55500           -0.45179       84.05825         3.585e-06 
  2361.650          89.654      8.755     82.181            7.335        17082.628      1.545      0.000      0.000    0.05610   26.55115           -0.45289       84.06948         3.620e-06 
  2362.650          89.596      8.762     82.246            7.335        17089.861      1.541      0.000      0.000    0.05556   26.54725           -0.45399       84.08071         3.655e-06 
  2363.650          89.537      8.769     82.312            7.335        17097.094      1.537      0.000      0.000    0.05502   26.54332           -0.45509       84.09195         3.692e-06 
  2364.650          89.479      8.775     82.377            7.334        17104.326      1.533      0.000      0.000    0.05448   26.53934           -0.45620       84.10321         3.728e-06 
  2365.650          89.421      8.782     82.442            7.334        17111.559      1.529      0.000      0.000    0.05395   26.53532           -0.45732       84.11447         3.765e-06 
  2366.650          89.362      8.789     82.508            7.334        17118.791      1.525      0.000      0.000    0.05342   26.53126           -0.45844       84.12574         3.803e-06 
