#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.DBU2.afbd0b58-1f59-4fce-b54e-124fe1757b32_Trajectory.txt
# RunID         : PySara
# ObjectID      : afbd0b58-1f59-4fce-b54e-124fe1757b32
# ObjectName    : DBU2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2550.200          74.725      9.785     94.442            7.077        18434.434      1.457      0.000      0.000    0.01817   24.62438           -0.93397       86.31060         4.242e-05 
  2550.300          74.713      9.785     94.448            7.074        18435.133      1.457      0.000      0.000    0.01814   24.61611           -0.93459       86.31183         4.249e-05 
  2550.750          74.661      9.787     94.476            7.063        18438.276      1.457      0.000      0.000    0.01801   24.57764           -0.93741       86.31740         4.280e-05 
  2551.750          74.546      9.791     94.540            7.038        18445.244      1.455      0.000      0.000    0.01770   24.48892           -0.94405       86.32976         4.354e-05 
  2552.750          74.430      9.795     94.603            7.012        18452.186      1.454      0.000      0.000    0.01738   24.39284           -0.95119       86.34209         4.435e-05 
  2553.750          74.313      9.799     94.666            6.986        18459.103      1.453      0.000      0.000    0.01706   24.29590           -0.95884       86.35439         4.517e-05 
  2554.750          74.196      9.803     94.729            6.960        18465.995      1.452      0.000      0.000    0.01675   24.19809           -0.96702       86.36667         4.602e-05 
  2555.750          74.078      9.807     94.791            6.934        18472.861      1.451      0.000      0.000    0.01644   24.09938           -0.97572       86.37892         4.688e-05 
  2556.750          73.960      9.811     94.853            6.907        18479.701      1.450      0.000      0.000    0.01614   23.99978           -0.98495       86.39114         4.776e-05 
  2557.750          73.840      9.815     94.915            6.881        18486.514      1.449      0.000      0.000    0.01584   23.89925           -0.99473       86.40334         4.867e-05 
  2558.750          73.721      9.818     94.977            6.854        18493.302      1.448      0.000      0.000    0.01554   23.79778           -1.00506       86.41550         4.959e-05 
  2559.750          73.600      9.822     95.039            6.826        18500.062      1.448      0.000      0.000    0.01525   23.69535           -1.01595       86.42764         5.054e-05 
  2560.750          73.479      9.826     95.100            6.798        18506.795      1.447      0.000      0.000    0.01496   23.59196           -1.02740       86.43975         5.152e-05 
  2561.750          73.356      9.830     95.161            6.766        18513.498      1.446      0.000      0.000    0.01468   23.47391           -1.03945       86.45187         5.251e-05 
  2562.750          73.233      9.833     95.222            6.727        18520.166      1.446      0.000      0.000    0.01440   23.33282           -1.05219       86.46400         5.354e-05 
  2563.750          73.109      9.837     95.282            6.677        18526.790      1.445      0.000      0.000    0.01412   23.15786           -1.06579       86.47617         5.458e-05 
  2564.750          72.985      9.841     95.342            6.611        18533.358      1.445      0.000      0.000    0.01385   22.92874           -1.08049       86.48842         5.566e-05 
  2565.750          72.860      9.844     95.401            6.515        18539.845      1.444      0.000      0.000    0.01358   22.59951           -1.09668       86.50087         5.675e-05 
  2566.750          72.736      9.848     95.458            6.342        18546.198      1.444      0.000      0.000    0.01332   22.02367           -1.11518       86.51394         5.786e-05 
  2567.648          72.630      9.851     95.507            5.724        18551.547      1.444      0.000      0.000    0.01310   20.04434           -1.13585       86.53077         5.885e-05 
