#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.SADM1_internal.527057a7-0dc1-4411-a9f9-d4ac6fbbdcd5_Trajectory.txt
# RunID         : PySara
# ObjectID      : 527057a7-0dc1-4411-a9f9-d4ac6fbbdcd5
# ObjectName    : SADM1_internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2506.650          78.608      9.588     91.580            7.053        18119.678      1.048      0.000      0.000    0.00623   24.80671           -0.86427       85.76741         2.273e-05 
  2506.750          78.597      9.588     91.586            7.053        18120.375      1.048      0.000      0.000    0.00622   24.80387           -0.86494       85.76861         2.276e-05 
  2507.200          78.549      9.590     91.615            7.049        18123.508      1.048      0.000      0.000    0.00618   24.79066           -0.86797       85.77399         2.292e-05 
  2508.200          78.442      9.595     91.678            7.042        18130.467      1.048      0.000      0.000    0.00608   24.76012           -0.87479       85.78595         2.329e-05 
  2509.200          78.334      9.600     91.741            7.035        18137.419      1.048      0.000      0.000    0.00597   24.72690           -0.88176       85.79790         2.371e-05 
  2510.200          78.226      9.604     91.804            7.028        18144.364      1.048      0.000      0.000    0.00587   24.69325           -0.88888       85.80985         2.413e-05 
  2511.200          78.116      9.609     91.867            7.020        18151.302      1.048      0.000      0.000    0.00577   24.65915           -0.89615       85.82180         2.456e-05 
  2512.200          78.006      9.613     91.930            7.013        18158.232      1.048      0.000      0.000    0.00567   24.62460           -0.90356       85.83374         2.500e-05 
  2513.200          77.895      9.618     91.993            7.005        18165.155      1.048      0.000      0.000    0.00556   24.58959           -0.91113       85.84568         2.546e-05 
  2514.200          77.783      9.622     92.056            6.997        18172.070      1.048      0.000      0.000    0.00546   24.55412           -0.91886       85.85761         2.592e-05 
  2515.200          77.671      9.627     92.119            6.989        18178.977      1.048      0.000      0.000    0.00537   24.51817           -0.92674       85.86953         2.640e-05 
  2516.200          77.557      9.631     92.182            6.981        18185.877      1.048      0.000      0.000    0.00527   24.48173           -0.93479       85.88145         2.688e-05 
  2517.200          77.443      9.636     92.244            6.973        18192.769      1.048      0.000      0.000    0.00517   24.44481           -0.94300       85.89337         2.739e-05 
  2518.200          77.328      9.640     92.307            6.964        18199.652      1.048      0.000      0.000    0.00508   24.40738           -0.95137       85.90528         2.790e-05 
  2519.200          77.212      9.645     92.369            6.956        18206.527      1.048      0.000      0.000    0.00498   24.36944           -0.95992       85.91718         2.843e-05 
  2520.200          77.095      9.649     92.432            6.947        18213.394      1.048      0.000      0.000    0.00489   24.33099           -0.96864       85.92908         2.897e-05 
  2521.200          76.977      9.654     92.494            6.938        18220.252      1.048      0.000      0.000    0.00480   24.29202           -0.97754       85.94097         2.952e-05 
  2522.200          76.858      9.658     92.556            6.929        18227.102      1.048      0.000      0.000    0.00471   24.25251           -0.98661       85.95286         3.009e-05 
  2523.200          76.738      9.662     92.618            6.920        18233.943      1.048      0.000      0.000    0.00462   24.21245           -0.99587       85.96474         3.068e-05 
  2524.200          76.617      9.667     92.681            6.911        18240.775      1.048      0.000      0.000    0.00453   24.17184           -1.00531       85.97662         3.128e-05 
  2525.200          76.495      9.671     92.743            6.901        18247.598      1.048      0.000      0.000    0.00444   24.13067           -1.01494       85.98848         3.190e-05 
  2526.200          76.373      9.675     92.804            6.892        18254.411      1.048      0.000      0.000    0.00435   24.08892           -1.02477       86.00034         3.253e-05 
  2527.200          76.249      9.680     92.866            6.882        18261.215      1.048      0.000      0.000    0.00427   24.04659           -1.03479       86.01220         3.318e-05 
  2528.200          76.124      9.684     92.928            6.872        18268.010      1.048      0.000      0.000    0.00418   24.00367           -1.04501       86.02404         3.385e-05 
  2529.200          75.998      9.688     92.990            6.862        18274.794      1.048      0.000      0.000    0.00410   23.96014           -1.05544       86.03588         3.454e-05 
  2530.200          75.871      9.692     93.051            6.852        18281.569      1.048      0.000      0.000    0.00402   23.91600           -1.06607       86.04772         3.525e-05 
  2531.200          75.743      9.697     93.113            6.841        18288.334      1.048      0.000      0.000    0.00394   23.87123           -1.07692       86.05954         3.598e-05 
  2532.200          75.614      9.701     93.174            6.828        18295.087      1.048      0.000      0.000    0.00386   23.81822           -1.08798       86.07137         3.673e-05 
  2533.200          75.484      9.705     93.236            6.809        18301.824      1.048      0.000      0.000    0.00378   23.74522           -1.09933       86.08321         3.750e-05 
  2534.200          75.353      9.709     93.297            6.774        18308.535      1.048      0.000      0.000    0.00370   23.62136           -1.11110       86.09511         3.829e-05 
  2535.200          75.223      9.713     93.357            6.613        18315.148      1.048      0.000      0.000    0.00362   23.10489           -1.12380       86.10758         3.909e-05 
