#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.SADM2-internal.40fdfd8c-e723-4faa-9e1f-5f012fbe443a_Trajectory.txt
# RunID         : PySara
# ObjectID      : 40fdfd8c-e723-4faa-9e1f-5f012fbe443a
# ObjectName    : SADM2-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2497.650          79.703      9.547     91.026            7.155        18058.672      1.268      0.000      0.000    0.01081   25.24297           -0.77117       85.66238         1.901e-05 
  2497.750          79.693      9.547     91.032            7.155        18059.379      1.268      0.000      0.000    0.01079   25.24122           -0.77164       85.66358         1.904e-05 
  2498.200          79.650      9.549     91.061            7.153        18062.558      1.268      0.000      0.000    0.01072   25.23307           -0.77376       85.66900         1.916e-05 
  2499.200          79.553      9.554     91.125            7.149        18069.620      1.268      0.000      0.000    0.01057   25.21423           -0.77853       85.68106         1.944e-05 
  2500.200          79.455      9.559     91.189            7.145        18076.678      1.268      0.000      0.000    0.01040   25.19376           -0.78337       85.69311         1.975e-05 
  2501.200          79.357      9.564     91.254            7.141        18083.732      1.268      0.000      0.000    0.01023   25.17304           -0.78828       85.70516         2.007e-05 
  2502.200          79.259      9.568     91.318            7.137        18090.783      1.268      0.000      0.000    0.01007   25.15206           -0.79328       85.71722         2.040e-05 
  2503.200          79.160      9.573     91.382            7.133        18097.829      1.268      0.000      0.000    0.00991   25.13083           -0.79835       85.72927         2.073e-05 
  2504.200          79.060      9.578     91.446            7.129        18104.872      1.268      0.000      0.000    0.00975   25.10934           -0.80351       85.74132         2.107e-05 
  2505.200          78.960      9.583     91.510            7.125        18111.911      1.268      0.000      0.000    0.00959   25.08758           -0.80874       85.75338         2.142e-05 
  2506.200          78.859      9.587     91.573            7.121        18118.946      1.268      0.000      0.000    0.00944   25.06556           -0.81406       85.76543         2.177e-05 
  2507.200          78.757      9.592     91.637            7.117        18125.977      1.268      0.000      0.000    0.00928   25.04326           -0.81946       85.77749         2.213e-05 
  2508.200          78.655      9.597     91.701            7.112        18133.003      1.268      0.000      0.000    0.00913   25.02069           -0.82495       85.78954         2.250e-05 
  2509.200          78.553      9.601     91.765            7.108        18140.026      1.268      0.000      0.000    0.00898   24.99783           -0.83052       85.80160         2.288e-05 
  2510.200          78.449      9.606     91.829            7.103        18147.044      1.268      0.000      0.000    0.00883   24.97470           -0.83618       85.81365         2.327e-05 
  2511.200          78.345      9.611     91.892            7.099        18154.057      1.268      0.000      0.000    0.00868   24.95127           -0.84193       85.82571         2.367e-05 
  2512.200          78.241      9.615     91.956            7.094        18161.066      1.268      0.000      0.000    0.00853   24.92756           -0.84778       85.83776         2.407e-05 
  2513.200          78.135      9.620     92.020            7.089        18168.071      1.268      0.000      0.000    0.00839   24.90355           -0.85371       85.84981         2.448e-05 
  2514.200          78.029      9.624     92.083            7.085        18175.071      1.268      0.000      0.000    0.00825   24.87924           -0.85974       85.86187         2.491e-05 
