#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.SRADipl.dddb594c-b70e-477c-997f-a3cee0aabb6a_Trajectory.txt
# RunID         : PySara
# ObjectID      : dddb594c-b70e-477c-997f-a3cee0aabb6a
# ObjectName    : SRADipl
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2550.200          74.725      9.785     94.442            7.077        18434.434      1.396      0.000      0.000    0.00701   24.62438           -0.93397       86.31060         4.242e-05 
  2550.300          74.713      9.785     94.448            7.074        18435.133      1.396      0.000      0.000    0.00700   24.61627           -0.93459       86.31183         4.249e-05 
  2550.750          74.661      9.787     94.476            7.063        18438.276      1.396      0.000      0.000    0.00695   24.57852           -0.93741       86.31740         4.280e-05 
  2551.750          74.546      9.791     94.540            7.038        18445.244      1.396      0.000      0.000    0.00683   24.49144           -0.94404       86.32976         4.354e-05 
  2552.750          74.430      9.795     94.603            7.013        18452.188      1.396      0.000      0.000    0.00671   24.39704           -0.95117       86.34209         4.435e-05 
  2553.750          74.313      9.799     94.666            6.988        18459.106      1.396      0.000      0.000    0.00658   24.30171           -0.95879       86.35439         4.517e-05 
  2554.750          74.196      9.803     94.729            6.963        18466.000      1.396      0.000      0.000    0.00646   24.20545           -0.96693       86.36667         4.602e-05 
  2555.750          74.078      9.807     94.791            6.937        18472.868      1.396      0.000      0.000    0.00634   24.10824           -0.97559       86.37892         4.688e-05 
  2556.750          73.959      9.811     94.853            6.910        18479.711      1.396      0.000      0.000    0.00623   24.01006           -0.98477       86.39114         4.777e-05 
  2557.750          73.840      9.815     94.915            6.884        18486.528      1.396      0.000      0.000    0.00611   23.91091           -0.99448       86.40334         4.867e-05 
  2558.750          73.720      9.818     94.977            6.857        18493.318      1.396      0.000      0.000    0.00600   23.81077           -1.00474       86.41551         4.960e-05 
  2559.750          73.600      9.822     95.039            6.830        18500.083      1.396      0.000      0.000    0.00588   23.70963           -1.01555       86.42765         5.055e-05 
  2560.750          73.478      9.826     95.100            6.803        18506.820      1.396      0.000      0.000    0.00577   23.60746           -1.02692       86.43976         5.152e-05 
  2561.750          73.356      9.830     95.161            6.775        18513.530      1.396      0.000      0.000    0.00566   23.50426           -1.03887       86.45185         5.252e-05 
  2562.750          73.233      9.833     95.222            6.747        18520.213      1.396      0.000      0.000    0.00555   23.40001           -1.05139       86.46391         5.354e-05 
  2563.750          73.108      9.837     95.283            6.719        18526.868      1.396      0.000      0.000    0.00545   23.29469           -1.06450       86.47594         5.459e-05 
  2564.750          72.983      9.841     95.343            6.689        18533.494      1.396      0.000      0.000    0.00534   23.18294           -1.07821       86.48795         5.567e-05 
  2565.750          72.857      9.845     95.403            6.654        18540.089      1.396      0.000      0.000    0.00524   23.05746           -1.09258       86.49997         5.678e-05 
  2566.750          72.729      9.848     95.462            6.614        18546.646      1.396      0.000      0.000    0.00513   22.91386           -1.10771       86.51199         5.792e-05 
  2567.750          72.601      9.852     95.522            6.567        18553.161      1.396      0.000      0.000    0.00503   22.74662           -1.12371       86.52404         5.909e-05 
  2568.376          72.520      9.854     95.559            6.532        18557.216      1.396      0.000      0.000    0.00497   22.61386           -1.13425       86.53161         5.989e-05 
  2569.376          72.390      9.857     95.617            6.467        18563.641      1.396      0.000      0.000    0.00488   22.39632           -1.15210       86.54373         6.088e-05 
  2570.376          72.260      9.861     95.675            6.385        18569.993      1.396      0.000      0.000    0.00479   22.11176           -1.17144       86.55595         6.213e-05 
  2571.376          72.130      9.864     95.732            6.274        18576.250      1.396      0.000      0.000    0.00469   21.73029           -1.19271       86.56840         6.339e-05 
  2572.376          72.000      9.868     95.788            6.106        18582.369      1.396      0.000      0.000    0.00460   21.16262           -1.21673       86.58140         6.468e-05 
  2573.376          71.872      9.871     95.841            5.783        18588.242      1.396      0.000      0.000    0.00451   20.09851           -1.24532       86.59624         6.597e-05 
  2573.576          71.848      9.871     95.851            5.279        18589.334      1.396      0.000      0.000    0.00448   18.41949           -1.24901       86.60591         6.635e-05 
