#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.TCU.5730fc2c-e436-4d0d-8aff-7db103d50d08_Trajectory.txt
# RunID         : PySara
# ObjectID      : 5730fc2c-e436-4d0d-8aff-7db103d50d08
# ObjectName    : TCU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2550.200          74.725      9.785     94.442            7.077        18434.434      1.906      0.000      0.000    0.00435   24.62438           -0.93397       86.31060         4.242e-05 
  2550.300          74.713      9.785     94.448            7.076        18435.133      1.906      0.000      0.000    0.00434   24.62147           -0.93460       86.31182         4.249e-05 
  2550.750          74.661      9.787     94.476            7.073        18438.279      1.906      0.000      0.000    0.00431   24.60795           -0.93744       86.31735         4.280e-05 
  2551.750          74.545      9.791     94.540            7.065        18445.265      1.906      0.000      0.000    0.00424   24.57669           -0.94385       86.32963         4.354e-05 
  2552.750          74.429      9.795     94.604            7.057        18452.243      1.906      0.000      0.000    0.00416   24.54271           -0.95041       86.34191         4.435e-05 
  2553.750          74.311      9.799     94.667            7.049        18459.213      1.906      0.000      0.000    0.00408   24.50830           -0.95713       86.35418         4.518e-05 
  2554.750          74.193      9.803     94.730            7.042        18466.176      1.906      0.000      0.000    0.00401   24.47345           -0.96400       86.36645         4.604e-05 
  2555.750          74.074      9.807     94.794            7.033        18473.132      1.906      0.000      0.000    0.00393   24.43813           -0.97104       86.37871         4.691e-05 
  2556.750          73.955      9.811     94.857            7.025        18480.079      1.906      0.000      0.000    0.00386   24.40235           -0.97823       86.39097         4.780e-05 
  2557.750          73.834      9.815     94.920            7.017        18487.018      1.906      0.000      0.000    0.00379   24.36609           -0.98560       86.40322         4.871e-05 
  2558.750          73.713      9.819     94.983            7.008        18493.949      1.906      0.000      0.000    0.00372   24.32932           -0.99313       86.41547         4.965e-05 
  2559.750          73.591      9.823     95.046            7.000        18500.872      1.906      0.000      0.000    0.00365   24.29205           -1.00084       86.42772         5.061e-05 
  2560.750          73.469      9.827     95.109            6.991        18507.786      1.906      0.000      0.000    0.00358   24.25425           -1.00872       86.43995         5.159e-05 
  2561.750          73.345      9.830     95.172            6.982        18514.691      1.906      0.000      0.000    0.00351   24.21591           -1.01678       86.45219         5.260e-05 
  2562.750          73.221      9.834     95.234            6.973        18521.588      1.906      0.000      0.000    0.00344   24.17701           -1.02503       86.46442         5.364e-05 
  2563.750          73.096      9.838     95.297            6.964        18528.476      1.906      0.000      0.000    0.00337   24.13755           -1.03346       86.47664         5.470e-05 
  2564.750          72.970      9.842     95.360            6.954        18535.354      1.906      0.000      0.000    0.00331   24.09750           -1.04208       86.48885         5.579e-05 
  2565.750          72.843      9.846     95.422            6.945        18542.224      1.906      0.000      0.000    0.00324   24.05684           -1.05089       86.50106         5.690e-05 
  2566.750          72.715      9.849     95.485            6.935        18549.084      1.906      0.000      0.000    0.00318   24.01557           -1.05990       86.51326         5.805e-05 
  2567.750          72.586      9.853     95.547            6.925        18555.934      1.906      0.000      0.000    0.00312   23.97366           -1.06911       86.52546         5.922e-05 
  2568.750          72.457      9.857     95.609            6.915        18562.775      1.906      0.000      0.000    0.00306   23.93110           -1.07853       86.53765         6.026e-05 
  2569.750          72.326      9.861     95.671            6.905        18569.605      1.906      0.000      0.000    0.00300   23.88779           -1.08816       86.54983         6.149e-05 
  2570.750          72.194      9.864     95.734            6.894        18576.426      1.906      0.000      0.000    0.00294   23.84353           -1.09799       86.56200         6.276e-05 
  2571.750          72.062      9.868     95.795            6.884        18583.236      1.906      0.000      0.000    0.00288   23.79831           -1.10805       86.57417         6.406e-05 
  2572.750          71.928      9.872     95.857            6.873        18590.036      1.906      0.000      0.000    0.00282   23.75211           -1.11833       86.58633         6.539e-05 
  2573.750          71.793      9.875     95.919            6.862        18596.825      1.906      0.000      0.000    0.00276   23.70491           -1.12883       86.59848         6.676e-05 
  2574.750          71.658      9.879     95.981            6.851        18603.603      1.906      0.000      0.000    0.00271   23.65671           -1.13956       86.61062         6.816e-05 
  2575.750          71.521      9.883     96.042            6.839        18610.371      1.906      0.000      0.000    0.00265   23.60746           -1.15053       86.62275         6.960e-05 
  2576.750          71.383      9.886     96.104            6.828        18617.127      1.906      0.000      0.000    0.00260   23.55717           -1.16174       86.63488         7.108e-05 
  2577.750          71.244      9.890     96.165            6.816        18623.871      1.906      0.000      0.000    0.00254   23.50581           -1.17319       86.64699         7.260e-05 
  2578.750          71.104      9.893     96.227            6.804        18630.604      1.906      0.000      0.000    0.00249   23.45336           -1.18489       86.65910         7.416e-05 
