#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.ADCS-RPU.6b158017-2221-41d5-91de-cdad33f7fe5c_Trajectory.txt
# RunID         : PySara
# ObjectID      : 6b158017-2221-41d5-91de-cdad33f7fe5c
# ObjectName    : ADCS-RPU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2750.200          70.465      7.832     57.682            6.892        19875.944      1.496      0.000      0.000    0.00201   23.93911           -1.15287       97.30393         8.105e-05 
  2750.300          70.452      7.831     57.688            6.890        19876.626      1.496      0.000      0.000    0.00200   23.93347           -1.15388       97.30488         8.120e-05 
  2750.750          70.389      7.827     57.715            6.884        19879.691      1.496      0.000      0.000    0.00199   23.90718           -1.15844       97.30915         8.191e-05 
  2751.750          70.249      7.819     57.777            6.869        19886.491      1.496      0.000      0.000    0.00195   23.84614           -1.16879       97.31863         8.354e-05 
  2752.750          70.109      7.812     57.838            6.854        19893.277      1.496      0.000      0.000    0.00191   23.77938           -1.17945       97.32808         8.534e-05 
  2753.750          69.967      7.804     57.898            6.839        19900.048      1.496      0.000      0.000    0.00187   23.71136           -1.19042       97.33751         8.718e-05 
  2754.750          69.825      7.796     57.959            6.824        19906.805      1.496      0.000      0.000    0.00183   23.64205           -1.20171       97.34691         8.908e-05 
  2755.750          69.681      7.788     58.020            6.808        19913.546      1.496      0.000      0.000    0.00179   23.57145           -1.21332       97.35629         9.102e-05 
  2756.750          69.536      7.780     58.080            6.792        19920.272      1.496      0.000      0.000    0.00175   23.49951           -1.22526       97.36564         9.301e-05 
  2757.750          69.391      7.773     58.141            6.776        19926.982      1.496      0.000      0.000    0.00171   23.42624           -1.23754       97.37497         9.505e-05 
  2758.750          69.244      7.765     58.201            6.760        19933.675      1.496      0.000      0.000    0.00167   23.35161           -1.25017       97.38427         9.715e-05 
  2759.750          69.096      7.757     58.261            6.743        19940.353      1.496      0.000      0.000    0.00164   23.27559           -1.26315       97.39355         9.930e-05 
  2760.750          68.946      7.749     58.321            6.726        19947.014      1.496      0.000      0.000    0.00160   23.19816           -1.27648       97.40280         1.015e-04 
  2761.750          68.796      7.742     58.380            6.709        19953.659      1.496      0.000      0.000    0.00157   23.11931           -1.29019       97.41202         1.038e-04 
  2762.750          68.644      7.734     58.440            6.691        19960.286      1.496      0.000      0.000    0.00153   23.03901           -1.30427       97.42122         1.061e-04 
