#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.ASCATEPC1-internal.e3c41722-dd46-4295-8a15-4214ae9596c4_Trajectory.txt
# RunID         : PySara
# ObjectID      : e3c41722-dd46-4295-8a15-4214ae9596c4
# ObjectName    : ASCATEPC1-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2792.750          63.405      7.515     60.097            5.461        20144.754      1.686      0.000      0.000    0.00121   18.07937           -2.06077       97.68176         2.185e-04 
  2792.850          63.385      7.514     60.102            5.453        20145.294      1.686      0.000      0.000    0.00120   18.05182           -2.06521       97.68257         2.190e-04 
  2793.300          63.297      7.511     60.124            5.414        20147.713      1.686      0.000      0.000    0.00119   17.92417           -2.08550       97.68623         2.212e-04 
  2794.300          63.099      7.505     60.171            5.329        20153.029      1.686      0.000      0.000    0.00116   17.63304           -2.13230       97.69427         2.265e-04 
  2795.300          62.900      7.498     60.218            5.245        20158.261      1.686      0.000      0.000    0.00113   17.32275           -2.18150       97.70223         2.324e-04 
  2796.300          62.700      7.492     60.265            5.161        20163.409      1.686      0.000      0.000    0.00110   17.01497           -2.23314       97.71010         2.383e-04 
  2797.300          62.498      7.486     60.310            5.078        20168.475      1.686      0.000      0.000    0.00108   16.70975           -2.28725       97.71787         2.445e-04 
  2798.300          62.294      7.480     60.355            4.995        20173.459      1.686      0.000      0.000    0.00105   16.40713           -2.34388       97.72556         2.508e-04 
  2799.300          62.089      7.474     60.399            4.913        20178.361      1.686      0.000      0.000    0.00102   16.10722           -2.40305       97.73315         2.574e-04 
  2800.300          61.882      7.468     60.442            4.831        20183.182      1.686      0.000      0.000    0.00100   15.81009           -2.46482       97.74066         2.641e-04 
  2801.300          61.674      7.462     60.485            4.751        20187.923      1.686      0.000      0.000    0.00097   15.51579           -2.52921       97.74808         2.710e-04 
  2802.300          61.464      7.457     60.526            4.628        20192.563      1.686      0.000      0.000    0.00095   15.10439           -2.59730       97.75583         2.781e-04 
  2802.910          61.341      7.453     60.550            4.191        20195.220      1.686      0.000      0.000    0.00093   13.78139           -2.64798       97.76480         2.828e-04 
