#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.RTU.4b32fec7-9f57-4649-8284-3d1fdfc20d90_Trajectory.txt
# RunID         : PySara
# ObjectID      : 4b32fec7-9f57-4649-8284-3d1fdfc20d90
# ObjectName    : RTU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2750.200          70.465      7.832     57.682            6.892        19875.944      1.216      0.000      0.000    0.00190   23.93911           -1.15287       97.30393         8.105e-05 
  2750.300          70.452      7.831     57.688            6.890        19876.626      1.216      0.000      0.000    0.00190   23.93226           -1.15388       97.30488         8.120e-05 
  2750.750          70.389      7.827     57.715            6.882        19879.690      1.216      0.000      0.000    0.00188   23.90035           -1.15845       97.30915         8.191e-05 
  2751.750          70.250      7.819     57.776            6.863        19886.486      1.216      0.000      0.000    0.00185   23.82633           -1.16887       97.31864         8.354e-05 
  2752.750          70.109      7.812     57.837            6.844        19893.264      1.216      0.000      0.000    0.00181   23.74551           -1.17968       97.32809         8.534e-05 
  2753.750          69.968      7.804     57.898            6.825        19900.023      1.216      0.000      0.000    0.00177   23.66329           -1.19089       97.33751         8.718e-05 
  2754.750          69.825      7.796     57.959            6.805        19906.763      1.216      0.000      0.000    0.00173   23.57966           -1.20251       97.34691         8.907e-05 
  2755.750          69.682      7.788     58.019            6.786        19913.484      1.216      0.000      0.000    0.00170   23.49459           -1.21454       97.35628         9.100e-05 
  2756.750          69.538      7.780     58.079            6.765        19920.185      1.216      0.000      0.000    0.00166   23.40808           -1.22698       97.36561         9.299e-05 
  2757.750          69.392      7.773     58.140            6.745        19926.866      1.216      0.000      0.000    0.00162   23.32010           -1.23986       97.37492         9.502e-05 
  2758.750          69.246      7.765     58.199            6.724        19933.527      1.216      0.000      0.000    0.00159   23.23062           -1.25318       97.38420         9.712e-05 
  2759.750          69.098      7.757     58.259            6.703        19940.168      1.216      0.000      0.000    0.00155   23.13964           -1.26694       97.39344         9.926e-05 
  2760.750          68.949      7.750     58.319            6.682        19946.787      1.216      0.000      0.000    0.00152   23.04714           -1.28116       97.40266         1.015e-04 
  2761.750          68.799      7.742     58.378            6.660        19953.385      1.216      0.000      0.000    0.00149   22.95308           -1.29584       97.41185         1.037e-04 
  2762.750          68.648      7.734     58.437            6.638        19959.961      1.216      0.000      0.000    0.00145   22.85746           -1.31100       97.42100         1.060e-04 
  2763.750          68.496      7.727     58.496            6.615        19966.516      1.216      0.000      0.000    0.00142   22.76025           -1.32664       97.43012         1.084e-04 
  2764.750          68.342      7.719     58.555            6.592        19973.048      1.216      0.000      0.000    0.00139   22.66144           -1.34277       97.43922         1.109e-04 
  2765.750          68.187      7.711     58.613            6.569        19979.558      1.216      0.000      0.000    0.00136   22.56099           -1.35941       97.44828         1.134e-04 
  2766.750          68.030      7.704     58.671            6.545        19986.044      1.216      0.000      0.000    0.00133   22.45889           -1.37656       97.45730         1.160e-04 
  2767.750          67.872      7.696     58.730            6.521        19992.507      1.216      0.000      0.000    0.00130   22.35512           -1.39424       97.46630         1.187e-04 
  2768.750          67.713      7.688     58.787            6.497        19998.946      1.216      0.000      0.000    0.00127   22.24965           -1.41245       97.47526         1.214e-04 
  2769.750          67.552      7.681     58.845            6.472        20005.361      1.216      0.000      0.000    0.00124   22.14247           -1.43121       97.48419         1.242e-04 
  2770.750          67.389      7.673     58.903            6.447        20011.752      1.216      0.000      0.000    0.00121   22.03356           -1.45053       97.49309         1.271e-04 
  2771.750          67.225      7.666     58.960            6.422        20018.117      1.216      0.000      0.000    0.00119   21.92288           -1.47041       97.50195         1.301e-04 
