#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.SADM1_internal.3f0d36b8-546a-4647-b4ff-c64d71f59c39_Trajectory.txt
# RunID         : PySara
# ObjectID      : 3f0d36b8-546a-4647-b4ff-c64d71f59c39
# ObjectName    : SADM1_internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2702.650          75.372      8.210     54.616            6.910        19535.371      1.048      0.000      0.000    0.00270   24.32986           -1.00941       96.82074         3.717e-05 
  2702.750          75.360      8.209     54.622            6.909        19536.054      1.048      0.000      0.000    0.00269   24.32595           -1.01037       96.82173         3.724e-05 
  2703.200          75.305      8.206     54.650            6.904        19539.125      1.048      0.000      0.000    0.00267   24.30775           -1.01471       96.82619         3.754e-05 
  2704.200          75.183      8.199     54.711            6.893        19545.942      1.048      0.000      0.000    0.00262   24.26555           -1.02452       96.83608         3.825e-05 
  2705.200          75.059      8.191     54.772            6.881        19552.748      1.048      0.000      0.000    0.00257   24.21950           -1.03456       96.84595         3.904e-05 
  2706.200          74.934      8.184     54.834            6.870        19559.543      1.048      0.000      0.000    0.00252   24.17267           -1.04483       96.85580         3.984e-05 
  2707.200          74.808      8.177     54.895            6.858        19566.326      1.048      0.000      0.000    0.00246   24.12504           -1.05535       96.86562         4.067e-05 
  2708.200          74.681      8.169     54.956            6.846        19573.097      1.048      0.000      0.000    0.00241   24.07658           -1.06612       96.87542         4.152e-05 
  2709.200          74.554      8.162     55.017            6.833        19579.857      1.048      0.000      0.000    0.00236   24.02727           -1.07713       96.88520         4.240e-05 
  2710.200          74.425      8.155     55.077            6.821        19586.604      1.048      0.000      0.000    0.00232   23.97709           -1.08841       96.89495         4.330e-05 
  2711.200          74.294      8.147     55.138            6.808        19593.339      1.048      0.000      0.000    0.00227   23.92601           -1.09994       96.90468         4.423e-05 
  2712.200          74.163      8.140     55.199            6.795        19600.061      1.048      0.000      0.000    0.00222   23.87400           -1.11174       96.91439         4.518e-05 
  2713.200          74.031      8.133     55.259            6.782        19606.771      1.048      0.000      0.000    0.00217   23.82103           -1.12381       96.92407         4.616e-05 
  2714.200          73.897      8.126     55.319            6.768        19613.467      1.048      0.000      0.000    0.00213   23.76708           -1.13616       96.93373         4.717e-05 
  2715.200          73.762      8.118     55.380            6.755        19620.150      1.048      0.000      0.000    0.00208   23.71211           -1.14879       96.94337         4.821e-05 
  2716.200          73.626      8.111     55.440            6.741        19626.820      1.048      0.000      0.000    0.00203   23.65610           -1.16171       96.95298         4.928e-05 
  2717.200          73.489      8.104     55.500            6.727        19633.476      1.048      0.000      0.000    0.00199   23.59901           -1.17492       96.96256         5.038e-05 
  2718.200          73.350      8.096     55.559            6.712        19640.117      1.048      0.000      0.000    0.00195   23.54081           -1.18844       96.97212         5.152e-05 
  2719.200          73.211      8.089     55.619            6.697        19646.745      1.048      0.000      0.000    0.00190   23.48147           -1.20226       96.98166         5.269e-05 
  2720.200          73.069      8.082     55.679            6.682        19653.358      1.048      0.000      0.000    0.00186   23.42095           -1.21640       96.99117         5.390e-05 
  2721.200          72.927      8.075     55.738            6.667        19659.956      1.048      0.000      0.000    0.00182   23.35922           -1.23086       97.00066         5.514e-05 
  2722.200          72.783      8.067     55.797            6.652        19666.538      1.048      0.000      0.000    0.00178   23.29624           -1.24565       97.01012         5.643e-05 
  2723.200          72.638      8.060     55.856            6.636        19673.106      1.048      0.000      0.000    0.00174   23.23198           -1.26077       97.01956         5.775e-05 
  2724.200          72.491      8.053     55.915            6.620        19679.658      1.048      0.000      0.000    0.00170   23.16640           -1.27623       97.02897         5.911e-05 
  2725.200          72.343      8.046     55.974            6.603        19686.193      1.048      0.000      0.000    0.00166   23.09951           -1.29205       97.03836         6.034e-05 
  2726.200          72.193      8.038     56.033            6.587        19692.713      1.048      0.000      0.000    0.00162   23.03109           -1.30822       97.04772         6.179e-05 
  2727.200          72.042      8.031     56.091            6.569        19699.216      1.048      0.000      0.000    0.00158   22.96109           -1.32475       97.05705         6.328e-05 
  2728.200          71.889      8.024     56.150            6.548        19705.700      1.048      0.000      0.000    0.00155   22.87771           -1.34168       97.06636         6.482e-05 
  2729.200          71.735      8.017     56.208            6.518        19712.159      1.048      0.000      0.000    0.00151   22.76271           -1.35912       97.07563         6.640e-05 
  2730.200          71.580      8.010     56.266            6.463        19718.576      1.048      0.000      0.000    0.00147   22.57160           -1.37735       97.08488         6.803e-05 
  2731.200          71.426      8.003     56.322            6.269        19724.869      1.048      0.000      0.000    0.00144   21.93975           -1.39755       97.09414         6.969e-05 
