#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.SheWallY4.f8f8c63b-c1aa-46a7-b562-883465f2fdb5_Trajectory.txt
# RunID         : PySara
# ObjectID      : f8f8c63b-c1aa-46a7-b562-883465f2fdb5
# ObjectName    : SheWallY4
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2750.200          70.465      7.832     57.682            6.892        19875.944      6.047      0.000      0.000    0.00058   23.93911           -1.15287       97.30393         8.105e-05 
  2750.300          70.452      7.831     57.688            6.882        19876.625      6.047      0.000      0.000    0.00058   23.90895           -1.15386       97.30489         8.120e-05 
  2750.750          70.389      7.827     57.715            6.840        19879.678      6.047      0.000      0.000    0.00057   23.76918           -1.15853       97.30923         8.190e-05 
  2751.750          70.251      7.819     57.776            6.745        19886.396      6.047      0.000      0.000    0.00056   23.45024           -1.17033       97.31880         8.352e-05 
  2752.750          70.114      7.812     57.835            6.652        19893.020      6.047      0.000      0.000    0.00055   23.11008           -1.18412       97.32827         8.528e-05 
  2753.750          69.976      7.804     57.894            6.559        19899.553      6.047      0.000      0.000    0.00054   22.77240           -1.19990       97.33763         8.707e-05 
  2754.750          69.839      7.797     57.952            6.467        19905.994      6.047      0.000      0.000    0.00053   22.43728           -1.21769       97.34690         8.889e-05 
  2755.750          69.701      7.790     58.009            6.375        19912.344      6.047      0.000      0.000    0.00051   22.10475           -1.23753       97.35606         9.075e-05 
  2756.750          69.564      7.782     58.065            6.284        19918.604      6.047      0.000      0.000    0.00050   21.77486           -1.25942       97.36513         9.264e-05 
  2757.750          69.425      7.775     58.121            6.194        19924.774      6.047      0.000      0.000    0.00049   21.44763           -1.28339       97.37409         9.457e-05 
  2758.750          69.286      7.768     58.175            6.105        19930.856      6.047      0.000      0.000    0.00048   21.12309           -1.30946       97.38297         9.655e-05 
  2759.750          69.146      7.761     58.229            6.016        19936.851      6.047      0.000      0.000    0.00047   20.80123           -1.33766       97.39175         9.857e-05 
  2760.750          69.005      7.754     58.282            5.928        19942.757      6.047      0.000      0.000    0.00046   20.48207           -1.36799       97.40044         1.006e-04 
  2761.750          68.863      7.747     58.335            5.841        19948.578      6.047      0.000      0.000    0.00045   20.16560           -1.40050       97.40903         1.028e-04 
  2762.750          68.719      7.741     58.386            5.755        19954.312      6.047      0.000      0.000    0.00044   19.85181           -1.43519       97.41754         1.050e-04 
  2763.750          68.575      7.734     58.437            5.669        19959.962      6.047      0.000      0.000    0.00044   19.54069           -1.47210       97.42596         1.072e-04 
  2764.750          68.428      7.728     58.487            5.584        19965.527      6.047      0.000      0.000    0.00043   19.23221           -1.51126       97.43430         1.095e-04 
  2765.750          68.280      7.721     58.536            5.500        19971.008      6.047      0.000      0.000    0.00042   18.92635           -1.55268       97.44255         1.119e-04 
  2766.750          68.130      7.715     58.585            5.413        19976.405      6.047      0.000      0.000    0.00041   18.61334           -1.59644       97.45074         1.144e-04 
  2767.750          67.978      7.709     58.633            5.321        19981.714      6.047      0.000      0.000    0.00040   18.28350           -1.64270       97.45888         1.169e-04 
  2768.750          67.825      7.703     58.679            5.224        19986.929      6.047      0.000      0.000    0.00039   17.93495           -1.69169       97.46699         1.195e-04 
  2769.750          67.670      7.697     58.725            5.120        19992.044      6.047      0.000      0.000    0.00038   17.56701           -1.74363       97.47505         1.222e-04 
  2770.750          67.514      7.691     58.770            5.011        19997.055      6.047      0.000      0.000    0.00037   17.17918           -1.79881       97.48309         1.249e-04 
  2771.750          67.356      7.685     58.814            4.896        20001.954      6.047      0.000      0.000    0.00037   16.77122           -1.85751       97.49110         1.277e-04 
  2772.750          67.196      7.679     58.857            4.775        20006.736      6.047      0.000      0.000    0.00036   16.34322           -1.92005       97.49908         1.307e-04 
  2773.750          67.036      7.674     58.899            4.648        20011.396      6.047      0.000      0.000    0.00035   15.89570           -1.98678       97.50706         1.336e-04 
  2774.750          66.874      7.668     58.940            4.515        20015.926      6.047      0.000      0.000    0.00034   15.42970           -2.05809       97.51503         1.367e-04 
  2775.750          66.712      7.663     58.980            4.377        20020.323      6.047      0.000      0.000    0.00033   14.94682           -2.13438       97.52300         1.399e-04 
  2776.750          66.548      7.658     59.018            4.235        20024.581      6.047      0.000      0.000    0.00033   14.44930           -2.21607       97.53099         1.431e-04 
  2777.750          66.384      7.653     59.055            4.089        20028.696      6.047      0.000      0.000    0.00032   13.93998           -2.30362       97.53901         1.464e-04 
  2778.750          66.220      7.649     59.090            3.940        20032.666      6.047      0.000      0.000    0.00031   13.42230           -2.39751       97.54706         1.497e-04 
  2779.750          66.055      7.644     59.125            3.790        20036.487      6.047      0.000      0.000    0.00030   12.90014           -2.49821       97.55514         1.532e-04 
  2780.750          65.889      7.640     59.158            3.640        20040.160      6.047      0.000      0.000    0.00030   12.37768           -2.60620       97.56328         1.567e-04 
  2781.750          65.724      7.635     59.189            3.491        20043.684      6.047      0.000      0.000    0.00029   11.85919           -2.72196       97.57147         1.603e-04 
  2782.750          65.558      7.631     59.220            3.344        20047.062      6.047      0.000      0.000    0.00028   11.34880           -2.84594       97.57971         1.639e-04 
  2783.750          65.392      7.628     59.249            3.200        20050.296      6.047      0.000      0.000    0.00028   10.85029           -2.97860       97.58801         1.677e-04 
  2784.750          65.225      7.624     59.277            3.060        20053.389      6.047      0.000      0.000    0.00027   10.36695           -3.12034       97.59636         1.715e-04 
  2785.750          65.059      7.620     59.303            2.926        20056.347      6.047      0.000      0.000    0.00027    9.90142           -3.27154       97.60476         1.753e-04 
