#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                         ---- DRAMA ( SESAM r2.1.5 ) ----
#                                      ESA 2018
#
#                         final state of ballooning objects
#-------------------------------------------------------------------------------
# Filename      : ballooningData.txt
# RunID         : PySara
# Content       : This file lists the ballooning objects,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach                UniqueID                  Name
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  2712.350          73.475      8.156     55.067            2.291        19585.471      1.756      0.000      0.000    0.00382    8.16127  f9183c5e-96ee-4081-a9b7-a5be65c3a93b  Gyrosbl
  2656.713          78.592      8.586     51.326            3.197        19170.690      0.686      0.000      0.000    0.00292   11.46593  cc199b51-7819-40d2-8506-d81fcfc2313d  IntRing
  2800.438          63.618      7.431     60.718            2.864        20213.897      1.277      0.000      0.000    0.00071    9.72071  2d29c4c5-7f95-4af3-bc4b-011beb682baf  Battery1-Internal
  2800.438          63.618      7.431     60.718            2.864        20213.897      1.277      0.000      0.000    0.00071    9.72071  5d9f155a-ded8-4360-9010-eceeee887bb0  Battery2-Internal
  2800.438          63.618      7.431     60.718            2.864        20213.897      1.277      0.000      0.000    0.00071    9.72071  2699bb25-a994-4ccf-b910-2a7157b33ccf  Battery3-Internal
  2800.438          63.618      7.431     60.718            2.864        20213.897      1.277      0.000      0.000    0.00071    9.72071  4ac673c9-d31d-46a2-a9db-646ddc250e15  Battery4-Internal
  2800.438          63.618      7.431     60.718            2.864        20213.897      1.277      0.000      0.000    0.00071    9.72071  f5dffc0d-a926-4634-a33f-cbf5f72a8df5  Battery5-Internal
  2773.008          67.166      7.669     58.936            1.616        20015.425      1.398      0.000      0.000    0.00335    5.63723  a1a24d98-f827-46ce-aff0-7b2d6e8e2357  SLAFilt
  2782.341          65.634      7.606     59.412            1.574        20068.442      0.878      0.000      0.000    0.00170    5.43214  14c3fb57-5e6f-4161-b4d0-16a4765fc55b  EPC1
  2782.341          65.634      7.606     59.412            1.574        20068.442      0.878      0.000      0.000    0.00170    5.43214  b80a76e3-0da9-42c5-953a-ff2614be710e  EPC2
  2774.797          66.867      7.656     59.036            1.533        20026.581      0.862      0.000      0.000    0.00273    5.34049  c7c6fa2c-f04e-421e-9252-6fb3260cfa54  MOD1
  2774.797          66.867      7.656     59.036            1.533        20026.581      0.862      0.000      0.000    0.00273    5.34049  f5312407-e791-4f4d-a167-74a567287a2c  MOD2
  2777.319          66.564      7.647     59.105            1.736        20034.246      1.399      0.000      0.000    0.00147    6.01439  1f2a4ef6-0ab3-4d25-a4be-d8e9c1642037  SRADipl
  2772.791          67.268      7.676     58.886            1.860        20009.873      2.486      0.000      0.000    0.00212    6.47995  69188486-6c6d-417e-a056-336b38e4b918  UDAFilt
  2776.918          66.574      7.645     59.118            1.570        20035.724      1.624      0.000      0.000    0.00215    5.45122  d261c2b8-14c8-4ca4-8ca6-452b32cf73ce  H-SSPA1
  2776.918          66.574      7.645     59.118            1.570        20035.724      1.624      0.000      0.000    0.00215    5.45122  9e0a805e-eac1-4103-891b-7ee76bc46231  H-SSPA2
  2808.450          60.606      7.453     60.549            1.055        20195.039      2.897      0.000      0.000    0.00074    3.50452  674e8f15-7ca9-49a9-880f-9964e4c6aa14  DPU-SEM-internal
  2830.338          54.728      7.297     61.689            1.134        20322.112      1.371      0.000      0.000    0.00020    3.57414  adea4fd2-f7b0-40b2-898b-f1e31bdf9409  PCU-internal
