#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.ASCATDPU1.50b225ea-27a3-4948-ba7e-9eb0aaa2833f_Trajectory.txt
# RunID         : PySara
# ObjectID      : 50b225ea-27a3-4948-ba7e-9eb0aaa2833f
# ObjectName    : ASCATDPU1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1883.200          81.818      7.881   -110.218            7.172        13602.806      1.653      0.000      0.000    0.02644   25.71628           -0.83009       83.15649         1.531e-05 
  1883.300          81.807      7.882   -110.212            7.172        13603.514      1.653      0.000      0.000    0.02640   25.71267           -0.83053       83.15748         1.533e-05 
  1883.750          81.761      7.885   -110.183            7.169        13606.700      1.652      0.000      0.000    0.02623   25.69583           -0.83248       83.16194         1.544e-05 
  1884.750          81.656      7.893   -110.120            7.163        13613.775      1.649      0.000      0.000    0.02583   25.65703           -0.83692       83.17185         1.568e-05 
  1885.750          81.551      7.900   -110.056            7.157        13620.844      1.646      0.000      0.000    0.02540   25.61500           -0.84147       83.18176         1.594e-05 
  1886.750          81.446      7.908   -109.992            7.151        13627.907      1.643      0.000      0.000    0.02499   25.57261           -0.84614       83.19167         1.620e-05 
  1887.750          81.340      7.915   -109.929            7.145        13634.964      1.640      0.000      0.000    0.02457   25.52985           -0.85094       83.20159         1.648e-05 
  1888.750          81.234      7.923   -109.865            7.138        13642.015      1.637      0.000      0.000    0.02417   25.48672           -0.85586       83.21151         1.675e-05 
  1889.750          81.127      7.930   -109.802            7.132        13649.060      1.634      0.000      0.000    0.02377   25.44321           -0.86090       83.22143         1.704e-05 
  1890.750          81.019      7.938   -109.738            7.125        13656.099      1.631      0.000      0.000    0.02337   25.39931           -0.86608       83.23136         1.732e-05 
