#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.BEG3-internal.c69822fa-e85e-4556-ac1d-df65390206fe_Trajectory.txt
# RunID         : PySara
# ObjectID      : c69822fa-e85e-4556-ac1d-df65390206fe
# ObjectName    : BEG3-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1837.650          85.779      7.512   -113.195            7.075        13271.875      3.292      0.000      0.000    0.05859   26.07529           -0.80134       82.70821         7.987e-06 
  1837.750          85.769      7.513   -113.189            7.074        13272.573      3.291      0.000      0.000    0.05850   26.07144           -0.80196       82.70914         7.999e-06 
  1838.200          85.724      7.517   -113.161            7.071        13275.714      3.285      0.000      0.000    0.05810   26.05348           -0.80477       82.71336         8.054e-06 
  1839.200          85.625      7.525   -113.098            7.063        13282.687      3.271      0.000      0.000    0.05720   26.01199           -0.81111       82.72271         8.182e-06 
  1840.200          85.524      7.533   -113.035            7.055        13289.652      3.256      0.000      0.000    0.05623   25.96695           -0.81761       82.73207         8.322e-06 
  1841.200          85.423      7.541   -112.973            7.047        13296.609      3.241      0.000      0.000    0.05528   25.92140           -0.82427       82.74143         8.466e-06 
  1842.200          85.322      7.549   -112.910            7.039        13303.559      3.227      0.000      0.000    0.05434   25.87533           -0.83109       82.75079         8.612e-06 
  1843.200          85.219      7.557   -112.848            7.031        13310.501      3.212      0.000      0.000    0.05341   25.82875           -0.83806       82.76015         8.763e-06 
  1844.200          85.116      7.564   -112.786            7.023        13317.435      3.198      0.000      0.000    0.05249   25.78163           -0.84520       82.76950         8.916e-06 
  1845.200          85.012      7.572   -112.723            7.015        13324.361      3.184      0.000      0.000    0.05158   25.73399           -0.85250       82.77886         9.073e-06 
  1846.200          84.907      7.580   -112.661            7.006        13331.279      3.170      0.000      0.000    0.05068   25.68581           -0.85997       82.78821         9.234e-06 
  1847.200          84.802      7.588   -112.599            6.998        13338.189      3.156      0.000      0.000    0.04980   25.63710           -0.86761       82.79757         9.399e-06 
  1848.200          84.695      7.596   -112.537            6.989        13345.090      3.142      0.000      0.000    0.04892   25.58784           -0.87542       82.80692         9.567e-06 
  1849.200          84.588      7.604   -112.475            6.975        13351.981      3.128      0.000      0.000    0.04806   25.51847           -0.88347       82.81629         9.740e-06 
  1849.240          84.584      7.604   -112.473            6.088        13352.238      3.129      0.000      0.000    0.04792   22.62956           -0.88421       82.82046         9.768e-06 
