#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.EIU.fd99f765-a3fa-468b-bcd5-016d167f3fbf_Trajectory.txt
# RunID         : PySara
# ObjectID      : fd99f765-a3fa-468b-bcd5-016d167f3fbf
# ObjectName    : EIU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1746.100          93.024      6.720   -119.051            7.319        12619.049      1.701      0.000      0.000    0.09618   27.44140           -0.51863       81.88270         2.161e-06 
  1746.200          93.017      6.721   -119.044            7.319        12619.770      1.701      0.000      0.000    0.09607   27.44147           -0.51876       81.88356         2.163e-06 
  1746.650          92.987      6.725   -119.015            7.319        12623.017      1.698      0.000      0.000    0.09559   27.44180           -0.51937       81.88741         2.174e-06 
  1747.650          92.921      6.735   -118.951            7.318        12630.230      1.692      0.000      0.000    0.09449   27.44244           -0.52073       81.89599         2.200e-06 
  1748.650          92.854      6.744   -118.886            7.317        12637.443      1.686      0.000      0.000    0.09333   27.44297           -0.52211       81.90458         2.228e-06 
  1749.650          92.788      6.753   -118.822            7.316        12644.655      1.679      0.000      0.000    0.09217   27.44332           -0.52351       81.91318         2.256e-06 
  1750.650          92.721      6.762   -118.757            7.315        12651.866      1.673      0.000      0.000    0.09103   27.44350           -0.52492       81.92180         2.284e-06 
  1751.650          92.654      6.771   -118.693            7.314        12659.076      1.666      0.000      0.000    0.08990   27.44350           -0.52636       81.93042         2.313e-06 
  1752.650          92.586      6.780   -118.628            7.313        12666.285      1.660      0.000      0.000    0.08878   27.44332           -0.52781       81.93905         2.343e-06 
  1753.650          92.519      6.789   -118.563            7.312        12673.494      1.654      0.000      0.000    0.08767   27.44295           -0.52928       81.94770         2.373e-06 
