#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.IntRing.c3301475-8229-4bb1-b60e-0685f572310b_Trajectory.txt
# RunID         : PySara
# ObjectID      : c3301475-8229-4bb1-b60e-0685f572310b
# ObjectName    : IntRing
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1746.100          93.024      6.720   -119.051            7.319        12619.049      0.807      0.000      0.000    0.04987   27.44140           -0.51863       81.88270         2.161e-06 
  1746.200          93.017      6.721   -119.044            7.319        12619.770      0.807      0.000      0.000    0.04981   27.44052           -0.51876       81.88356         2.163e-06 
  1746.650          92.987      6.725   -119.015            7.317        12623.016      0.806      0.000      0.000    0.04956   27.43645           -0.51938       81.88744         2.174e-06 
  1747.650          92.921      6.735   -118.951            7.313        12630.227      0.804      0.000      0.000    0.04899   27.42694           -0.52080       81.89608         2.200e-06 
  1748.650          92.855      6.744   -118.886            7.309        12637.433      0.801      0.000      0.000    0.04839   27.41647           -0.52230       81.90472         2.228e-06 
  1749.650          92.788      6.753   -118.822            7.306        12644.636      0.799      0.000      0.000    0.04779   27.40574           -0.52387       81.91337         2.256e-06 
  1750.650          92.721      6.762   -118.757            7.302        12651.836      0.797      0.000      0.000    0.04720   27.39472           -0.52552       81.92203         2.284e-06 
  1751.650          92.654      6.771   -118.693            7.298        12659.031      0.794      0.000      0.000    0.04661   27.38343           -0.52724       81.93070         2.313e-06 
  1752.650          92.587      6.780   -118.629            7.294        12666.223      0.792      0.000      0.000    0.04603   27.37187           -0.52904       81.93937         2.343e-06 
  1753.650          92.519      6.789   -118.564            7.290        12673.411      0.790      0.000      0.000    0.04546   27.36002           -0.53091       81.94806         2.372e-06 
  1754.650          92.452      6.798   -118.500            7.286        12680.595      0.787      0.000      0.000    0.04489   27.34788           -0.53287       81.95675         2.403e-06 
  1755.650          92.384      6.808   -118.435            7.282        12687.775      0.785      0.000      0.000    0.04433   27.33546           -0.53490       81.96545         2.434e-06 
  1756.650          92.316      6.817   -118.371            7.278        12694.951      0.783      0.000      0.000    0.04377   27.32274           -0.53701       81.97416         2.465e-06 
  1757.650          92.247      6.826   -118.307            7.274        12702.124      0.781      0.000      0.000    0.04322   27.30974           -0.53920       81.98288         2.496e-06 
  1758.650          92.179      6.835   -118.243            7.270        12709.292      0.778      0.000      0.000    0.04267   27.29643           -0.54146       81.99161         2.529e-06 
  1759.650          92.110      6.844   -118.179            7.265        12716.456      0.776      0.000      0.000    0.04213   27.28282           -0.54382       82.00034         2.561e-06 
  1760.650          92.041      6.853   -118.114            7.261        12723.616      0.774      0.000      0.000    0.04159   27.26890           -0.54625       82.00908         2.595e-06 
  1761.650          91.971      6.862   -118.050            7.257        12730.772      0.772      0.000      0.000    0.04106   27.25467           -0.54876       82.01783         2.629e-06 
  1762.650          91.902      6.871   -117.986            7.252        12737.924      0.770      0.000      0.000    0.04054   27.24013           -0.55136       82.02659         2.663e-06 
  1763.650          91.832      6.880   -117.922            7.248        12745.071      0.768      0.000      0.000    0.04002   27.22527           -0.55405       82.03535         2.698e-06 
  1764.650          91.762      6.889   -117.858            7.244        12752.215      0.766      0.000      0.000    0.03950   27.21009           -0.55682       82.04413         2.733e-06 
  1765.650          91.691      6.898   -117.794            7.239        12759.354      0.764      0.000      0.000    0.03899   27.19457           -0.55967       82.05291         2.770e-06 
  1766.650          91.620      6.906   -117.730            7.235        12766.489      0.762      0.000      0.000    0.03848   27.17873           -0.56262       82.06170         2.806e-06 
  1767.650          91.549      6.915   -117.666            7.230        12773.619      0.760      0.000      0.000    0.03798   27.16254           -0.56565       82.07049         2.844e-06 
  1768.650          91.477      6.924   -117.603            7.226        12780.745      0.758      0.000      0.000    0.03748   27.14601           -0.56877       82.07929         2.882e-06 
  1769.650          91.405      6.933   -117.539            7.221        12787.866      0.756      0.000      0.000    0.03699   27.12913           -0.57198       82.08810         2.921e-06 
  1770.650          91.333      6.942   -117.475            7.216        12794.983      0.754      0.000      0.000    0.03650   27.11189           -0.57527       82.09692         2.960e-06 
  1771.650          91.261      6.951   -117.411            7.212        12802.096      0.752      0.000      0.000    0.03601   27.09430           -0.57867       82.10574         3.000e-06 
  1772.650          91.187      6.960   -117.347            7.207        12809.204      0.750      0.000      0.000    0.03553   27.07633           -0.58215       82.11457         3.041e-06 
  1773.650          91.114      6.968   -117.284            7.202        12816.307      0.748      0.000      0.000    0.03505   27.05800           -0.58573       82.12341         3.083e-06 
  1774.650          91.040      6.977   -117.220            7.197        12823.406      0.746      0.000      0.000    0.03458   27.03928           -0.58940       82.13225         3.125e-06 
  1775.650          90.966      6.986   -117.157            7.192        12830.499      0.745      0.000      0.000    0.03411   27.02017           -0.59317       82.14111         3.168e-06 
  1776.650          90.891      6.995   -117.093            7.188        12837.589      0.743      0.000      0.000    0.03365   27.00067           -0.59703       82.14996         3.212e-06 
  1777.650          90.816      7.003   -117.030            7.183        12844.673      0.741      0.000      0.000    0.03319   26.98077           -0.60100       82.15883         3.257e-06 
  1778.650          90.741      7.012   -116.966            7.177        12851.752      0.739      0.000      0.000    0.03273   26.96046           -0.60506       82.16770         3.302e-06 
  1779.650          90.665      7.021   -116.903            7.172        12858.827      0.738      0.000      0.000    0.03228   26.93973           -0.60922       82.17657         3.349e-06 
  1780.650          90.588      7.030   -116.839            7.167        12865.896      0.736      0.000      0.000    0.03183   26.91858           -0.61348       82.18545         3.396e-06 
  1781.650          90.511      7.038   -116.776            7.162        12872.961      0.734      0.000      0.000    0.03139   26.89699           -0.61784       82.19434         3.445e-06 
  1782.650          90.434      7.047   -116.713            7.157        12880.020      0.733      0.000      0.000    0.03095   26.87496           -0.62231       82.20324         3.494e-06 
  1783.650          90.356      7.056   -116.649            7.151        12887.074      0.731      0.000      0.000    0.03051   26.85248           -0.62688       82.21214         3.544e-06 
  1784.650          90.277      7.064   -116.586            7.146        12894.123      0.730      0.000      0.000    0.03008   26.82954           -0.63156       82.22104         3.596e-06 
  1785.650          90.198      7.073   -116.523            7.141        12901.167      0.728      0.000      0.000    0.02965   26.80614           -0.63634       82.22995         3.648e-06 
  1786.650          90.119      7.081   -116.460            7.135        12908.205      0.726      0.000      0.000    0.02922   26.78225           -0.64124       82.23887         3.702e-06 
  1787.650          90.038      7.090   -116.397            7.130        12915.239      0.725      0.000      0.000    0.02880   26.75787           -0.64624       82.24779         3.756e-06 
  1788.650          89.958      7.099   -116.334            7.124        12922.266      0.724      0.000      0.000    0.02838   26.73300           -0.65135       82.25672         3.812e-06 
  1789.650          89.876      7.107   -116.271            7.118        12929.288      0.722      0.000      0.000    0.02797   26.70759           -0.65657       82.26565         3.869e-06 
  1790.650          89.795      7.116   -116.208            7.112        12936.305      0.721      0.000      0.000    0.02756   26.68099           -0.66191       82.27459         3.927e-06 
  1791.650          89.712      7.124   -116.145            7.106        12943.316      0.719      0.000      0.000    0.02715   26.65301           -0.66738       82.28354         3.986e-06 
  1792.650          89.629      7.133   -116.082            7.100        12950.320      0.718      0.000      0.000    0.02674   26.62357           -0.67297       82.29250         4.046e-06 
