#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.LNA1.54057886-ee13-4de3-b706-09335b907ef9_Trajectory.txt
# RunID         : PySara
# ObjectID      : 54057886-ee13-4de3-b706-09335b907ef9
# ObjectName    : LNA1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1883.200          81.818      7.881   -110.218            7.172        13602.806      1.756      0.000      0.000    0.04891   25.71628           -0.83009       83.15649         1.531e-05 
  1883.300          81.807      7.882   -110.212            7.170        13603.514      1.756      0.000      0.000    0.04884   25.70670           -0.83053       83.15748         1.533e-05 
  1883.750          81.761      7.885   -110.183            7.159        13606.697      1.753      0.000      0.000    0.04851   25.66218           -0.83252       83.16194         1.544e-05 
  1884.750          81.657      7.893   -110.120            7.134        13613.752      1.746      0.000      0.000    0.04777   25.55987           -0.83732       83.17184         1.568e-05 
  1885.750          81.552      7.900   -110.056            7.109        13620.783      1.739      0.000      0.000    0.04699   25.44959           -0.84260       83.18172         1.594e-05 
  1886.750          81.447      7.908   -109.993            7.083        13627.789      1.733      0.000      0.000    0.04622   25.33888           -0.84838       83.19158         1.620e-05 
  1887.750          81.342      7.915   -109.931            7.058        13634.769      1.726      0.000      0.000    0.04547   25.22774           -0.85467       83.20142         1.647e-05 
  1888.750          81.237      7.923   -109.868            7.032        13641.725      1.719      0.000      0.000    0.04472   25.11615           -0.86146       83.21124         1.675e-05 
  1889.750          81.131      7.930   -109.805            7.006        13648.656      1.713      0.000      0.000    0.04399   25.00411           -0.86876       83.22103         1.703e-05 
  1890.750          81.024      7.937   -109.743            6.981        13655.561      1.707      0.000      0.000    0.04326   24.89161           -0.87657       83.23081         1.731e-05 
  1891.750          80.917      7.945   -109.681            6.950        13662.438      1.700      0.000      0.000    0.04254   24.76518           -0.88494       83.24056         1.760e-05 
  1892.750          80.810      7.952   -109.620            6.910        13669.281      1.694      0.000      0.000    0.04184   24.60713           -0.89400       83.25029         1.790e-05 
  1893.750          80.702      7.959   -109.559            6.853        13676.076      1.688      0.000      0.000    0.04114   24.38994           -0.90401       83.25999         1.820e-05 
  1894.750          80.594      7.966   -109.498            6.752        13682.793      1.682      0.000      0.000    0.04046   24.02926           -0.91555       83.26966         1.851e-05 
  1895.750          80.488      7.973   -109.440            6.374        13689.270      1.677      0.000      0.000    0.03980   22.78147           -0.93150       83.27940         1.882e-05 
