#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.NIU.e2f95e2d-87da-419c-9e0a-23294d603d7d_Trajectory.txt
# RunID         : PySara
# ObjectID      : e2f95e2d-87da-419c-9e0a-23294d603d7d
# ObjectName    : NIU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1883.200          81.818      7.881   -110.218            7.172        13602.806      1.145      0.000      0.000    0.01799   25.71628           -0.83009       83.15649         1.531e-05 
  1883.300          81.807      7.882   -110.212            7.172        13603.514      1.145      0.000      0.000    0.01796   25.71246           -0.83053       83.15748         1.533e-05 
  1883.750          81.761      7.885   -110.183            7.169        13606.700      1.144      0.000      0.000    0.01784   25.69467           -0.83248       83.16194         1.544e-05 
  1884.750          81.656      7.893   -110.120            7.162        13613.774      1.143      0.000      0.000    0.01757   25.65364           -0.83693       83.17185         1.568e-05 
  1885.750          81.551      7.900   -110.056            7.155        13620.842      1.143      0.000      0.000    0.01728   25.60918           -0.84151       83.18176         1.594e-05 
  1886.750          81.446      7.908   -109.992            7.149        13627.903      1.142      0.000      0.000    0.01700   25.56431           -0.84622       83.19167         1.620e-05 
  1887.750          81.340      7.915   -109.929            7.142        13634.957      1.141      0.000      0.000    0.01672   25.51901           -0.85107       83.20159         1.648e-05 
  1888.750          81.234      7.923   -109.865            7.135        13642.005      1.140      0.000      0.000    0.01644   25.47328           -0.85606       83.21150         1.675e-05 
  1889.750          81.127      7.930   -109.802            7.127        13649.046      1.140      0.000      0.000    0.01617   25.42713           -0.86118       83.22142         1.704e-05 
  1890.750          81.020      7.938   -109.739            7.120        13656.080      1.139      0.000      0.000    0.01590   25.38053           -0.86645       83.23134         1.732e-05 
  1891.750          80.912      7.945   -109.675            7.113        13663.106      1.139      0.000      0.000    0.01563   25.33349           -0.87187       83.24126         1.762e-05 
  1892.750          80.803      7.953   -109.612            7.105        13670.126      1.138      0.000      0.000    0.01537   25.28601           -0.87743       83.25118         1.792e-05 
  1893.750          80.694      7.960   -109.549            7.098        13677.138      1.138      0.000      0.000    0.01511   25.23807           -0.88314       83.26110         1.822e-05 
  1894.750          80.584      7.968   -109.486            7.090        13684.142      1.137      0.000      0.000    0.01486   25.18967           -0.88900       83.27103         1.854e-05 
  1895.750          80.474      7.975   -109.423            7.082        13691.139      1.137      0.000      0.000    0.01461   25.14081           -0.89502       83.28095         1.886e-05 
  1896.750          80.363      7.982   -109.360            7.074        13698.129      1.136      0.000      0.000    0.01436   25.09149           -0.90119       83.29087         1.918e-05 
  1897.750          80.252      7.990   -109.297            7.066        13705.110      1.136      0.000      0.000    0.01411   25.04168           -0.90752       83.30080         1.952e-05 
  1898.750          80.139      7.997   -109.234            7.058        13712.084      1.136      0.000      0.000    0.01387   24.99140           -0.91401       83.31072         1.986e-05 
  1899.750          80.026      8.005   -109.171            7.050        13719.050      1.135      0.000      0.000    0.01363   24.94063           -0.92067       83.32065         2.020e-05 
  1900.750          79.913      8.012   -109.109            7.041        13726.007      1.135      0.000      0.000    0.01340   24.88938           -0.92749       83.33058         2.056e-05 
  1901.750          79.798      8.019   -109.046            7.033        13732.957      1.135      0.000      0.000    0.01317   24.83762           -0.93449       83.34050         2.092e-05 
  1902.750          79.683      8.026   -108.984            7.024        13739.898      1.135      0.000      0.000    0.01294   24.78537           -0.94165       83.35043         2.129e-05 
  1903.750          79.567      8.034   -108.921            7.015        13746.830      1.134      0.000      0.000    0.01271   24.73262           -0.94899       83.36036         2.167e-05 
  1904.750          79.451      8.041   -108.859            7.006        13753.754      1.134      0.000      0.000    0.01249   24.67936           -0.95651       83.37029         2.206e-05 
  1905.750          79.334      8.048   -108.796            6.997        13760.669      1.134      0.000      0.000    0.01226   24.62559           -0.96420       83.38021         2.246e-05 
  1906.750          79.215      8.055   -108.734            6.988        13767.575      1.134      0.000      0.000    0.01205   24.57131           -0.97209       83.39014         2.287e-05 
  1907.750          79.096      8.062   -108.672            6.979        13774.472      1.134      0.000      0.000    0.01183   24.51652           -0.98015       83.40007         2.328e-05 
  1908.750          78.977      8.070   -108.610            6.969        13781.360      1.134      0.000      0.000    0.01162   24.46120           -0.98841       83.40999         2.371e-05 
  1909.750          78.856      8.077   -108.548            6.960        13788.238      1.134      0.000      0.000    0.01141   24.40537           -0.99686       83.41992         2.415e-05 
  1910.750          78.734      8.084   -108.486            6.950        13795.107      1.134      0.000      0.000    0.01120   24.34884           -1.00551       83.42984         2.459e-05 
  1911.750          78.612      8.091   -108.424            6.939        13801.966      1.134      0.000      0.000    0.01100   24.29028           -1.01437       83.43977         2.505e-05 
  1912.750          78.489      8.098   -108.362            6.928        13808.815      1.134      0.000      0.000    0.01080   24.22930           -1.02344       83.44970         2.552e-05 
  1913.750          78.365      8.105   -108.301            6.916        13815.652      1.134      0.000      0.000    0.01060   24.16565           -1.03274       83.45962         2.600e-05 
  1914.750          78.239      8.112   -108.239            6.903        13822.477      1.134      0.000      0.000    0.01040   24.09903           -1.04230       83.46955         2.649e-05 
  1915.750          78.113      8.119   -108.178            6.890        13829.289      1.134      0.000      0.000    0.01021   24.02908           -1.05212       83.47948         2.700e-05 
  1916.750          77.986      8.126   -108.117            6.875        13836.087      1.134      0.000      0.000    0.01001   23.95538           -1.06223       83.48940         2.751e-05 
  1917.750          77.859      8.133   -108.056            6.858        13842.869      1.134      0.000      0.000    0.00982   23.87743           -1.07266       83.49933         2.804e-05 
  1918.750          77.730      8.140   -107.995            6.841        13849.635      1.134      0.000      0.000    0.00964   23.79460           -1.08344       83.50925         2.859e-05 
  1919.750          77.600      8.147   -107.934            6.821        13856.383      1.134      0.000      0.000    0.00945   23.70614           -1.09458       83.51918         2.914e-05 
  1920.750          77.469      8.154   -107.873            6.800        13863.111      1.134      0.000      0.000    0.00927   23.61109           -1.10615       83.52910         2.972e-05 
  1921.750          77.337      8.161   -107.813            6.776        13869.817      1.134      0.000      0.000    0.00909   23.50825           -1.11816       83.53902         3.030e-05 
  1922.750          77.205      8.167   -107.752            6.750        13876.498      1.134      0.000      0.000    0.00891   23.39607           -1.13070       83.54894         3.091e-05 
  1923.750          77.071      8.174   -107.692            6.720        13883.151      1.134      0.000      0.000    0.00874   23.27246           -1.14380       83.55887         3.152e-05 
  1924.750          76.936      8.181   -107.633            6.686        13889.773      1.134      0.000      0.000    0.00857   23.13460           -1.15757       83.56881         3.216e-05 
  1925.750          76.801      8.187   -107.573            6.646        13896.358      1.134      0.000      0.000    0.00840   22.97853           -1.17209       83.57875         3.281e-05 
  1926.750          76.664      8.194   -107.514            6.599        13902.901      1.134      0.000      0.000    0.00823   22.79840           -1.18751       83.58872         3.347e-05 
  1927.750          76.527      8.201   -107.456            6.542        13909.392      1.134      0.000      0.000    0.00807   22.58509           -1.20400       83.59872         3.416e-05 
