#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.SAR-Rx.7e04c61e-3319-481b-af18-815f518ca060_Trajectory.txt
# RunID         : PySara
# ObjectID      : 7e04c61e-3319-481b-af18-815f518ca060
# ObjectName    : SAR-Rx
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1883.200          81.818      7.881   -110.218            7.172        13602.806      2.193      0.000      0.000    0.01349   25.71628           -0.83009       83.15649         1.531e-05 
  1883.300          81.807      7.882   -110.212            7.172        13603.514      2.193      0.000      0.000    0.01347   25.71210           -0.83053       83.15748         1.533e-05 
  1883.750          81.761      7.885   -110.183            7.168        13606.699      2.193      0.000      0.000    0.01338   25.69264           -0.83249       83.16194         1.544e-05 
  1884.750          81.656      7.893   -110.120            7.160        13613.773      2.193      0.000      0.000    0.01317   25.64773           -0.83696       83.17185         1.568e-05 
  1885.750          81.551      7.900   -110.056            7.152        13620.838      2.192      0.000      0.000    0.01296   25.59906           -0.84158       83.18176         1.594e-05 
  1886.750          81.446      7.908   -109.992            7.144        13627.896      2.192      0.000      0.000    0.01274   25.54992           -0.84636       83.19166         1.620e-05 
  1887.750          81.340      7.915   -109.929            7.136        13634.945      2.192      0.000      0.000    0.01253   25.50029           -0.85130       83.20157         1.648e-05 
  1888.750          81.234      7.923   -109.866            7.128        13641.987      2.191      0.000      0.000    0.01233   25.45018           -0.85640       83.21148         1.675e-05 
  1889.750          81.127      7.930   -109.802            7.119        13649.021      2.191      0.000      0.000    0.01212   25.39958           -0.86167       83.22139         1.703e-05 
  1890.750          81.020      7.938   -109.739            7.111        13656.046      2.191      0.000      0.000    0.01192   25.34848           -0.86710       83.23130         1.732e-05 
  1891.750          80.912      7.945   -109.676            7.102        13663.063      2.191      0.000      0.000    0.01172   25.29688           -0.87271       83.24121         1.762e-05 
  1892.750          80.804      7.953   -109.613            7.093        13670.071      2.191      0.000      0.000    0.01153   25.24478           -0.87848       83.25112         1.792e-05 
  1893.750          80.695      7.960   -109.550            7.085        13677.071      2.191      0.000      0.000    0.01133   25.19216           -0.88444       83.26103         1.822e-05 
  1894.750          80.585      7.968   -109.487            7.076        13684.062      2.191      0.000      0.000    0.01114   25.13901           -0.89057       83.27094         1.854e-05 
  1895.750          80.475      7.975   -109.424            7.066        13691.044      2.191      0.000      0.000    0.01095   25.08535           -0.89688       83.28084         1.886e-05 
  1896.750          80.364      7.982   -109.361            7.057        13698.017      2.191      0.000      0.000    0.01077   25.03115           -0.90338       83.29075         1.918e-05 
  1897.750          80.252      7.990   -109.298            7.048        13704.981      2.191      0.000      0.000    0.01058   24.97641           -0.91006       83.30066         1.951e-05 
  1898.750          80.140      7.997   -109.235            7.038        13711.936      2.191      0.000      0.000    0.01040   24.92113           -0.91693       83.31056         1.986e-05 
  1899.750          80.027      8.004   -109.173            7.028        13718.881      2.191      0.000      0.000    0.01022   24.86530           -0.92400       83.32046         2.020e-05 
  1900.750          79.913      8.012   -109.110            7.018        13725.817      2.191      0.000      0.000    0.01005   24.80891           -0.93126       83.33036         2.056e-05 
  1901.750          79.799      8.019   -109.048            7.008        13732.743      2.191      0.000      0.000    0.00987   24.75196           -0.93872       83.34026         2.092e-05 
  1902.750          79.683      8.026   -108.986            6.998        13739.659      2.191      0.000      0.000    0.00970   24.69445           -0.94638       83.35016         2.129e-05 
  1903.750          79.567      8.033   -108.923            6.988        13746.565      2.191      0.000      0.000    0.00953   24.63637           -0.95425       83.36006         2.167e-05 
  1904.750          79.451      8.041   -108.861            6.977        13753.461      2.191      0.000      0.000    0.00936   24.57771           -0.96233       83.36995         2.206e-05 
  1905.750          79.333      8.048   -108.799            6.967        13760.347      2.191      0.000      0.000    0.00919   24.51848           -0.97062       83.37985         2.246e-05 
  1906.750          79.215      8.055   -108.737            6.956        13767.222      2.191      0.000      0.000    0.00903   24.45867           -0.97912       83.38974         2.287e-05 
  1907.750          79.095      8.062   -108.675            6.945        13774.086      2.191      0.000      0.000    0.00887   24.39827           -0.98785       83.39963         2.329e-05 
  1908.750          78.975      8.069   -108.614            6.934        13780.940      2.191      0.000      0.000    0.00871   24.33729           -0.99680       83.40951         2.371e-05 
  1909.750          78.854      8.076   -108.552            6.923        13787.783      2.191      0.000      0.000    0.00855   24.27571           -1.00598       83.41940         2.415e-05 
  1910.750          78.732      8.083   -108.490            6.911        13794.614      2.191      0.000      0.000    0.00839   24.21354           -1.01539       83.42928         2.460e-05 
  1911.750          78.609      8.090   -108.429            6.900        13801.435      2.191      0.000      0.000    0.00824   24.15077           -1.02503       83.43916         2.506e-05 
  1912.750          78.485      8.097   -108.368            6.888        13808.244      2.191      0.000      0.000    0.00809   24.08740           -1.03491       83.44904         2.553e-05 
  1913.750          78.360      8.104   -108.306            6.876        13815.041      2.191      0.000      0.000    0.00794   24.02342           -1.04504       83.45892         2.602e-05 
  1914.750          78.234      8.111   -108.245            6.863        13821.826      2.191      0.000      0.000    0.00779   23.95718           -1.05541       83.46880         2.651e-05 
  1915.750          78.107      8.118   -108.184            6.850        13828.598      2.191      0.000      0.000    0.00764   23.88798           -1.06606       83.47867         2.702e-05 
  1916.750          77.980      8.125   -108.123            6.835        13835.357      2.191      0.000      0.000    0.00750   23.81547           -1.07699       83.48854         2.754e-05 
  1917.750          77.851      8.132   -108.062            6.819        13842.100      2.191      0.000      0.000    0.00736   23.73924           -1.08823       83.49842         2.808e-05 
  1918.750          77.720      8.139   -108.002            6.802        13848.828      2.191      0.000      0.000    0.00722   23.65884           -1.09980       83.50829         2.863e-05 
  1919.750          77.589      8.146   -107.941            6.784        13855.538      2.191      0.000      0.000    0.00708   23.57372           -1.11174       83.51816         2.919e-05 
  1920.750          77.457      8.153   -107.881            6.764        13862.230      2.191      0.000      0.000    0.00694   23.48321           -1.12406       83.52803         2.977e-05 
  1921.750          77.324      8.160   -107.821            6.742        13868.901      2.191      0.000      0.000    0.00680   23.38649           -1.13682       83.53790         3.036e-05 
  1922.750          77.190      8.166   -107.761            6.718        13875.549      2.191      0.000      0.000    0.00667   23.28255           -1.15005       83.54777         3.097e-05 
  1923.750          77.054      8.173   -107.701            6.692        13882.173      2.191      0.000      0.000    0.00654   23.17012           -1.16380       83.55764         3.160e-05 
