#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.SSR.d83a9294-4d46-4254-ace5-ff9fae05622a_Trajectory.txt
# RunID         : PySara
# ObjectID      : d83a9294-4d46-4254-ace5-ff9fae05622a
# ObjectName    : SSR
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1883.200          81.818      7.881   -110.218            7.172        13602.806      1.461      0.000      0.000    0.01453   25.71628           -0.83009       83.15649         1.531e-05 
  1883.300          81.807      7.882   -110.212            7.172        13603.514      1.461      0.000      0.000    0.01451   25.71299           -0.83053       83.15748         1.533e-05 
  1883.750          81.761      7.885   -110.183            7.170        13606.700      1.461      0.000      0.000    0.01441   25.69764           -0.83248       83.16194         1.544e-05 
  1884.750          81.656      7.893   -110.120            7.165        13613.776      1.461      0.000      0.000    0.01419   25.66224           -0.83690       83.17185         1.568e-05 
  1885.750          81.551      7.900   -110.056            7.160        13620.847      1.460      0.000      0.000    0.01396   25.62388           -0.84141       83.18176         1.594e-05 
  1886.750          81.446      7.908   -109.992            7.155        13627.913      1.460      0.000      0.000    0.01373   25.58516           -0.84602       83.19168         1.620e-05 
  1887.750          81.340      7.915   -109.929            7.149        13634.975      1.459      0.000      0.000    0.01351   25.54608           -0.85074       83.20160         1.648e-05 
  1888.750          81.234      7.923   -109.865            7.144        13642.031      1.459      0.000      0.000    0.01328   25.50662           -0.85556       83.21153         1.675e-05 
  1889.750          81.127      7.930   -109.802            7.139        13649.082      1.459      0.000      0.000    0.01306   25.46680           -0.86049       83.22146         1.704e-05 
  1890.750          81.019      7.938   -109.738            7.133        13656.128      1.459      0.000      0.000    0.01284   25.42660           -0.86552       83.23139         1.733e-05 
  1891.750          80.911      7.945   -109.675            7.128        13663.168      1.458      0.000      0.000    0.01263   25.38602           -0.87066       83.24132         1.762e-05 
  1892.750          80.803      7.953   -109.611            7.122        13670.203      1.458      0.000      0.000    0.01242   25.34506           -0.87591       83.25126         1.792e-05 
  1893.750          80.693      7.960   -109.548            7.116        13677.233      1.458      0.000      0.000    0.01221   25.30371           -0.88128       83.26121         1.823e-05 
  1894.750          80.584      7.968   -109.485            7.111        13684.257      1.458      0.000      0.000    0.01200   25.26197           -0.88676       83.27115         1.854e-05 
  1895.750          80.473      7.975   -109.422            7.105        13691.275      1.458      0.000      0.000    0.01180   25.21985           -0.89235       83.28110         1.886e-05 
  1896.750          80.362      7.983   -109.358            7.099        13698.288      1.458      0.000      0.000    0.01160   25.17732           -0.89807       83.29105         1.919e-05 
  1897.750          80.251      7.990   -109.295            7.093        13705.295      1.458      0.000      0.000    0.01140   25.13440           -0.90390       83.30101         1.952e-05 
  1898.750          80.139      7.997   -109.232            7.086        13712.295      1.458      0.000      0.000    0.01121   25.09108           -0.90985       83.31096         1.986e-05 
  1899.750          80.026      8.005   -109.169            7.080        13719.290      1.458      0.000      0.000    0.01101   25.04735           -0.91593       83.32092         2.021e-05 
  1900.750          79.912      8.012   -109.106            7.074        13726.279      1.458      0.000      0.000    0.01082   25.00321           -0.92214       83.33089         2.056e-05 
  1901.750          79.798      8.019   -109.043            7.067        13733.261      1.458      0.000      0.000    0.01064   24.95866           -0.92847       83.34085         2.092e-05 
  1902.750          79.683      8.027   -108.981            7.061        13740.237      1.458      0.000      0.000    0.01045   24.91369           -0.93494       83.35082         2.130e-05 
  1903.750          79.568      8.034   -108.918            7.054        13747.207      1.458      0.000      0.000    0.01027   24.86832           -0.94153       83.36079         2.167e-05 
  1904.750          79.451      8.041   -108.855            7.047        13754.170      1.458      0.000      0.000    0.01009   24.82253           -0.94826       83.37076         2.206e-05 
  1905.750          79.334      8.049   -108.792            7.040        13761.126      1.458      0.000      0.000    0.00991   24.77632           -0.95513       83.38073         2.246e-05 
  1906.750          79.217      8.056   -108.730            7.033        13768.076      1.458      0.000      0.000    0.00973   24.72969           -0.96214       83.39071         2.286e-05 
  1907.750          79.098      8.063   -108.667            7.026        13775.019      1.458      0.000      0.000    0.00956   24.68265           -0.96929       83.40069         2.328e-05 
  1908.750          78.979      8.070   -108.605            7.019        13781.954      1.458      0.000      0.000    0.00939   24.63519           -0.97658       83.41067         2.370e-05 
  1909.750          78.859      8.077   -108.542            7.012        13788.883      1.458      0.000      0.000    0.00922   24.58732           -0.98402       83.42065         2.414e-05 
  1910.750          78.738      8.085   -108.480            7.004        13795.805      1.458      0.000      0.000    0.00905   24.53902           -0.99161       83.43064         2.458e-05 
  1911.750          78.616      8.092   -108.417            6.997        13802.719      1.458      0.000      0.000    0.00889   24.49030           -0.99935       83.44063         2.503e-05 
  1912.750          78.494      8.099   -108.355            6.989        13809.625      1.458      0.000      0.000    0.00873   24.44116           -1.00725       83.45061         2.550e-05 
  1913.750          78.371      8.106   -108.293            6.981        13816.525      1.458      0.000      0.000    0.00857   24.39161           -1.01530       83.46060         2.598e-05 
  1914.750          78.247      8.113   -108.231            6.973        13823.416      1.458      0.000      0.000    0.00841   24.34143           -1.02352       83.47060         2.646e-05 
  1915.750          78.122      8.120   -108.169            6.964        13830.299      1.458      0.000      0.000    0.00825   24.28999           -1.03189       83.48059         2.696e-05 
  1916.750          77.996      8.127   -108.107            6.956        13837.174      1.458      0.000      0.000    0.00810   24.23712           -1.04045       83.49059         2.748e-05 
  1917.750          77.869      8.134   -108.045            6.946        13844.040      1.458      0.000      0.000    0.00795   24.18271           -1.04919       83.50059         2.800e-05 
  1918.750          77.741      8.141   -107.983            6.936        13850.897      1.458      0.000      0.000    0.00780   24.12664           -1.05812       83.51059         2.854e-05 
  1919.750          77.613      8.148   -107.921            6.926        13857.744      1.458      0.000      0.000    0.00765   24.06880           -1.06725       83.52059         2.909e-05 
  1920.750          77.483      8.155   -107.860            6.915        13864.580      1.458      0.000      0.000    0.00751   24.00903           -1.07661       83.53059         2.965e-05 
  1921.750          77.353      8.162   -107.798            6.903        13871.405      1.458      0.000      0.000    0.00736   23.94716           -1.08619       83.54059         3.023e-05 
  1922.750          77.222      8.169   -107.737            6.891        13878.219      1.458      0.000      0.000    0.00722   23.88302           -1.09601       83.55060         3.083e-05 
  1923.750          77.089      8.176   -107.675            6.878        13885.020      1.458      0.000      0.000    0.00708   23.81640           -1.10609       83.56060         3.144e-05 
  1924.750          76.956      8.183   -107.614            6.864        13891.808      1.458      0.000      0.000    0.00694   23.74703           -1.11645       83.57061         3.206e-05 
  1925.750          76.822      8.190   -107.553            6.849        13898.582      1.458      0.000      0.000    0.00681   23.67465           -1.12710       83.58062         3.271e-05 
  1926.750          76.687      8.197   -107.492            6.833        13905.340      1.458      0.000      0.000    0.00667   23.59893           -1.13806       83.59063         3.336e-05 
  1927.750          76.550      8.203   -107.431            6.816        13912.083      1.458      0.000      0.000    0.00654   23.51948           -1.14936       83.60063         3.404e-05 
  1928.750          76.413      8.210   -107.371            6.798        13918.808      1.458      0.000      0.000    0.00641   23.43586           -1.16102       83.61064         3.474e-05 
  1929.750          76.275      8.217   -107.310            6.778        13925.514      1.458      0.000      0.000    0.00628   23.34753           -1.17308       83.62065         3.545e-05 
  1930.750          76.136      8.224   -107.250            6.756        13932.200      1.458      0.000      0.000    0.00615   23.25387           -1.18556       83.63066         3.618e-05 
  1931.750          75.995      8.230   -107.190            6.733        13938.864      1.458      0.000      0.000    0.00603   23.15410           -1.19850       83.64067         3.693e-05 
  1932.750          75.854      8.237   -107.130            6.707        13945.504      1.458      0.000      0.000    0.00590   23.04729           -1.21195       83.65068         3.771e-05 
