#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.ADCS-TXU.7f55c236-864e-40ed-87fc-4a26da0a0229_Trajectory.txt
# RunID         : PySara
# ObjectID      : 7f55c236-864e-40ed-87fc-4a26da0a0229
# ObjectName    : ADCS-TXU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1398.200          90.148      4.345     33.321            7.238        10084.387      4.430      0.000      0.000    0.21667   24.18216           -0.80411       80.40118         3.334e-06 
  1398.300          90.138      4.346     33.327            7.238        10085.101      4.429      0.000      0.000    0.21636   24.18238           -0.80441       80.40173         3.339e-06 
  1398.750          90.092      4.351     33.356            7.236        10088.313      4.421      0.000      0.000    0.21493   24.18338           -0.80573       80.40419         3.361e-06 
  1399.750          89.990      4.362     33.419            7.232        10095.446      4.403      0.000      0.000    0.21167   24.18555           -0.80873       80.40968         3.413e-06 
  1400.750          89.888      4.373     33.483            7.228        10102.576      4.384      0.000      0.000    0.20822   24.18768           -0.81181       80.41518         3.470e-06 
  1401.750          89.786      4.383     33.546            7.223        10109.701      4.365      0.000      0.000    0.20481   24.18959           -0.81498       80.42068         3.528e-06 
  1402.750          89.683      4.394     33.609            7.219        10116.823      4.345      0.000      0.000    0.20144   24.19128           -0.81822       80.42620         3.587e-06 
  1403.750          89.579      4.405     33.672            7.215        10123.940      4.325      0.000      0.000    0.19811   24.19276           -0.82156       80.43173         3.648e-06 
  1404.750          89.476      4.416     33.736            7.211        10131.054      4.306      0.000      0.000    0.19482   24.19400           -0.82497       80.43727         3.709e-06 
  1405.750          89.372      4.426     33.799            7.206        10138.163      4.286      0.000      0.000    0.19157   24.19503           -0.82847       80.44282         3.772e-06 
  1406.750          89.267      4.437     33.862            7.202        10145.267      4.266      0.000      0.000    0.18837   24.19582           -0.83206       80.44839         3.837e-06 
  1407.750          89.163      4.448     33.925            7.197        10152.368      4.245      0.000      0.000    0.18520   24.19638           -0.83574       80.45396         3.903e-06 
  1408.750          89.057      4.458     33.988            7.193        10159.464      4.225      0.000      0.000    0.18207   24.19670           -0.83950       80.45954         3.970e-06 
  1409.750          88.952      4.469     34.051            7.188        10166.556      4.205      0.000      0.000    0.17898   24.19678           -0.84336       80.46514         4.039e-06 
  1410.750          88.846      4.479     34.114            7.183        10173.643      4.184      0.000      0.000    0.17592   24.19661           -0.84730       80.47075         4.109e-06 
  1411.750          88.739      4.490     34.177            7.179        10180.726      4.164      0.000      0.000    0.17291   24.19620           -0.85134       80.47636         4.181e-06 
  1412.750          88.633      4.501     34.240            7.174        10187.805      4.143      0.000      0.000    0.16993   24.19554           -0.85547       80.48199         4.255e-06 
  1413.750          88.525      4.511     34.303            7.169        10194.878      4.122      0.000      0.000    0.16699   24.19462           -0.85970       80.48763         4.330e-06 
  1414.750          88.417      4.522     34.365            7.164        10201.947      4.101      0.000      0.000    0.16408   24.19344           -0.86402       80.49328         4.407e-06 
  1415.750          88.309      4.532     34.428            7.159        10209.012      4.080      0.000      0.000    0.16121   24.19199           -0.86844       80.49894         4.485e-06 
  1416.750          88.200      4.543     34.491            7.154        10216.071      4.059      0.000      0.000    0.15837   24.19028           -0.87295       80.50461         4.566e-06 
  1417.750          88.091      4.553     34.554            7.149        10223.126      4.037      0.000      0.000    0.15558   24.18830           -0.87757       80.51029         4.648e-06 
  1418.750          87.981      4.564     34.616            7.144        10230.176      4.016      0.000      0.000    0.15281   24.18603           -0.88229       80.51598         4.733e-06 
  1419.750          87.871      4.574     34.679            7.139        10237.221      3.994      0.000      0.000    0.15008   24.18349           -0.88710       80.52169         4.819e-06 
  1420.750          87.760      4.585     34.741            7.134        10244.261      3.973      0.000      0.000    0.14738   24.18066           -0.89202       80.52740         4.907e-06 
  1421.750          87.649      4.595     34.804            7.129        10251.296      3.951      0.000      0.000    0.14472   24.17753           -0.89705       80.53312         4.998e-06 
  1422.750          87.537      4.606     34.866            7.123        10258.326      3.929      0.000      0.000    0.14209   24.17411           -0.90218       80.53886         5.090e-06 
  1423.750          87.425      4.616     34.929            7.118        10265.350      3.908      0.000      0.000    0.13950   24.17038           -0.90741       80.54460         5.185e-06 
  1424.750          87.312      4.627     34.991            7.113        10272.370      3.886      0.000      0.000    0.13694   24.16635           -0.91276       80.55036         5.282e-06 
  1425.750          87.198      4.637     35.054            7.107        10279.384      3.864      0.000      0.000    0.13441   24.16200           -0.91821       80.55613         5.382e-06 
  1426.750          87.084      4.647     35.116            7.102        10286.392      3.842      0.000      0.000    0.13191   24.15733           -0.92377       80.56190         5.484e-06 
