#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.ASCATDPU2.52086079-11dd-4ba5-86f1-ac04d0947720_Trajectory.txt
# RunID         : PySara
# ObjectID      : 52086079-11dd-4ba5-86f1-ac04d0947720
# ObjectName    : ASCATDPU2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1398.200          90.148      4.345     33.321            7.238        10084.387      2.978      0.000      0.000    0.27240   24.18216           -0.80411       80.40118         3.334e-06 
  1398.300          90.138      4.346     33.327            7.238        10085.101      2.977      0.000      0.000    0.27201   24.18245           -0.80441       80.40173         3.339e-06 
  1398.750          90.092      4.351     33.356            7.236        10088.313      2.972      0.000      0.000    0.27021   24.18380           -0.80573       80.40419         3.361e-06 
  1399.750          89.990      4.362     33.419            7.232        10095.446      2.962      0.000      0.000    0.26612   24.18676           -0.80873       80.40968         3.413e-06 
  1400.750          89.888      4.373     33.483            7.228        10102.577      2.950      0.000      0.000    0.26178   24.18974           -0.81180       80.41517         3.470e-06 
  1401.750          89.786      4.383     33.546            7.224        10109.703      2.938      0.000      0.000    0.25749   24.19251           -0.81495       80.42068         3.528e-06 
  1402.750          89.683      4.394     33.609            7.220        10116.825      2.927      0.000      0.000    0.25325   24.19506           -0.81818       80.42620         3.587e-06 
  1403.750          89.579      4.405     33.672            7.216        10123.944      2.915      0.000      0.000    0.24907   24.19740           -0.82148       80.43173         3.648e-06 
  1404.750          89.476      4.416     33.736            7.212        10131.059      2.903      0.000      0.000    0.24493   24.19951           -0.82487       80.43727         3.709e-06 
  1405.750          89.372      4.426     33.799            7.208        10138.170      2.891      0.000      0.000    0.24085   24.20140           -0.82833       80.44282         3.773e-06 
  1406.750          89.267      4.437     33.862            7.204        10145.277      2.879      0.000      0.000    0.23682   24.20306           -0.83188       80.44838         3.837e-06 
  1407.750          89.163      4.448     33.925            7.200        10152.379      2.866      0.000      0.000    0.23283   24.20449           -0.83552       80.45396         3.903e-06 
  1408.750          89.057      4.458     33.988            7.195        10159.478      2.854      0.000      0.000    0.22890   24.20569           -0.83923       80.45954         3.970e-06 
  1409.750          88.952      4.469     34.051            7.191        10166.573      2.841      0.000      0.000    0.22501   24.20665           -0.84303       80.46514         4.039e-06 
  1410.750          88.846      4.479     34.114            7.187        10173.663      2.829      0.000      0.000    0.22117   24.20737           -0.84692       80.47074         4.109e-06 
  1411.750          88.739      4.490     34.177            7.182        10180.749      2.816      0.000      0.000    0.21738   24.20784           -0.85089       80.47636         4.181e-06 
  1412.750          88.632      4.501     34.240            7.178        10187.831      2.803      0.000      0.000    0.21364   24.20806           -0.85495       80.48199         4.255e-06 
  1413.750          88.525      4.511     34.303            7.173        10194.909      2.790      0.000      0.000    0.20994   24.20803           -0.85910       80.48763         4.330e-06 
  1414.750          88.417      4.522     34.366            7.169        10201.982      2.777      0.000      0.000    0.20628   24.20774           -0.86335       80.49328         4.407e-06 
  1415.750          88.309      4.532     34.428            7.164        10209.051      2.764      0.000      0.000    0.20268   24.20719           -0.86768       80.49894         4.485e-06 
  1416.750          88.200      4.543     34.491            7.159        10216.115      2.751      0.000      0.000    0.19911   24.20638           -0.87210       80.50462         4.566e-06 
  1417.750          88.091      4.553     34.554            7.154        10223.174      2.737      0.000      0.000    0.19560   24.20529           -0.87662       80.51030         4.648e-06 
  1418.750          87.981      4.564     34.617            7.150        10230.229      2.724      0.000      0.000    0.19212   24.20393           -0.88124       80.51600         4.732e-06 
  1419.750          87.871      4.574     34.679            7.145        10237.280      2.710      0.000      0.000    0.18869   24.20229           -0.88595       80.52170         4.819e-06 
  1420.750          87.761      4.585     34.742            7.140        10244.325      2.697      0.000      0.000    0.18530   24.20036           -0.89076       80.52742         4.907e-06 
  1421.750          87.649      4.595     34.805            7.135        10251.366      2.683      0.000      0.000    0.18196   24.19815           -0.89566       80.53314         4.997e-06 
  1422.750          87.537      4.606     34.867            7.130        10258.402      2.669      0.000      0.000    0.17865   24.19564           -0.90067       80.53888         5.090e-06 
