#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.BSP-internal.18640ad2-7a65-4804-b9ff-39c7f5f01c19_Trajectory.txt
# RunID         : PySara
# ObjectID      : 18640ad2-7a65-4804-b9ff-39c7f5f01c19
# ObjectName    : BSP-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1419.650          86.884      4.558     34.585            6.993        10226.626      1.678      0.000      0.000    0.10154   23.81158           -1.08159       80.51592         5.681e-06 
  1419.750          86.871      4.559     34.591            6.992        10227.315      1.677      0.000      0.000    0.10135   23.81049           -1.08237       80.51648         5.692e-06 
  1420.200          86.811      4.564     34.618            6.988        10230.419      1.672      0.000      0.000    0.10046   23.80538           -1.08589       80.51901         5.742e-06 
  1421.200          86.678      4.574     34.680            6.980        10237.309      1.662      0.000      0.000    0.09843   23.79334           -1.09384       80.52464         5.861e-06 
  1422.200          86.545      4.584     34.741            6.971        10244.191      1.650      0.000      0.000    0.09629   23.77990           -1.10196       80.53027         5.991e-06 
  1423.200          86.410      4.595     34.802            6.963        10251.065      1.639      0.000      0.000    0.09418   23.76591           -1.11026       80.53592         6.126e-06 
  1424.200          86.275      4.605     34.863            6.954        10257.930      1.628      0.000      0.000    0.09210   23.75137           -1.11874       80.54157         6.264e-06 
  1425.200          86.139      4.615     34.924            6.945        10264.787      1.617      0.000      0.000    0.09005   23.73626           -1.12739       80.54723         6.407e-06 
  1426.200          86.002      4.625     34.985            6.936        10271.635      1.605      0.000      0.000    0.08803   23.72057           -1.13622       80.55290         6.554e-06 
  1427.200          85.864      4.635     35.046            6.927        10278.474      1.594      0.000      0.000    0.08605   23.70428           -1.14524       80.55858         6.705e-06 
  1428.200          85.725      4.646     35.106            6.918        10285.304      1.583      0.000      0.000    0.08409   23.68737           -1.15445       80.56426         6.861e-06 
  1429.200          85.585      4.656     35.167            6.909        10292.126      1.572      0.000      0.000    0.08217   23.66984           -1.16384       80.56995         7.022e-06 
  1430.200          85.444      4.666     35.227            6.899        10298.938      1.561      0.000      0.000    0.08028   23.65167           -1.17343       80.57565         7.188e-06 
  1431.200          85.302      4.676     35.288            6.887        10305.740      1.549      0.000      0.000    0.07841   23.62523           -1.18324       80.58137         7.359e-06 
  1432.200          85.160      4.686     35.348            6.839        10312.512      1.539      0.000      0.000    0.07658   23.49003           -1.19364       80.58733         7.535e-06 
