#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.PCU-internal.2c7ac34c-7ef6-4bb5-8b4f-9f474c250573_Trajectory.txt
# RunID         : PySara
# ObjectID      : 2c7ac34c-7ef6-4bb5-8b4f-9f474c250573
# ObjectName    : PCU-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1448.750          84.443      4.875     36.490            7.005        10440.916      1.660      0.000      0.000    0.05530   24.10625           -1.04079       80.69244         8.515e-06 
  1448.850          84.431      4.876     36.496            7.004        10441.607      1.659      0.000      0.000    0.05520   24.10348           -1.04155       80.69305         8.531e-06 
  1449.300          84.373      4.880     36.524            6.998        10444.716      1.655      0.000      0.000    0.05473   24.09052           -1.04499       80.69576         8.605e-06 
  1450.300          84.245      4.891     36.585            6.985        10451.616      1.647      0.000      0.000    0.05365   24.06036           -1.05283       80.70179         8.777e-06 
  1451.300          84.117      4.901     36.646            6.973        10458.504      1.638      0.000      0.000    0.05252   24.02728           -1.06091       80.70783         8.967e-06 
  1452.300          83.987      4.911     36.708            6.960        10465.380      1.629      0.000      0.000    0.05140   23.99345           -1.06926       80.71386         9.163e-06 
  1453.300          83.857      4.921     36.769            6.947        10472.242      1.620      0.000      0.000    0.05030   23.95887           -1.07787       80.71989         9.364e-06 
  1454.300          83.726      4.931     36.830            6.933        10479.092      1.611      0.000      0.000    0.04921   23.92352           -1.08674       80.72592         9.571e-06 
  1455.300          83.594      4.941     36.890            6.920        10485.929      1.602      0.000      0.000    0.04814   23.88740           -1.09589       80.73195         9.783e-06 
  1456.300          83.461      4.951     36.951            6.901        10492.750      1.594      0.000      0.000    0.04709   23.83488           -1.10536       80.73799         1.000e-05 
