#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.PDU1.37f2a36b-037c-4601-9860-d38c96cfe837_Trajectory.txt
# RunID         : PySara
# ObjectID      : 37f2a36b-037c-4601-9860-d38c96cfe837
# ObjectName    : PDU1
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1398.200          90.148      4.345     33.321            7.238        10084.387      2.670      0.000      0.000    0.17084   24.18216           -0.80411       80.40118         3.334e-06 
  1398.300          90.138      4.346     33.327            7.238        10085.101      2.669      0.000      0.000    0.17060   24.18267           -0.80441       80.40173         3.339e-06 
  1398.750          90.092      4.351     33.356            7.236        10088.313      2.664      0.000      0.000    0.16947   24.18501           -0.80573       80.40419         3.361e-06 
  1399.750          89.990      4.362     33.419            7.233        10095.447      2.652      0.000      0.000    0.16690   24.19028           -0.80871       80.40967         3.413e-06 
  1400.750          89.888      4.373     33.483            7.230        10102.579      2.639      0.000      0.000    0.16418   24.19578           -0.81176       80.41517         3.470e-06 
  1401.750          89.786      4.383     33.546            7.227        10109.707      2.627      0.000      0.000    0.16149   24.20111           -0.81486       80.42067         3.528e-06 
  1402.750          89.683      4.394     33.609            7.224        10116.833      2.614      0.000      0.000    0.15883   24.20627           -0.81803       80.42619         3.587e-06 
  1403.750          89.579      4.405     33.672            7.220        10123.955      2.601      0.000      0.000    0.15621   24.21125           -0.82127       80.43172         3.648e-06 
  1404.750          89.476      4.416     33.736            7.217        10131.075      2.588      0.000      0.000    0.15361   24.21604           -0.82456       80.43726         3.710e-06 
  1405.750          89.372      4.426     33.799            7.214        10138.191      2.575      0.000      0.000    0.15105   24.22066           -0.82793       80.44281         3.773e-06 
  1406.750          89.267      4.437     33.862            7.211        10145.304      2.562      0.000      0.000    0.14852   24.22509           -0.83136       80.44837         3.837e-06 
  1407.750          89.162      4.448     33.925            7.207        10152.414      2.549      0.000      0.000    0.14602   24.22933           -0.83485       80.45395         3.903e-06 
  1408.750          89.057      4.458     33.988            7.204        10159.520      2.536      0.000      0.000    0.14355   24.23338           -0.83842       80.45954         3.970e-06 
  1409.750          88.952      4.469     34.052            7.200        10166.624      2.523      0.000      0.000    0.14111   24.23723           -0.84205       80.46513         4.039e-06 
  1410.750          88.846      4.480     34.115            7.197        10173.724      2.510      0.000      0.000    0.13871   24.24089           -0.84575       80.47074         4.110e-06 
  1411.750          88.739      4.490     34.178            7.193        10180.820      2.497      0.000      0.000    0.13633   24.24434           -0.84952       80.47636         4.181e-06 
  1412.750          88.632      4.501     34.241            7.190        10187.913      2.484      0.000      0.000    0.13398   24.24758           -0.85336       80.48200         4.255e-06 
  1413.750          88.525      4.511     34.304            7.186        10195.003      2.470      0.000      0.000    0.13166   24.25062           -0.85728       80.48764         4.330e-06 
  1414.750          88.417      4.522     34.367            7.182        10202.089      2.457      0.000      0.000    0.12937   24.25343           -0.86126       80.49330         4.407e-06 
  1415.750          88.309      4.532     34.430            7.179        10209.171      2.444      0.000      0.000    0.12711   24.25603           -0.86532       80.49896         4.486e-06 
  1416.750          88.200      4.543     34.492            7.175        10216.250      2.431      0.000      0.000    0.12488   24.25841           -0.86946       80.50464         4.566e-06 
  1417.750          88.091      4.554     34.555            7.171        10223.326      2.417      0.000      0.000    0.12267   24.26056           -0.87367       80.51033         4.648e-06 
  1418.750          87.982      4.564     34.618            7.167        10230.398      2.404      0.000      0.000    0.12050   24.26248           -0.87795       80.51603         4.732e-06 
  1419.750          87.872      4.575     34.681            7.163        10237.466      2.391      0.000      0.000    0.11835   24.26416           -0.88231       80.52175         4.818e-06 
  1420.750          87.761      4.585     34.744            7.159        10244.530      2.377      0.000      0.000    0.11623   24.26560           -0.88676       80.52747         4.907e-06 
  1421.750          87.650      4.596     34.807            7.155        10251.590      2.364      0.000      0.000    0.11413   24.26680           -0.89127       80.53321         4.997e-06 
  1422.750          87.538      4.606     34.869            7.151        10258.647      2.350      0.000      0.000    0.11207   24.26775           -0.89587       80.53895         5.089e-06 
  1423.750          87.426      4.617     34.932            7.147        10265.699      2.337      0.000      0.000    0.11003   24.26844           -0.90055       80.54471         5.184e-06 
  1424.750          87.314      4.627     34.995            7.143        10272.748      2.323      0.000      0.000    0.10801   24.26887           -0.90532       80.55048         5.281e-06 
  1425.750          87.201      4.638     35.057            7.139        10279.793      2.310      0.000      0.000    0.10602   24.26903           -0.91016       80.55626         5.380e-06 
  1426.750          87.087      4.648     35.120            7.135        10286.834      2.297      0.000      0.000    0.10406   24.26892           -0.91509       80.56205         5.481e-06 
  1427.750          86.973      4.658     35.182            7.130        10293.870      2.283      0.000      0.000    0.10213   24.26853           -0.92011       80.56785         5.586e-06 
  1428.750          86.858      4.669     35.245            7.126        10300.903      2.270      0.000      0.000    0.10022   24.26786           -0.92521       80.57367         5.692e-06 
  1429.750          86.743      4.679     35.307            7.122        10307.931      2.256      0.000      0.000    0.09833   24.26690           -0.93039       80.57949         5.802e-06 
  1430.750          86.627      4.690     35.370            7.117        10314.955      2.243      0.000      0.000    0.09647   24.26565           -0.93567       80.58533         5.914e-06 
  1431.750          86.510      4.700     35.432            7.113        10321.975      2.230      0.000      0.000    0.09464   24.26409           -0.94104       80.59117         6.028e-06 
  1432.750          86.393      4.710     35.495            7.108        10328.990      2.216      0.000      0.000    0.09283   24.26222           -0.94649       80.59703         6.146e-06 
  1433.750          86.275      4.721     35.557            7.103        10336.001      2.203      0.000      0.000    0.09104   24.26003           -0.95204       80.60289         6.267e-06 
  1434.750          86.157      4.731     35.619            7.099        10343.008      2.190      0.000      0.000    0.08928   24.25752           -0.95768       80.60877         6.391e-06 
  1435.750          86.038      4.741     35.681            7.094        10350.010      2.177      0.000      0.000    0.08754   24.25461           -0.96341       80.61466         6.518e-06 
  1436.750          85.918      4.752     35.744            7.089        10357.007      2.163      0.000      0.000    0.08583   24.25085           -0.96925       80.62056         6.648e-06 
  1437.750          85.798      4.762     35.806            7.084        10363.999      2.150      0.000      0.000    0.08414   24.24611           -0.97518       80.62647         6.782e-06 
  1438.750          85.677      4.772     35.868            7.078        10370.987      2.137      0.000      0.000    0.08247   24.24031           -0.98122       80.63239         6.919e-06 
  1439.750          85.556      4.783     35.930            7.073        10377.968      2.124      0.000      0.000    0.08083   24.23336           -0.98738       80.63832         7.060e-06 
  1440.750          85.434      4.793     35.992            7.066        10384.944      2.111      0.000      0.000    0.07921   24.22516           -0.99365       80.64426         7.204e-06 
  1441.750          85.311      4.803     36.054            7.060        10391.914      2.098      0.000      0.000    0.07761   24.21558           -1.00005       80.65021         7.353e-06 
  1442.750          85.187      4.813     36.116            7.053        10398.878      2.085      0.000      0.000    0.07604   24.20449           -1.00658       80.65618         7.505e-06 
  1443.750          85.063      4.824     36.178            7.046        10405.834      2.072      0.000      0.000    0.07449   24.19172           -1.01326       80.66215         7.662e-06 
  1444.750          84.938      4.834     36.240            7.038        10412.783      2.060      0.000      0.000    0.07296   24.17709           -1.02009       80.66813         7.822e-06 
  1445.750          84.812      4.844     36.301            7.030        10419.725      2.047      0.000      0.000    0.07145   24.16038           -1.02707       80.67412         7.987e-06 
  1446.750          84.686      4.854     36.363            7.021        10426.658      2.034      0.000      0.000    0.06997   24.14132           -1.03424       80.68012         8.157e-06 
  1447.750          84.559      4.864     36.425            7.011        10433.581      2.022      0.000      0.000    0.06851   24.11960           -1.04159       80.68613         8.331e-06 
  1448.750          84.431      4.874     36.486            7.000        10440.495      2.009      0.000      0.000    0.06707   24.09483           -1.04914       80.69215         8.510e-06 
  1449.750          84.303      4.884     36.548            6.989        10447.398      1.997      0.000      0.000    0.06565   24.06651           -1.05692       80.69817         8.694e-06 
  1450.750          84.173      4.894     36.609            6.976        10454.290      1.985      0.000      0.000    0.06425   24.03403           -1.06494       80.70420         8.883e-06 
  1451.750          84.043      4.904     36.670            6.962        10461.168      1.973      0.000      0.000    0.06288   23.99659           -1.07323       80.71023         9.077e-06 
  1452.750          83.912      4.914     36.731            6.946        10468.031      1.961      0.000      0.000    0.06153   23.95311           -1.08182       80.71627         9.277e-06 
