#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.PMC2.a261a43f-3462-49fe-84c0-84b2b962f6cc_Trajectory.txt
# RunID         : PySara
# ObjectID      : a261a43f-3462-49fe-84c0-84b2b962f6cc
# ObjectName    : PMC2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1398.200          90.148      4.345     33.321            7.238        10084.387      2.211      0.000      0.000    0.20364   24.18216           -0.80411       80.40118         3.334e-06 
  1398.300          90.138      4.346     33.327            7.238        10085.101      2.210      0.000      0.000    0.20335   24.18242           -0.80441       80.40173         3.339e-06 
  1398.750          90.092      4.351     33.356            7.236        10088.313      2.206      0.000      0.000    0.20200   24.18360           -0.80573       80.40419         3.361e-06 
  1399.750          89.990      4.362     33.419            7.232        10095.446      2.197      0.000      0.000    0.19895   24.18618           -0.80873       80.40968         3.413e-06 
  1400.750          89.888      4.373     33.483            7.228        10102.576      2.187      0.000      0.000    0.19570   24.18876           -0.81181       80.41517         3.470e-06 
  1401.750          89.786      4.383     33.546            7.224        10109.702      2.177      0.000      0.000    0.19249   24.19113           -0.81496       80.42068         3.528e-06 
  1402.750          89.683      4.394     33.609            7.220        10116.824      2.167      0.000      0.000    0.18933   24.19329           -0.81820       80.42620         3.587e-06 
  1403.750          89.579      4.405     33.672            7.216        10123.942      2.157      0.000      0.000    0.18620   24.19524           -0.82152       80.43173         3.648e-06 
  1404.750          89.476      4.416     33.736            7.211        10131.056      2.147      0.000      0.000    0.18311   24.19696           -0.82492       80.43727         3.709e-06 
  1405.750          89.372      4.426     33.799            7.207        10138.166      2.137      0.000      0.000    0.18005   24.19847           -0.82840       80.44282         3.773e-06 
  1406.750          89.267      4.437     33.862            7.203        10145.272      2.127      0.000      0.000    0.17704   24.19976           -0.83197       80.44838         3.837e-06 
  1407.750          89.163      4.448     33.925            7.199        10152.374      2.116      0.000      0.000    0.17406   24.20081           -0.83562       80.45396         3.903e-06 
  1408.750          89.057      4.458     33.988            7.194        10159.472      2.106      0.000      0.000    0.17112   24.20164           -0.83936       80.45954         3.970e-06 
  1409.750          88.952      4.469     34.051            7.190        10166.565      2.096      0.000      0.000    0.16821   24.20224           -0.84318       80.46514         4.039e-06 
  1410.750          88.846      4.479     34.114            7.185        10173.654      2.085      0.000      0.000    0.16534   24.20259           -0.84709       80.47074         4.109e-06 
  1411.750          88.739      4.490     34.177            7.181        10180.739      2.075      0.000      0.000    0.16251   24.20271           -0.85110       80.47636         4.181e-06 
  1412.750          88.633      4.501     34.240            7.176        10187.819      2.064      0.000      0.000    0.15971   24.20258           -0.85519       80.48199         4.255e-06 
  1413.750          88.525      4.511     34.303            7.171        10194.895      2.054      0.000      0.000    0.15695   24.20220           -0.85937       80.48763         4.330e-06 
  1414.750          88.417      4.522     34.366            7.167        10201.966      2.043      0.000      0.000    0.15421   24.20157           -0.86365       80.49328         4.407e-06 
  1415.750          88.309      4.532     34.428            7.162        10209.033      2.032      0.000      0.000    0.15152   24.20068           -0.86802       80.49894         4.485e-06 
  1416.750          88.200      4.543     34.491            7.157        10216.096      2.021      0.000      0.000    0.14885   24.19954           -0.87248       80.50461         4.566e-06 
  1417.750          88.091      4.553     34.554            7.152        10223.153      2.011      0.000      0.000    0.14622   24.19812           -0.87704       80.51030         4.648e-06 
  1418.750          87.981      4.564     34.616            7.147        10230.206      2.000      0.000      0.000    0.14362   24.19644           -0.88170       80.51599         4.733e-06 
  1419.750          87.871      4.574     34.679            7.142        10237.254      1.989      0.000      0.000    0.14106   24.19447           -0.88645       80.52169         4.819e-06 
  1420.750          87.760      4.585     34.742            7.137        10244.297      1.978      0.000      0.000    0.13853   24.19223           -0.89131       80.52741         4.907e-06 
  1421.750          87.649      4.595     34.804            7.132        10251.336      1.967      0.000      0.000    0.13602   24.18971           -0.89626       80.53313         4.998e-06 
  1422.750          87.537      4.606     34.867            7.127        10258.369      1.956      0.000      0.000    0.13356   24.18689           -0.90132       80.53887         5.090e-06 
  1423.750          87.425      4.616     34.929            7.122        10265.398      1.945      0.000      0.000    0.13112   24.18378           -0.90648       80.54462         5.185e-06 
  1424.750          87.312      4.627     34.992            7.117        10272.421      1.934      0.000      0.000    0.12871   24.18036           -0.91174       80.55038         5.282e-06 
  1425.750          87.198      4.637     35.054            7.111        10279.439      1.923      0.000      0.000    0.12633   24.17664           -0.91711       80.55614         5.382e-06 
  1426.750          87.084      4.647     35.116            7.106        10286.452      1.912      0.000      0.000    0.12399   24.17261           -0.92259       80.56192         5.484e-06 
  1427.750          86.970      4.658     35.179            7.101        10293.460      1.901      0.000      0.000    0.12167   24.16825           -0.92818       80.56771         5.588e-06 
  1428.750          86.854      4.668     35.241            7.095        10300.463      1.890      0.000      0.000    0.11938   24.16357           -0.93387       80.57351         5.696e-06 
  1429.750          86.738      4.679     35.303            7.089        10307.460      1.879      0.000      0.000    0.11713   24.15856           -0.93968       80.57932         5.806e-06 
  1430.750          86.622      4.689     35.365            7.084        10314.452      1.868      0.000      0.000    0.11490   24.15321           -0.94559       80.58514         5.918e-06 
  1431.750          86.504      4.699     35.427            7.078        10321.438      1.856      0.000      0.000    0.11270   24.14751           -0.95163       80.59097         6.034e-06 
  1432.750          86.387      4.710     35.490            7.072        10328.419      1.845      0.000      0.000    0.11053   24.14145           -0.95777       80.59680         6.153e-06 
  1433.750          86.268      4.720     35.552            7.066        10335.394      1.834      0.000      0.000    0.10839   24.13504           -0.96404       80.60265         6.274e-06 
  1434.750          86.149      4.730     35.613            7.061        10342.363      1.823      0.000      0.000    0.10627   24.12825           -0.97042       80.60851         6.399e-06 
  1435.750          86.029      4.740     35.675            7.054        10349.327      1.812      0.000      0.000    0.10419   24.12074           -0.97692       80.61438         6.528e-06 
  1436.750          85.908      4.751     35.737            7.048        10356.284      1.800      0.000      0.000    0.10213   24.11199           -0.98355       80.62026         6.659e-06 
  1437.750          85.787      4.761     35.799            7.041        10363.235      1.789      0.000      0.000    0.10010   24.10184           -0.99031       80.62615         6.794e-06 
  1438.750          85.665      4.771     35.861            7.034        10370.180      1.778      0.000      0.000    0.09810   24.09014           -0.99721       80.63205         6.933e-06 
  1439.750          85.542      4.781     35.923            7.026        10377.117      1.767      0.000      0.000    0.09613   24.07671           -1.00427       80.63796         7.076e-06 
  1440.750          85.419      4.792     35.984            7.018        10384.046      1.756      0.000      0.000    0.09418   24.06136           -1.01148       80.64388         7.222e-06 
  1441.750          85.294      4.802     36.046            7.009        10390.967      1.744      0.000      0.000    0.09226   24.04385           -1.01887       80.64981         7.373e-06 
  1442.750          85.169      4.812     36.107            7.000        10397.879      1.733      0.000      0.000    0.09037   24.02390           -1.02643       80.65575         7.527e-06 
  1443.750          85.044      4.822     36.169            6.989        10404.781      1.722      0.000      0.000    0.08850   24.00116           -1.03420       80.66171         7.686e-06 
  1444.750          84.917      4.832     36.230            6.978        10411.673      1.711      0.000      0.000    0.08667   23.97521           -1.04218       80.66767         7.849e-06 
  1445.750          84.790      4.842     36.291            6.966        10418.553      1.700      0.000      0.000    0.08485   23.94552           -1.05040       80.67363         8.017e-06 
  1446.750          84.662      4.852     36.352            6.953        10425.421      1.689      0.000      0.000    0.08307   23.91142           -1.05888       80.67961         8.190e-06 
  1447.750          84.533      4.862     36.413            6.938        10432.275      1.678      0.000      0.000    0.08131   23.87202           -1.06764       80.68560         8.367e-06 
  1448.750          84.403      4.872     36.474            6.921        10439.114      1.667      0.000      0.000    0.07957   23.82616           -1.07673       80.69159         8.549e-06 
  1449.750          84.273      4.882     36.535            6.902        10445.935      1.656      0.000      0.000    0.07787   23.77220           -1.08617       80.69760         8.737e-06 
