#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.RTU.0e4d15da-49b2-41fa-98b0-a5585fd78673_Trajectory.txt
# RunID         : PySara
# ObjectID      : 0e4d15da-49b2-41fa-98b0-a5585fd78673
# ObjectName    : RTU
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1398.200          90.148      4.345     33.321            7.238        10084.387      2.074      0.000      0.000    0.17688   24.18216           -0.80411       80.40118         3.334e-06 
  1398.300          90.138      4.346     33.327            7.238        10085.101      2.073      0.000      0.000    0.17663   24.18246           -0.80441       80.40173         3.339e-06 
  1398.750          90.092      4.351     33.356            7.236        10088.313      2.070      0.000      0.000    0.17546   24.18385           -0.80573       80.40419         3.361e-06 
  1399.750          89.990      4.362     33.419            7.232        10095.446      2.060      0.000      0.000    0.17281   24.18692           -0.80873       80.40968         3.413e-06 
  1400.750          89.888      4.373     33.483            7.228        10102.577      2.051      0.000      0.000    0.16999   24.19002           -0.81180       80.41517         3.470e-06 
  1401.750          89.786      4.383     33.546            7.224        10109.703      2.041      0.000      0.000    0.16720   24.19293           -0.81494       80.42068         3.528e-06 
  1402.750          89.683      4.394     33.609            7.220        10116.826      2.031      0.000      0.000    0.16445   24.19564           -0.81817       80.42620         3.587e-06 
  1403.750          89.579      4.405     33.672            7.216        10123.945      2.021      0.000      0.000    0.16173   24.19814           -0.82147       80.43173         3.648e-06 
  1404.750          89.476      4.416     33.736            7.212        10131.060      2.011      0.000      0.000    0.15905   24.20043           -0.82485       80.43727         3.709e-06 
  1405.750          89.372      4.426     33.799            7.208        10138.171      2.001      0.000      0.000    0.15640   24.20251           -0.82831       80.44282         3.773e-06 
