#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.Ribpanel2.9e3c26d3-2fd2-49cd-b644-ff0bf4e0e01c_Trajectory.txt
# RunID         : PySara
# ObjectID      : 9e3c26d3-2fd2-49cd-b644-ff0bf4e0e01c
# ObjectName    : Ribpanel2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1264.100         101.199      2.847     24.799            7.296         9123.066     25.776      0.000      0.000    0.34415   24.18672           -0.52001       79.79198         6.801e-07 
  1264.200         101.192      2.849     24.806            7.295         9123.785     25.772      0.000      0.000    0.34390   24.18217           -0.52017       79.79236         6.806e-07 
  1264.650         101.162      2.854     24.834            7.290         9127.015     25.756      0.000      0.000    0.34277   24.16107           -0.52095       79.79404         6.829e-07 
  1265.650         101.096      2.865     24.898            7.280         9134.188     25.720      0.000      0.000    0.34018   24.11273           -0.52282       79.79780         6.882e-07 
  1266.650         101.029      2.877     24.961            7.270         9141.351     25.680      0.000      0.000    0.33742   24.06090           -0.52489       79.80157         6.939e-07 
  1267.650         100.963      2.888     25.024            7.259         9148.503     25.640      0.000      0.000    0.33466   24.00913           -0.52715       79.80534         6.997e-07 
  1268.650         100.896      2.900     25.088            7.249         9155.645     25.599      0.000      0.000    0.33193   23.95744           -0.52962       79.80913         7.056e-07 
  1269.650         100.829      2.911     25.151            7.238         9162.777     25.558      0.000      0.000    0.32920   23.90583           -0.53229       79.81293         7.116e-07 
  1270.650         100.761      2.922     25.214            7.228         9169.898     25.517      0.000      0.000    0.32649   23.85430           -0.53516       79.81674         7.176e-07 
  1271.650         100.694      2.934     25.277            7.217         9177.009     25.475      0.000      0.000    0.32378   23.80285           -0.53824       79.82056         7.237e-07 
  1272.650         100.626      2.945     25.339            7.206         9184.110     25.433      0.000      0.000    0.32109   23.75150           -0.54152       79.82439         7.299e-07 
  1273.650         100.557      2.956     25.402            7.196         9191.200     25.390      0.000      0.000    0.31840   23.70023           -0.54501       79.82824         7.362e-07 
  1274.650         100.489      2.968     25.465            7.185         9198.280     25.347      0.000      0.000    0.31572   23.64906           -0.54870       79.83209         7.426e-07 
  1275.650         100.420      2.979     25.527            7.174         9205.349     25.303      0.000      0.000    0.31304   23.59800           -0.55261       79.83595         7.490e-07 
  1276.650         100.350      2.990     25.590            7.163         9212.408     25.259      0.000      0.000    0.31037   23.54705           -0.55672       79.83983         7.556e-07 
  1277.650         100.281      3.001     25.652            7.152         9219.456     25.215      0.000      0.000    0.30770   23.49621           -0.56105       79.84371         7.623e-07 
  1278.650         100.210      3.013     25.715            7.142         9226.493     25.169      0.000      0.000    0.30503   23.44550           -0.56558       79.84760         7.691e-07 
  1279.650         100.140      3.024     25.777            7.131         9233.520     25.123      0.000      0.000    0.30236   23.39491           -0.57033       79.85151         7.760e-07 
  1280.650         100.068      3.035     25.839            7.120         9240.536     25.077      0.000      0.000    0.29970   23.34447           -0.57530       79.85542         7.830e-07 
  1281.650          99.997      3.046     25.901            7.109         9247.541     25.029      0.000      0.000    0.29703   23.29418           -0.58048       79.85935         7.902e-07 
  1282.650          99.924      3.057     25.963            7.098         9254.536     24.981      0.000      0.000    0.29436   23.24404           -0.58587       79.86328         7.975e-07 
  1283.650          99.851      3.068     26.025            7.086         9261.520     24.933      0.000      0.000    0.29169   23.19407           -0.59149       79.86723         8.049e-07 
  1284.650          99.778      3.080     26.087            7.075         9268.492     24.883      0.000      0.000    0.28902   23.14425           -0.59732       79.87118         8.125e-07 
  1285.650          99.704      3.091     26.148            7.064         9275.454     24.833      0.000      0.000    0.28635   23.09459           -0.60338       79.87515         8.202e-07 
  1286.650          99.629      3.102     26.210            7.053         9282.405     24.782      0.000      0.000    0.28367   23.04509           -0.60965       79.87912         8.281e-07 
  1287.650          99.554      3.113     26.271            7.042         9289.345     24.730      0.000      0.000    0.28098   22.99575           -0.61615       79.88311         8.361e-07 
  1288.650          99.478      3.124     26.332            7.030         9296.273     24.677      0.000      0.000    0.27829   22.94656           -0.62288       79.88710         8.444e-07 
  1289.650          99.401      3.135     26.394            7.019         9303.191     24.624      0.000      0.000    0.27560   22.89754           -0.62983       79.89111         8.528e-07 
  1290.650          99.323      3.146     26.455            7.007         9310.098     24.569      0.000      0.000    0.27290   22.84868           -0.63700       79.89512         8.613e-07 
  1291.650          99.245      3.157     26.516            6.996         9316.993     24.514      0.000      0.000    0.27019   22.79998           -0.64441       79.89914         8.701e-07 
  1292.650          99.166      3.167     26.577            6.984         9323.877     24.458      0.000      0.000    0.26748   22.75145           -0.65205       79.90318         8.791e-07 
  1293.650          99.086      3.178     26.638            6.973         9330.749     24.400      0.000      0.000    0.26476   22.70283           -0.65991       79.90722         8.883e-07 
  1294.650          99.005      3.189     26.699            6.960         9337.610     24.342      0.000      0.000    0.26204   22.65320           -0.66802       79.91128         8.977e-07 
  1295.650          98.924      3.200     26.759            6.948         9344.459     24.283      0.000      0.000    0.25930   22.60232           -0.67638       79.91536         9.073e-07 
  1296.650          98.841      3.211     26.820            6.935         9351.295     24.222      0.000      0.000    0.25656   22.55007           -0.68499       79.91945         9.171e-07 
  1297.650          98.758      3.222     26.880            6.921         9358.118     24.161      0.000      0.000    0.25381   22.49631           -0.69388       79.92357         9.272e-07 
  1298.650          98.674      3.232     26.940            6.907         9364.927     24.099      0.000      0.000    0.25106   22.44087           -0.70304       79.92770         9.376e-07 
  1299.650          98.589      3.243     27.001            6.891         9371.722     24.035      0.000      0.000    0.24829   22.38357           -0.71251       79.93185         9.482e-07 
  1300.650          98.502      3.254     27.061            6.876         9378.501     23.970      0.000      0.000    0.24552   22.32418           -0.72229       79.93602         9.590e-07 
  1301.650          98.415      3.265     27.121            6.859         9385.265     23.905      0.000      0.000    0.24274   22.26245           -0.73239       79.94021         9.702e-07 
  1302.650          98.327      3.275     27.180            6.841         9392.012     23.838      0.000      0.000    0.23996   22.19810           -0.74285       79.94442         9.817e-07 
  1303.650          98.238      3.286     27.240            6.823         9398.741     23.770      0.000      0.000    0.23716   22.13078           -0.75367       79.94866         9.934e-07 
  1304.650          98.148      3.296     27.299            6.803         9405.451     23.701      0.000      0.000    0.23436   22.06009           -0.76489       79.95293         1.005e-06 
  1305.650          98.056      3.307     27.359            6.781         9412.140     23.630      0.000      0.000    0.23155   21.98554           -0.77653       79.95722         1.018e-06 
  1306.650          97.964      3.317     27.418            6.759         9418.809     23.558      0.000      0.000    0.22873   21.90654           -0.78862       79.96154         1.031e-06 
  1307.650          97.870      3.328     27.477            6.734         9425.454     23.486      0.000      0.000    0.22590   21.82241           -0.80120       79.96591         1.044e-06 
  1308.650          97.775      3.338     27.535            6.708         9432.073     23.411      0.000      0.000    0.22307   21.73225           -0.81430       79.97031         1.057e-06 
  1309.650          97.680      3.349     27.594            6.679         9438.666     23.336      0.000      0.000    0.22022   21.63500           -0.82798       79.97476         1.071e-06 
  1310.650          97.582      3.359     27.652            6.647         9445.229     23.259      0.000      0.000    0.21737   21.52928           -0.84228       79.97926         1.085e-06 
  1311.650          97.484      3.369     27.710            6.612         9451.759     23.181      0.000      0.000    0.21452   21.41332           -0.85728       79.98382         1.100e-06 
  1312.650          97.385      3.380     27.767            6.573         9458.253     23.102      0.000      0.000    0.21165   21.28481           -0.87306       79.98847         1.115e-06 
