#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.SSD2.f492f331-b2d3-4479-8af7-582adf808112_Trajectory.txt
# RunID         : PySara
# ObjectID      : f492f331-b2d3-4479-8af7-582adf808112
# ObjectName    : SSD2
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1264.100         101.199      2.847     24.799            7.296         9123.066      3.925      0.000      0.000    1.70743   24.18672           -0.52001       79.79198         6.801e-07 
  1264.200         101.192      2.849     24.806            7.296         9123.785      3.925      0.000      0.000    1.70622   24.18461           -0.52017       79.79234         6.806e-07 
  1264.650         101.162      2.854     24.834            7.295         9127.017      3.925      0.000      0.000    1.70059   24.17483           -0.52093       79.79397         6.829e-07 
  1265.650         101.096      2.865     24.898            7.293         9134.198      3.926      0.000      0.000    1.68773   24.15245           -0.52263       79.79760         6.882e-07 
  1266.650         101.029      2.877     24.961            7.291         9141.378      3.926      0.000      0.000    1.67399   24.12852           -0.52437       79.80125         6.939e-07 
  1267.650         100.962      2.888     25.025            7.289         9148.555      3.926      0.000      0.000    1.66032   24.10470           -0.52615       79.80491         6.998e-07 
  1268.650         100.895      2.900     25.088            7.287         9155.731      3.926      0.000      0.000    1.64671   24.08100           -0.52797       79.80858         7.057e-07 
  1269.650         100.828      2.911     25.152            7.285         9162.905      3.926      0.000      0.000    1.63316   24.05741           -0.52982       79.81227         7.116e-07 
  1270.650         100.761      2.923     25.215            7.283         9170.077      3.926      0.000      0.000    1.61967   24.03397           -0.53172       79.81597         7.177e-07 
  1271.650         100.693      2.934     25.279            7.281         9177.247      3.926      0.000      0.000    1.60624   24.01066           -0.53366       79.81969         7.238e-07 
  1272.650         100.625      2.946     25.342            7.279         9184.415      3.926      0.000      0.000    1.59287   23.98750           -0.53563       79.82342         7.300e-07 
  1273.650         100.557      2.957     25.406            7.277         9191.581      3.927      0.000      0.000    1.57955   23.96450           -0.53765       79.82716         7.362e-07 
  1274.650         100.488      2.968     25.469            7.275         9198.745      3.927      0.000      0.000    1.56628   23.94167           -0.53970       79.83092         7.426e-07 
  1275.650         100.420      2.980     25.532            7.273         9205.907      3.927      0.000      0.000    1.55307   23.91901           -0.54180       79.83469         7.490e-07 
  1276.650         100.351      2.991     25.596            7.271         9213.067      3.927      0.000      0.000    1.53990   23.89654           -0.54394       79.83847         7.556e-07 
  1277.650         100.282      3.003     25.659            7.268         9220.225      3.927      0.000      0.000    1.52677   23.87427           -0.54611       79.84227         7.622e-07 
  1278.650         100.212      3.014     25.723            7.266         9227.381      3.927      0.000      0.000    1.51369   23.85220           -0.54834       79.84608         7.689e-07 
  1279.650         100.143      3.025     25.786            7.264         9234.535      3.927      0.000      0.000    1.50066   23.83035           -0.55060       79.84991         7.757e-07 
  1280.650         100.073      3.037     25.849            7.262         9241.687      3.928      0.000      0.000    1.48766   23.80873           -0.55291       79.85375         7.826e-07 
  1281.650         100.002      3.048     25.912            7.260         9248.837      3.928      0.000      0.000    1.47470   23.78734           -0.55525       79.85760         7.896e-07 
  1282.650          99.932      3.060     25.976            7.258         9255.985      3.928      0.000      0.000    1.46178   23.76620           -0.55765       79.86147         7.967e-07 
  1283.650          99.861      3.071     26.039            7.255         9263.130      3.928      0.000      0.000    1.44890   23.74532           -0.56008       79.86535         8.039e-07 
  1284.650          99.790      3.082     26.102            7.253         9270.274      3.928      0.000      0.000    1.43605   23.72469           -0.56256       79.86924         8.112e-07 
  1285.650          99.719      3.094     26.165            7.251         9277.415      3.928      0.000      0.000    1.42323   23.70431           -0.56509       79.87315         8.187e-07 
  1286.650          99.647      3.105     26.229            7.248         9284.554      3.928      0.000      0.000    1.41045   23.68418           -0.56766       79.87707         8.262e-07 
  1287.650          99.575      3.116     26.292            7.246         9291.691      3.928      0.000      0.000    1.39771   23.66431           -0.57027       79.88100         8.339e-07 
  1288.650          99.503      3.128     26.355            7.244         9298.825      3.929      0.000      0.000    1.38500   23.64469           -0.57293       79.88495         8.417e-07 
  1289.650          99.430      3.139     26.418            7.241         9305.958      3.929      0.000      0.000    1.37232   23.62532           -0.57564       79.88891         8.496e-07 
  1290.650          99.357      3.150     26.481            7.239         9313.088      3.929      0.000      0.000    1.35968   23.60622           -0.57839       79.89289         8.576e-07 
  1291.650          99.284      3.162     26.544            7.237         9320.216      3.929      0.000      0.000    1.34707   23.58736           -0.58119       79.89688         8.658e-07 
  1292.650          99.211      3.173     26.608            7.234         9327.341      3.929      0.000      0.000    1.33449   23.56877           -0.58404       79.90088         8.741e-07 
  1293.650          99.137      3.184     26.671            7.232         9334.464      3.929      0.000      0.000    1.32194   23.55043           -0.58694       79.90490         8.825e-07 
  1294.650          99.062      3.196     26.734            7.229         9341.585      3.929      0.000      0.000    1.30943   23.53235           -0.58988       79.90893         8.911e-07 
  1295.650          98.988      3.207     26.797            7.227         9348.704      3.929      0.000      0.000    1.29694   23.51453           -0.59287       79.91297         8.998e-07 
  1296.650          98.913      3.218     26.860            7.224         9355.820      3.929      0.000      0.000    1.28449   23.49697           -0.59591       79.91703         9.087e-07 
  1297.650          98.838      3.229     26.923            7.222         9362.933      3.929      0.000      0.000    1.27207   23.47967           -0.59900       79.92110         9.177e-07 
  1298.650          98.762      3.241     26.986            7.219         9370.045      3.930      0.000      0.000    1.25968   23.46263           -0.60215       79.92518         9.269e-07 
  1299.650          98.686      3.252     27.049            7.216         9377.153      3.930      0.000      0.000    1.24733   23.44585           -0.60534       79.92927         9.362e-07 
  1300.650          98.609      3.263     27.112            7.214         9384.260      3.930      0.000      0.000    1.23500   23.42933           -0.60858       79.93338         9.457e-07 
  1301.650          98.533      3.274     27.175            7.211         9391.363      3.930      0.000      0.000    1.22271   23.41307           -0.61188       79.93751         9.554e-07 
  1302.650          98.455      3.286     27.238            7.209         9398.464      3.930      0.000      0.000    1.21044   23.39708           -0.61522       79.94164         9.652e-07 
  1303.650          98.378      3.297     27.300            7.206         9405.563      3.930      0.000      0.000    1.19821   23.38135           -0.61862       79.94579         9.752e-07 
  1304.650          98.300      3.308     27.363            7.203         9412.659      3.930      0.000      0.000    1.18601   23.36589           -0.62208       79.94996         9.854e-07 
  1305.650          98.221      3.319     27.426            7.200         9419.753      3.930      0.000      0.000    1.17383   23.35069           -0.62558       79.95413         9.958e-07 
  1306.650          98.142      3.330     27.489            7.198         9426.843      3.930      0.000      0.000    1.16169   23.33575           -0.62914       79.95832         1.006e-06 
