#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.TCU-internal.00bcb475-9d93-4ea9-bf21-a95c5c8f92db_Trajectory.txt
# RunID         : PySara
# ObjectID      : 00bcb475-9d93-4ea9-bf21-a95c5c8f92db
# ObjectName    : TCU-internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1451.750          84.062      4.906     36.677            7.002        10461.966      2.306      0.000      0.000    0.05536   24.12864           -1.05732       80.71060         9.074e-06 
  1451.850          84.049      4.907     36.683            7.001        10462.657      2.305      0.000      0.000    0.05526   24.12581           -1.05808       80.71121         9.091e-06 
  1452.300          83.991      4.911     36.711            6.995        10465.765      2.299      0.000      0.000    0.05478   24.11260           -1.06155       80.71393         9.171e-06 
  1453.300          83.861      4.921     36.772            6.982        10472.663      2.287      0.000      0.000    0.05368   24.08185           -1.06945       80.71999         9.358e-06 
  1454.300          83.730      4.931     36.834            6.970        10479.549      2.274      0.000      0.000    0.05253   24.04812           -1.07760       80.72605         9.564e-06 
  1455.300          83.599      4.941     36.895            6.957        10486.422      2.262      0.000      0.000    0.05139   24.01363           -1.08601       80.73210         9.776e-06 
  1456.300          83.466      4.951     36.956            6.944        10493.282      2.249      0.000      0.000    0.05027   23.97837           -1.09468       80.73815         9.993e-06 
  1457.300          83.333      4.961     37.017            6.930        10500.129      2.237      0.000      0.000    0.04917   23.94234           -1.10362       80.74421         1.022e-05 
  1458.300          83.199      4.971     37.078            6.917        10506.963      2.224      0.000      0.000    0.04809   23.90552           -1.11283       80.75025         1.045e-05 
  1459.300          83.064      4.981     37.138            6.903        10513.784      2.212      0.000      0.000    0.04702   23.86789           -1.12232       80.75630         1.069e-05 
  1460.300          82.929      4.991     37.199            6.872        10520.583      2.201      0.000      0.000    0.04597   23.77731           -1.13224       80.76236         1.093e-05 
