#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.Compound_of-IFring-PLM.11448855347680532961_Trajectory.txt
# RunID         : sara
# ObjectID      : 11448855347680532961
# ObjectName    : Compound_of-IFring-PLM
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   769.100          90.478     81.646    173.198            7.782         5885.100      0.854      0.000      0.000    0.00918   28.37770           -0.64147      168.52458         3.138e-06 
   769.200          90.469     81.639    173.208            7.782         5885.865      0.854      0.000      0.000    0.00916   28.37767           -0.64161      168.53471         3.142e-06 
   769.650          90.430     81.609    173.250            7.782         5889.307      0.854      0.000      0.000    0.00911   28.37753           -0.64225      168.58008         3.162e-06 
   770.650          90.342     81.542    173.342            7.782         5896.956      0.854      0.000      0.000    0.00898   28.37724           -0.64366      168.67978         3.208e-06 
   771.650          90.255     81.474    173.433            7.781         5904.605      0.854      0.000      0.000    0.00884   28.37683           -0.64509      168.77797         3.259e-06 
   772.650          90.167     81.407    173.523            7.781         5912.253      0.854      0.000      0.000    0.00870   28.37626           -0.64652      168.87467         3.310e-06 
   773.650          90.079     81.339    173.611            7.781         5919.901      0.854      0.000      0.000    0.00857   28.37572           -0.64796      168.96992         3.362e-06 
   774.650          89.991     81.272    173.697            7.780         5927.549      0.854      0.000      0.000    0.00844   28.37512           -0.64941      169.06376         3.415e-06 
   775.650          89.903     81.204    173.782            7.780         5935.197      0.854      0.000      0.000    0.00831   28.37447           -0.65086      169.15620         3.469e-06 
   776.650          89.815     81.137    173.866            7.779         5942.844      0.854      0.000      0.000    0.00818   28.37376           -0.65233      169.24730         3.524e-06 
   777.650          89.726     81.069    173.949            7.779         5950.491      0.854      0.000      0.000    0.00805   28.37299           -0.65380      169.33707         3.580e-06 
   778.650          89.637     81.002    174.030            7.778         5958.138      0.854      0.000      0.000    0.00792   28.37216           -0.65528      169.42555         3.637e-06 
   779.650          89.548     80.934    174.110            7.778         5965.784      0.854      0.000      0.000    0.00780   28.37127           -0.65677      169.51276         3.695e-06 
   780.650          89.459     80.867    174.189            7.778         5973.430      0.854      0.000      0.000    0.00768   28.37033           -0.65827      169.59873         3.754e-06 
   781.650          89.369     80.799    174.266            7.777         5981.076      0.854      0.000      0.000    0.00756   28.36932           -0.65978      169.68349         3.814e-06 
   782.650          89.280     80.732    174.342            7.777         5988.722      0.854      0.000      0.000    0.00744   28.36826           -0.66130      169.76706         3.875e-06 
   783.650          89.190     80.664    174.418            7.776         5996.367      0.854      0.000      0.000    0.00732   28.36713           -0.66283      169.84948         3.938e-06 
   784.650          89.100     80.597    174.492            7.776         6004.012      0.854      0.000      0.000    0.00720   28.36583           -0.66436      169.93076         4.001e-06 
   785.650          89.009     80.529    174.564            7.775         6011.656      0.854      0.000      0.000    0.00709   28.36467           -0.66591      170.01093         4.066e-06 
   786.650          88.919     80.461    174.636            7.775         6019.300      0.854      0.000      0.000    0.00698   28.36338           -0.66747      170.09001         4.132e-06 
   787.650          88.828     80.394    174.707            7.774         6026.944      0.854      0.000      0.000    0.00687   28.36201           -0.66903      170.16803         4.199e-06 
   788.650          88.737     80.326    174.777            7.774         6034.587      0.854      0.000      0.000    0.00676   28.36057           -0.67061      170.24500         4.267e-06 
   789.650          88.646     80.258    174.846            7.773         6042.230      0.854      0.000      0.000    0.00665   28.35907           -0.67220      170.32095         4.337e-06 
   790.650          88.555     80.191    174.913            7.772         6049.872      0.854      0.000      0.000    0.00654   28.35751           -0.67379      170.39590         4.408e-06 
   791.650          88.464     80.123    174.980            7.772         6057.514      0.854      0.000      0.000    0.00644   28.35588           -0.67540      170.46987         4.480e-06 
   792.650          88.372     80.055    175.046            7.771         6065.156      0.854      0.000      0.000    0.00633   28.35419           -0.67702      170.54288         4.554e-06 
   793.650          88.280     79.987    175.111            7.771         6072.797      0.854      0.000      0.000    0.00623   28.35243           -0.67865      170.61495         4.629e-06 
   794.650          88.188     79.920    175.174            7.770         6080.438      0.854      0.000      0.000    0.00613   28.35061           -0.68030      170.68610         4.705e-06 
   795.650          88.095     79.852    175.237            7.769         6088.078      0.854      0.000      0.000    0.00603   28.34872           -0.68195      170.75634         4.783e-06 
   796.650          88.003     79.784    175.300            7.769         6095.718      0.854      0.000      0.000    0.00593   28.34677           -0.68362      170.82570         4.863e-06 
   797.650          87.910     79.717    175.361            7.768         6103.357      0.854      0.000      0.000    0.00583   28.34475           -0.68530      170.89418         4.944e-06 
   798.650          87.817     79.649    175.421            7.768         6110.996      0.854      0.000      0.000    0.00574   28.34266           -0.68699      170.96182         5.026e-06 
   799.650          87.724     79.581    175.481            7.767         6118.634      0.854      0.000      0.000    0.00564   28.34051           -0.68869      171.02861         5.110e-06 
