#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.DBU3.b3dcc589-abc9-4d4c-bf07-3b75ead42d7f_Trajectory.txt
# RunID         : sara
# ObjectID      : b3dcc589-abc9-4d4c-bf07-3b75ead42d7f
# ObjectName    : DBU3
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   903.200          76.419     72.580    178.974            7.546         6903.219      1.483      0.000      0.000    0.02359   26.24982           -1.00219      175.26341         3.219e-05 
   903.300          76.406     72.573    178.976            7.543         6903.962      1.483      0.000      0.000    0.02355   26.23936           -1.00278      175.26596         3.224e-05 
   903.750          76.347     72.544    178.984            7.529         6907.305      1.482      0.000      0.000    0.02336   26.19072           -1.00549      175.27739         3.251e-05 
   904.750          76.214     72.477    179.002            7.499         6914.711      1.479      0.000      0.000    0.02292   26.07861           -1.01191      175.30262         3.313e-05 
   905.750          76.082     72.411    179.020            7.469         6922.088      1.476      0.000      0.000    0.02246   25.95730           -1.01889      175.32762         3.380e-05 
   906.750          75.949     72.345    179.038            7.438         6929.435      1.474      0.000      0.000    0.02201   25.83501           -1.02644      175.35239         3.449e-05 
   907.750          75.815     72.280    179.055            7.408         6936.752      1.471      0.000      0.000    0.02157   25.71172           -1.03458      175.37694         3.520e-05 
   908.750          75.681     72.215    179.073            7.376         6944.039      1.469      0.000      0.000    0.02114   25.58743           -1.04330      175.40126         3.592e-05 
   909.750          75.547     72.150    179.090            7.345         6951.295      1.467      0.000      0.000    0.02071   25.46210           -1.05261      175.42536         3.666e-05 
   910.750          75.411     72.085    179.106            7.313         6958.520      1.465      0.000      0.000    0.02029   25.33573           -1.06253      175.44924         3.742e-05 
   911.750          75.275     72.021    179.123            7.274         6965.710      1.463      0.000      0.000    0.01988   25.18835           -1.07313      175.47290         3.820e-05 
   912.750          75.139     71.957    179.139            7.222         6972.855      1.461      0.000      0.000    0.01947   24.99802           -1.08461      175.49631         3.899e-05 
   913.750          75.002     71.893    179.155            7.145         6979.937      1.459      0.000      0.000    0.01907   24.72503           -1.09734      175.51945         3.981e-05 
   914.750          74.866     71.831    179.171            6.998         6986.908      1.457      0.000      0.000    0.01869   24.23312           -1.11229      175.54220         4.063e-05 
   915.387          74.783     71.793    179.180            6.382         6991.106      1.456      0.000      0.000    0.01843   22.28079           -1.12694      175.55608         4.119e-05 
