#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.EIU-Internal.32c03fa3-4d0d-4221-b830-9f6c97bbc5c3_Trajectory.txt
# RunID         : sara
# ObjectID      : 32c03fa3-4d0d-4221-b830-9f6c97bbc5c3
# ObjectName    : EIU-Internal
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   865.650          80.773     75.141    178.119            7.540         6616.941      1.467      0.000      0.000    0.00999   26.79019           -0.91607      174.14303         1.633e-05 
   865.750          80.761     75.134    178.122            7.539         6617.683      1.467      0.000      0.000    0.00998   26.78559           -0.91666      174.14640         1.636e-05 
   866.200          80.707     75.104    178.134            7.535         6621.023      1.467      0.000      0.000    0.00990   26.76418           -0.91934      174.16152         1.648e-05 
   867.200          80.586     75.038    178.160            7.524         6628.438      1.467      0.000      0.000    0.00972   26.71473           -0.92545      174.19490         1.678e-05 
   868.200          80.464     74.972    178.186            7.513         6635.842      1.467      0.000      0.000    0.00954   26.66102           -0.93174      174.22798         1.711e-05 
   869.200          80.341     74.906    178.212            7.503         6643.236      1.467      0.000      0.000    0.00935   26.60666           -0.93824      174.26077         1.745e-05 
   870.200          80.218     74.840    178.237            7.492         6650.620      1.467      0.000      0.000    0.00917   26.55165           -0.94495      174.29326         1.779e-05 
   871.200          80.094     74.774    178.262            7.480         6657.992      1.467      0.000      0.000    0.00899   26.49598           -0.95186      174.32547         1.814e-05 
   872.200          79.969     74.708    178.287            7.469         6665.354      1.467      0.000      0.000    0.00882   26.43960           -0.95898      174.35739         1.850e-05 
   873.200          79.844     74.642    178.311            7.458         6672.705      1.467      0.000      0.000    0.00865   26.38258           -0.96632      174.38903         1.887e-05 
   874.200          79.718     74.577    178.336            7.446         6680.044      1.467      0.000      0.000    0.00848   26.32482           -0.97388      174.42040         1.925e-05 
   875.200          79.591     74.511    178.359            7.434         6687.372      1.467      0.000      0.000    0.00831   26.26634           -0.98166      174.45149         1.964e-05 
   876.200          79.463     74.446    178.383            7.422         6694.688      1.467      0.000      0.000    0.00814   26.20712           -0.98967      174.48231         2.004e-05 
   877.200          79.335     74.381    178.407            7.409         6701.992      1.467      0.000      0.000    0.00798   26.14715           -0.99791      174.51286         2.044e-05 
   878.200          79.205     74.315    178.430            7.397         6709.284      1.467      0.000      0.000    0.00782   26.08642           -1.00639      174.54315         2.086e-05 
   879.200          79.075     74.250    178.453            7.384         6716.564      1.467      0.000      0.000    0.00766   26.02491           -1.01510      174.57318         2.129e-05 
   880.200          78.943     74.185    178.475            7.369         6723.830      1.467      0.000      0.000    0.00751   25.95658           -1.02409      174.60294         2.174e-05 
   881.200          78.811     74.121    178.498            7.339         6731.075      1.467      0.000      0.000    0.00735   25.84028           -1.03350      174.63242         2.219e-05 
   881.623          78.757     74.094    178.507            6.772         6734.012      1.467      0.000      0.000    0.00728   24.05858           -1.04001      174.64416         2.241e-05 
