#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.1.5 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : sara.Gyrosbl.ba953c16-e673-4025-a7f3-c6ad8e7b1de0_Trajectory.txt
# RunID         : sara
# ObjectID      : ba953c16-e673-4025-a7f3-c6ad8e7b1de0
# ObjectName    : Gyrosbl
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   769.100          90.478     81.646    173.198            7.782         5885.100      2.396      0.000      0.000    0.08530   28.37770           -0.64147      168.52458         3.138e-06 
   769.200          90.469     81.639    173.208            7.782         5885.865      2.395      0.000      0.000    0.08518   28.37735           -0.64161      168.53471         3.142e-06 
   769.650          90.430     81.609    173.250            7.782         5889.307      2.390      0.000      0.000    0.08465   28.37570           -0.64225      168.58008         3.162e-06 
   770.650          90.343     81.542    173.342            7.780         5896.955      2.380      0.000      0.000    0.08344   28.37194           -0.64369      168.67979         3.208e-06 
   771.650          90.255     81.474    173.433            7.779         5904.601      2.368      0.000      0.000    0.08216   28.36777           -0.64515      168.77796         3.259e-06 
   772.650          90.167     81.407    173.522            7.777         5912.247      2.357      0.000      0.000    0.08089   28.36342           -0.64664      168.87464         3.310e-06 
   773.650          90.079     81.339    173.610            7.776         5919.891      2.346      0.000      0.000    0.07965   28.35906           -0.64815      168.96985         3.362e-06 
   774.650          89.991     81.272    173.697            7.774         5927.534      2.335      0.000      0.000    0.07841   28.35462           -0.64969      169.06364         3.415e-06 
   775.650          89.903     81.205    173.782            7.773         5935.175      2.324      0.000      0.000    0.07720   28.35008           -0.65126      169.15603         3.469e-06 
   776.650          89.815     81.137    173.866            7.771         5942.815      2.314      0.000      0.000    0.07600   28.34547           -0.65286      169.24707         3.524e-06 
   777.650          89.726     81.070    173.948            7.770         5950.454      2.303      0.000      0.000    0.07482   28.34075           -0.65448      169.33676         3.580e-06 
   778.650          89.637     81.002    174.029            7.768         5958.091      2.292      0.000      0.000    0.07365   28.33595           -0.65613      169.42516         3.637e-06 
   779.650          89.548     80.935    174.109            7.767         5965.727      2.281      0.000      0.000    0.07250   28.33106           -0.65781      169.51228         3.695e-06 
   780.650          89.459     80.867    174.188            7.765         5973.362      2.271      0.000      0.000    0.07136   28.32608           -0.65952      169.59815         3.754e-06 
   781.650          89.369     80.800    174.265            7.764         5980.995      2.260      0.000      0.000    0.07024   28.32101           -0.66126      169.68281         3.814e-06 
   782.650          89.280     80.733    174.341            7.762         5988.627      2.250      0.000      0.000    0.06913   28.31585           -0.66303      169.76627         3.875e-06 
   783.650          89.190     80.665    174.416            7.760         5996.257      2.239      0.000      0.000    0.06804   28.31059           -0.66483      169.84857         3.938e-06 
   784.650          89.100     80.598    174.490            7.759         6003.886      2.229      0.000      0.000    0.06696   28.30513           -0.66665      169.92972         4.001e-06 
   785.650          89.009     80.530    174.563            7.757         6011.513      2.219      0.000      0.000    0.06589   28.29976           -0.66851      170.00976         4.066e-06 
   786.650          88.919     80.463    174.635            7.755         6019.139      2.209      0.000      0.000    0.06484   28.29424           -0.67040      170.08870         4.132e-06 
   787.650          88.828     80.395    174.705            7.754         6026.763      2.199      0.000      0.000    0.06381   28.28860           -0.67232      170.16658         4.199e-06 
   788.650          88.737     80.328    174.775            7.752         6034.386      2.189      0.000      0.000    0.06279   28.28286           -0.67427      170.24340         4.268e-06 
   789.650          88.645     80.260    174.844            7.750         6042.007      2.179      0.000      0.000    0.06178   28.27702           -0.67625      170.31920         4.338e-06 
   790.650          88.554     80.193    174.911            7.749         6049.627      2.169      0.000      0.000    0.06078   28.27108           -0.67827      170.39399         4.409e-06 
